DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.459808717162215, 0.03190502407409767)","(0.5110876978031802, 0.049906495074600696)","(0.37148657179181321, 0.029002442896889868)","(0.4175373365140751, 0.03454299603206315)","(0.42960732141187091, 0.016420141920775372)","(0.51739227586151648, 0.040540311527115562)","(0.43705042934374388, 0.03627173234674165)","(0.58519752104841771, 0.04369864571317203)","(0.39950312712800634, 0.061723439550721008)","(0.32331137753962935, 0.058721037212025311)","(0.3947620766805634, 0.050102713336429204)","(0.35105173195740075, 0.022067968709295959)","(0.40066898819122265, 0.023885738755842181)","(0.45172182875294181, 0.028995156212256526)","(0.36430318503239434, 0.019647345873740521)","(0.36991219105716605, 0.022935882063279803)","(0.44600007859570623, 0.026832266071788149)","(0.47815373838969588, 0.033345205185414672)","(0.40233868897994485, 0.01650402840519628)","(0.41579031152885171, 0.023304312080917614)","(0.42812930348151612, 0.015035852205146897)","(0.40232140626103369, 0.016399908208277449)","(0.52640337971109685, 0.03458957390763287)","(0.49601961210870443, 0.032918963886489259)"
1,"(0.46856681360307806, 0.03192565231612253)","(0.52831118851351944, 0.050581763115929781)","(0.36060201380182638, 0.028978078106256713)","(0.42358193822344903, 0.037015819131757326)","(0.43475873641108248, 0.014879104254461878)","(0.52485929982301438, 0.039646432494871438)","(0.41932056525506428, 0.032132418266095426)","(0.52448704726125639, 0.036923291178211901)","(0.39144644418565749, 0.070142960957524703)","(0.034768260670914854, 0.078062913505920692)","(0.38723937269319952, 0.0533484642518098)","(0.25560785826982901, 0.068934947158208262)","(0.39325433716256691, 0.024660740607542312)","(0.44137312089706437, 0.030428111107610123)","(0.44136777697489454, 0.019986810394477174)","(0.37475326717395219, 0.025933641035280786)","(0.45628570565812709, 0.026371452006710247)","(0.50067284895915198, 0.036293496775049401)","(0.39188997735734582, 0.01753922832684434)","(0.4296522008206583, 0.022462212829365311)","(0.44363842962443839, 0.015147962823602009)","(0.38873508910934534, 0.016192485925414245)","(0.51854879603325965, 0.034192368523622015)","(0.4968505648550231, 0.03169008222172108)"
2,"(0.44549000138672035, 0.034714007835713392)","(0.53880649017344873, 0.049887430913005515)","(0.35341173774011114, 0.028756930223156788)","(0.52220083436331333, 0.052205446717476789)","(0.47279431149122458, 0.026777349379235545)","(0.45523303975299767, 0.044759619024596686)","(0.38098413604298109, 0.026713472873029807)","(0.56014026909980541, 0.040591057551188685)","(0.39327681931272895, 0.071372508060938325)","(0.15954162348684556, 0.087231552899923279)","(0.60173955482104968, 0.05756997409821546)","(0.28842464812192486, 0.069740554216859443)","(0.4157850636920763, 0.030858968385451411)","(0.55332853362188239, 0.045170014526632482)","(0.44777938979083154, 0.02039266035822385)","(0.36674619135522663, 0.025442444855299017)","(0.55725001400981167, 0.039434860154816773)","(0.23557208524966844, 0.041271819810351079)","(0.40007443361808914, 0.018043485901962114)","(0.43183093837141429, 0.023707389115567669)","(0.44255454776051112, 0.015278368843790255)","(0.38751644817579795, 0.016741264528082462)","(0.49588703768920772, 0.036825040351588796)","(0.51636919198932674, 0.032029043270067982)"
3,"(0.44254673901344521, 0.043311376965134901)","(0.61214665758793152, 0.050428552129572445)","(0.39338354120597591, 0.035692965270356494)","(0.41719862914272637, 0.034596325627734743)","(0.42962451460159584, 0.016277567637511051)","(0.51541121354677555, 0.04008544777459231)","(0.43919461449260888, 0.036179977627812138)","(0.58807891524423528, 0.044066923986183212)","(0.39830858678606995, 0.061562805368506189)","(0.33402031850496072, 0.056651009238380304)","(0.40357829638874615, 0.047942901537552547)","(0.35186840099314398, 0.022427735863319573)","(0.40077188011438042, 0.023659053589915352)","(0.46212463934348874, 0.027177899345852938)","(0.37456321432485296, 0.021525837916138529)","(0.30001867426239931, 0.04237228202760223)","(0.55232473259023085, 0.045482238657428183)","(0.61888619959717039, 0.03438477525145632)","(0.40185508209228427, 0.016501500411020848)","(0.41485828376322786, 0.023344640066388551)","(0.40054960269314049, 0.015468967724552174)","(0.40202426643555739, 0.016332571474025805)","(0.51552432002156889, 0.03244793555386901)","(0.49212636876046228, 0.032953310422411078)"
4,"(0.44254673901344521, 0.043311376965134901)","(0.61214665758793152, 0.050428552129572445)","(0.39338354120597591, 0.035692965270356494)","(0.41719862914272637, 0.034596325627734743)","(0.42962451460159584, 0.016277567637511051)","(0.51541121354677555, 0.040085447774592338)","(0.43919461449260888, 0.036179977627812138)","(0.58807891524423528, 0.044066923986183212)","(0.39830858678606995, 0.061562805368506189)","(0.33402031850496067, 0.056651009238380304)","(0.40357829638874615, 0.047942901537552547)","(0.35186840099314398, 0.022427735863319573)","(0.40077188011438042, 0.023659053589915352)","(0.46212463934348874, 0.027177899345852938)","(0.37456321432485296, 0.021525837916138529)","(0.30001867426239931, 0.04237228202760223)","(0.55232473259023096, 0.045482238657428134)","(0.61888619959717039, 0.03438477525145632)","(0.40185508209228427, 0.016501500411020852)","(0.41485828376322786, 0.023344640066388551)","(0.40054960269314049, 0.015468967724552142)","(0.40202426643555739, 0.016332571474025805)","(0.51552432002156889, 0.03244793555386901)","(0.49212636876046223, 0.032953310422411106)"
5,"(0.44326138249612268, 0.042688561725209767)","(0.61593696734428682, 0.050446791004198174)","(0.39300423837906739, 0.034667181776776954)","(0.50675781995801839, 0.049720967379517311)","(0.46827000770054134, 0.02463754129989203)","(0.52337491493345623, 0.040706292588998903)","(0.44290871429493311, 0.036476607071709369)","(0.58480810313229248, 0.044008210786123429)","(0.40122640864882209, 0.0622862565187021)","(0.42651985166177453, 0.056814789623844508)","(0.59347678238677137, 0.052276394187117221)","(0.37523881603048753, 0.027238728158275948)","(0.40855517223523979, 0.024055899103520316)","(0.54521454212908826, 0.040927210434879922)","(0.3733767302097204, 0.021294617096616914)","(0.30044993765570732, 0.041270039135559426)","(0.54269034001291905, 0.044355014381972049)","(0.61157940303108038, 0.035590725172662284)","(0.38541256885761388, 0.017279720762445813)","(0.41465027546594785, 0.02116944623579119)","(0.40960434295644882, 0.01630578557523531)","(0.38703091457616939, 0.016365116519369248)","(0.52157301738841566, 0.031695669097031788)","(0.49164815104588599, 0.032759274092482291)"
6,"(0.45954038355476345, 0.042515136430810403)","(0.57524598021204876, 0.045992898000722336)","(0.38762499253794352, 0.048934430599019564)","(0.34950146759283035, 0.01981574796790388)","(0.47109593346611411, 0.017767334676895757)","(0.45448968239621979, 0.028000321969365534)","(0.46441891538804542, 0.045009517010002678)","(0.54521589195306952, 0.038428189970118112)","(0.39216637691501793, 0.05361906963048136)","(0.35486704106285827, 0.046514290198937665)","(0.40543229032194711, 0.045985368189270591)","(0.3427192299511278, 0.020810769167605738)","(0.39583006607538396, 0.020376973655317591)","(0.44797780624610678, 0.02954695966837563)","(0.35382006400578303, 0.020283041663631228)","(0.31045890209244709, 0.041369658166195575)","(0.50738338758875945, 0.040952036944555702)","(0.59259489914045571, 0.030874977981980183)","(0.39985287716835793, 0.023845395459535651)","(0.39583402444514798, 0.020421935674622246)","(0.39060173971116874, 0.014775493262646294)","(0.43161269047873224, 0.010192809736989623)","(0.45721923918157575, 0.04091162554680202)","(0.49380918837014609, 0.029451033018770334)"
7,"(0.43764288936796109, 0.032597791527818033)","(0.52498349266145317, 0.049627099571974226)","(0.3667984224463946, 0.029379794768572803)","(0.42023315974498371, 0.034602039126251094)","(0.43242166126884429, 0.017028474128300237)","(0.52258930256634839, 0.040062266022713115)","(0.4244355384002011, 0.03461740215165441)","(0.43632716561129381, 0.037297867960412651)","(0.38741871274481926, 0.061114432736748756)","(0.32100430778063627, 0.057727157375608962)","(0.39318530331864793, 0.048351098857513791)","(0.37040048820595195, 0.022942460610488203)","(0.3921980226349111, 0.023488439922429504)","(0.43251227942064396, 0.029150335972431649)","(0.39245508924467792, 0.017636479098311352)","(0.36789644652500419, 0.023637878819421618)","(0.44478034897594015, 0.026903356063812327)","(0.48665137700911704, 0.031790203650939312)","(0.41284104018328133, 0.020929815338996217)","(0.39637620299902065, 0.022129031587501378)","(0.41513773490944389, 0.015914278632209816)","(0.39454770848637544, 0.01720792660338194)","(0.48399495367028522, 0.03099638703163907)","(0.47901020581889997, 0.028214519319999562)"
8,"(0.48446120734516795, 0.042232863329160597)","(0.53254699987637866, 0.049511905841824952)","(0.35407746834648124, 0.028653764418745467)","(0.52229144694619989, 0.052237711182586105)","(0.48169881376553386, 0.026378819690233809)","(0.5166959308978798, 0.038806356297095834)","(0.42005515540710398, 0.040300726620920373)","(0.56297845498435495, 0.03860330474464347)","(0.39701527732484343, 0.071658912069943043)","(0.15542347422146419, 0.086943231215638225)","(0.59994676197614094, 0.057693887957446878)","(0.2898649120597116, 0.069718898004949542)","(0.41584871295229481, 0.030921953501792537)","(0.55461360218287914, 0.045210285375397501)","(0.4434250914456534, 0.021098931040631336)","(0.36659529134898972, 0.025495026649022697)","(0.46305739650324862, 0.028416803957720636)","(0.50170427558355335, 0.03820344580997953)","(0.39185964287948677, 0.017597091030467017)","(0.42913178362016347, 0.023353007006243692)","(0.44219718405483061, 0.015365228676473231)","(0.38957834855217605, 0.01609480946985516)","(0.49199927943181321, 0.036121940701551308)","(0.51506965638596924, 0.031926067295162355)"
9,"(0.44326138249612279, 0.042688561725209739)","(0.6159369673442866, 0.050446791004198223)","(0.39300423837906739, 0.034667181776776954)","(0.50675781995801839, 0.049720967379517318)","(0.46827000770054134, 0.02463754129989203)","(0.52337491493345623, 0.040706292588998903)","(0.44290871429493328, 0.036476607071709313)","(0.58480810313229237, 0.044008210786123485)","(0.40122640864882209, 0.062286256518702114)","(0.42651985166177453, 0.056814789623844508)","(0.59347678238677137, 0.052276394187117221)","(0.37523881603048753, 0.027238728158275938)","(0.40855517223523968, 0.024055899103520316)","(0.54521454212908826, 0.040927210434879922)","(0.3733767302097204, 0.021294617096616914)","(0.30044993765570732, 0.041270039135559426)","(0.54269034001291905, 0.044355014381972063)","(0.61157940303108038, 0.035590725172662242)","(0.38541256885761388, 0.017279720762445813)","(0.41465027546594763, 0.021169446235791214)","(0.40960434295644876, 0.016305785575235342)","(0.38703091457616939, 0.016365116519369248)","(0.52157301738841566, 0.031695669097031795)","(0.49164815104588599, 0.032759274092482263)"
