DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.0197320251299176, 0.066256511889762032)","(0.71131129792541103, 0.035677370749033009)","(0.72997532396752585, 0.03663054367529095)","(0.74198709016041187, 0.028012702613859495)","(0.7940672798804369, 0.021338130760241034)","(0.81231327867990621, 0.016691778207652771)","(0.85867974720231899, 0.022883643302555611)","(0.75108471728343917, 0.029168721119785544)","(0.76028461005893222, 0.028510905069511882)","(0.76355975380121643, 0.035696857164059223)","(0.81220460322659394, 0.020962781742521464)","(0.80573674929056804, 0.038237000017484576)","(0.819044968066583, 0.026433744550459132)","(0.81638109410470405, 0.036602431477940865)","(0.75506290359450001, 0.031649062427869509)","(0.76184790813561998, 0.03801643628000425)","(0.83327415343257227, 0.025557021739355371)","(0.81328156242940508, 0.013379556232319883)","(0.86045659134923347, 0.021973405021117862)","(0.82190810149397131, 0.030627468948043378)","(0.86703810941020976, 0.03180689399274475)","(0.86194719260425368, 0.037783717280951382)","(0.8636688381151636, 0.061201136859764922)","(0.69832331631009126, 0.053234893174713964)"
1,"(0.77456992852065099, 0.039632058672491713)","(0.8342512940085427, 0.043788752750848259)","(0.85440328675695953, 0.051810407375304575)","(0.7806903074232836, 0.031307439605347882)","(0.77744853088133148, 0.018098951942632481)","(0.77103807136160252, 0.014162496021009512)","(0.8319192816878882, 0.022115684207524619)","(0.82406270929506431, 0.040124494638445932)","(0.73551367287458091, 0.035375623772593352)","(0.79586560371133097, 0.036239635563379086)","(0.8469198034485842, 0.033890867447432915)","(0.72424338524182874, 0.038737781845661033)","(0.68183854888466811, 0.049872852197453237)","(0.88738270080451309, 0.044258842253662563)","(0.78509068429141382, 0.046751281088603193)","(0.85068416511390232, 0.041983866453810859)","(0.87614135433369278, 0.043233942354984692)","(0.79662400180150261, 0.016511679422857108)","(0.831196142895815, 0.028247482199151918)","(0.84792249402749831, 0.037052918081485198)","(0.78842172584855352, 0.031455927613736508)","(0.70840588320381703, 0.036616580231925537)","(0.82255162324232156, 0.051328053445158617)","(0.82060897021232349, 0.0557276553517684)"
2,"(0.67663462663601048, 0.041353229696419296)","(0.87067151636013862, 0.029680481722118034)","(0.96360003390979365, 0.029684341668314962)","(0.81527240667332534, 0.030249505620761348)","(0.79836782409028517, 0.022712051187934665)","(0.76406586551011291, 0.018552704313962602)","(0.69982289698987155, 0.032823119796539978)","(0.80576466450789019, 0.028363192770514276)","(0.68420360711245409, 0.03230100198658456)","(0.7293379917371553, 0.02621944066734698)","(0.76059092648113857, 0.028076735189162011)","(0.82016850417958576, 0.028229065833378041)","(0.83129406640209214, 0.025563031440856188)","(0.80531962173890081, 0.031846909684712252)","(0.77916903874760679, 0.035434067933982419)","(0.78780157733061984, 0.050804923876846611)","(0.83857343194625966, 0.038593397116236397)","(0.75427973482857547, 0.018280822741548564)","(0.79831001336018759, 0.017688300458199576)","(0.83919312889069797, 0.039230591616652891)","(0.74228580664274935, 0.029855559024047316)","(0.82143954888425896, 0.022380551393856394)","(0.71857300132320012, 0.04208091253753176)","(0.79578210392410842, 0.030717928023121455)"
3,"(0.69208119690501424, 0.044328064524332376)","(0.85797536507788585, 0.031225948815456719)","(0.95581013328815656, 0.027185073063760435)","(0.81764659167645382, 0.027813204040091341)","(0.80258362830223939, 0.022022711335115137)","(0.76364845437888018, 0.018192857081876401)","(0.70860171472417777, 0.033702560397790675)","(0.8250757387162263, 0.027126396645208203)","(0.68424166161136069, 0.02936753051500042)","(0.75356315462727175, 0.025957020611032115)","(0.7733521439703418, 0.02597449794734686)","(0.83230258073095031, 0.024410947163235136)","(0.81832680712283401, 0.025470696646992735)","(0.8107615496746452, 0.032262669508833636)","(0.82090248389219656, 0.036788411898844277)","(0.79485572828490603, 0.052222481145847162)","(0.83578572285591313, 0.035616495147356167)","(0.78705668306708576, 0.016790226256607785)","(0.79833869198809826, 0.017114389542778542)","(0.83875463726373345, 0.037964906087807657)","(0.73604464245237722, 0.029744567574784105)","(0.81570119787054929, 0.02431275102056734)","(0.71115419623860132, 0.048177991594432652)","(0.80386362927414923, 0.031583385161712246)"
4,"(0.74565751053924079, 0.048254161898745006)","(0.8327070551918635, 0.031960662765313744)","(0.89308743805558999, 0.031828031500103507)","(0.78091570810137112, 0.02955305606729201)","(0.7837595996795147, 0.023167848339465044)","(0.7632539538932599, 0.0202907326884148)","(0.71946020792658971, 0.030185666184455701)","(0.81348483696980001, 0.040076716103475143)","(0.65664768380807181, 0.035390849070010402)","(0.71960735403953724, 0.02366336826273412)","(0.76601528644397832, 0.019708736909463703)","(0.82910058418381571, 0.028640855910371323)","(0.8089895623668093, 0.02367536261133257)","(0.82575783522185708, 0.034623530743060557)","(0.74635494338034736, 0.028817712634729712)","(0.82492091304196846, 0.049673352577141144)","(0.78848805165589531, 0.042420292839236075)","(0.7558156131083632, 0.020221261330695763)","(0.79665727882107351, 0.015658513945653253)","(0.76978111208105682, 0.044910544353413087)","(0.78883841236063712, 0.03314665310464316)","(0.82522763878456273, 0.024329018567908242)","(0.74398536171837204, 0.036268542818768894)","(0.76225510730227519, 0.042839459363135407)"
5,"(0.76105517169808701, 0.042758549955792924)","(0.83828999367039558, 0.031274724496281887)","(0.86825041764983169, 0.02830351382999809)","(0.78896236265303243, 0.03234746556244944)","(0.79660688124440748, 0.025787031310440873)","(0.78707618454963058, 0.021962792322656192)","(0.71450366766749862, 0.029208704361507597)","(0.78106840878880124, 0.036298726018784026)","(0.64682400051613975, 0.028747120970659713)","(0.71617271413850447, 0.017917646574474803)","(0.78676814734128442, 0.021354571386498853)","(0.82431675736454257, 0.029481777483024042)","(0.79536615945292144, 0.022082542906042016)","(0.80123536423225794, 0.033228831339716484)","(0.74179392992624282, 0.025746963237251931)","(0.81330108178253302, 0.043371551804869748)","(0.75983785986070485, 0.044364565234656622)","(0.74977337320247672, 0.020726104348037743)","(0.78246443425450352, 0.014351524709635332)","(0.80385818673909248, 0.039943353427187932)","(0.79231772658743616, 0.03277077023102571)","(0.82804481254565243, 0.027518700164460969)","(0.75766794046020747, 0.033616017667344733)","(0.74980203502152554, 0.038968444343240337)"
6,"(0.81693957598850075, 0.041922407878160588)","(0.8432081596765546, 0.033876185926759735)","(0.87390290546023586, 0.029021946853850879)","(0.79728117256319797, 0.037680155537044263)","(0.78331787606105185, 0.027978774354326851)","(0.80074419397616947, 0.023921844834814479)","(0.70834899389416817, 0.02913447777083096)","(0.78085571803768627, 0.038753738043181593)","(0.63849216515011231, 0.026625326264001149)","(0.70566921207647482, 0.018427325421591437)","(0.78217022653738566, 0.022852220001846051)","(0.79688200695744293, 0.027412651119992217)","(0.79811310447786155, 0.020548741363017316)","(0.81313757114416796, 0.033490604991097059)","(0.74062887332976213, 0.023780505665633101)","(0.81756157974123789, 0.046258175488764611)","(0.68455549158568085, 0.044231904124132623)","(0.744590643702292, 0.022049064479948793)","(0.78293685694069026, 0.015068755731838336)","(0.81016429623554187, 0.041073475396010216)","(0.79113174628761163, 0.035388516422226429)","(0.83620119152474237, 0.027330117959423045)","(0.74375002904263166, 0.034191714223534904)","(0.73927179521042563, 0.040338393724579341)"
7,"(0.80377155959335267, 0.043001805072441626)","(0.83454624879974626, 0.033758012990663985)","(0.87029401460314559, 0.028472721060613757)","(0.8051850161609313, 0.036511743664730562)","(0.78257381237115098, 0.027255444289680849)","(0.80102426926693271, 0.023682090844377633)","(0.71720886701727671, 0.028352013471454884)","(0.78203423102416247, 0.039287017330289595)","(0.64618598560946039, 0.026571318818700156)","(0.71436463237295589, 0.017776514288440504)","(0.79169751203127692, 0.021303251175280803)","(0.81092193693521653, 0.026817312812711939)","(0.78923023654596758, 0.022143381857471941)","(0.8021885068571647, 0.032500100485650343)","(0.73920204097913389, 0.02392137971003894)","(0.81592720952776565, 0.045261116651514506)","(0.68826658630794513, 0.044028700681810022)","(0.75079509599130589, 0.021640259870677428)","(0.77467048407699057, 0.014862045797956653)","(0.80447260391644171, 0.041503205896252747)","(0.79291692845375905, 0.036257136598371209)","(0.83908797354644149, 0.028662144774265218)","(0.75373066197477712, 0.035234330127111378)","(0.73946824658573695, 0.039317835267547986)"
8,"(0.78917199853761655, 0.046917905154062724)","(0.82055481452546852, 0.040689474343106963)","(0.85663549905343672, 0.032532083491114971)","(0.79885990252538519, 0.036985374073032082)","(0.80050272769464403, 0.030729449853593955)","(0.80543949063340503, 0.026948372031403506)","(0.71702645113605734, 0.027868132099331502)","(0.77214937143485662, 0.044974793887152781)","(0.6541809922793167, 0.027534293493425267)","(0.69912294146948906, 0.020427552989185242)","(0.77669952611519766, 0.021852931755938977)","(0.78999404334226775, 0.025785577645130477)","(0.78448147113457989, 0.01926932080781894)","(0.82618786248233844, 0.03160655850142205)","(0.74947035291933717, 0.020451956296432105)","(0.80948339913025613, 0.041324242906762551)","(0.664383587123764, 0.047861251273119486)","(0.72792593829105701, 0.025055469434417291)","(0.79432954388294064, 0.01323520970258427)","(0.80959303040550379, 0.039568479680966807)","(0.79208369231550058, 0.043091031076317454)","(0.82820982331459225, 0.029764277447106812)","(0.76276285821064582, 0.035004483209292094)","(0.74792559784835277, 0.039477794714483948)"
9,"(0.74447242243181644, 0.051213085735153888)","(0.80121404138987551, 0.040561642279771722)","(0.85157657959441446, 0.02998155229677768)","(0.78175717924524379, 0.035312595570425147)","(0.81496084554908199, 0.028412909914889792)","(0.805447426881302, 0.027366783100288377)","(0.74088379879679722, 0.027165353461208509)","(0.80414705071746806, 0.051314393443645308)","(0.67580699291677737, 0.024753314413632387)","(0.72921713242857022, 0.018514961065254017)","(0.81352254376207123, 0.021169758302292726)","(0.76261529394614636, 0.025896987625612714)","(0.77119952569538508, 0.01956399905745022)","(0.84109858762540357, 0.023874292297915059)","(0.78594101340183364, 0.024117015506786129)","(0.79873300903851452, 0.032415626265410523)","(0.64605799480853243, 0.048063059941502347)","(0.72955132146077906, 0.026515352490047651)","(0.80508190652424139, 0.015980115210249925)","(0.80075318144897567, 0.033635501223402607)","(0.77726834130747058, 0.044337729590968419)","(0.81032617081442304, 0.021279124380275887)","(0.71962018338553224, 0.031901387589598387)","(0.76114003597912794, 0.037469527842403427)"
