DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.93596731339387884, 0.052159218997593987)","(0.98251818651587319, 0.024373906308780606)","(0.79110709360711007, 0.072842100048274266)","(1.0978783842339241, 0.05131727132630013)","(0.92731638159700047, 0.04834284232038083)","(1.107621730656295, 0.07127554752324726)","(1.4272788814472002, 0.038092134271014225)","(0.51783769378139588, 0.029620457808718116)","(1.0296199375626847, 0.037052469187434267)","(1.0160553746165202, 0.040441548168743548)","(0.9875157935808353, 0.015641333187736833)","(0.86220240006579851, 0.03440808035875377)","(1.0200399091541625, 0.030150150018758735)","(0.88688691480608595, 0.049284738133196927)","(0.96500230901635842, 0.062656246151937364)","(1.0558665913367868, 0.031032776965684242)","(0.88742877640877815, 0.026495225829576089)","(0.97298497276689822, 0.061968640007223436)","(1.1087599568493387, 0.040544814839775824)","(0.8832137700258984, 0.040679627020992322)","(1.0139501020937907, 0.0075443007420443221)","(1.0148782855130918, 0.0076179384012699317)","(0.94236704998595222, 0.040521011033897159)","(0.78062927247680192, 0.061786607396138393)"
1,"(0.96956466713380429, 0.037230767649213931)","(0.95389898589174449, 0.055866672674435916)","(0.9687133193770493, 0.082040382031180567)","(0.97503645558623675, 0.070176265639463747)","(0.97448614245011833, 0.052580127739294158)","(1.0278090056786204, 0.074367555754929329)","(1.4446651326147513, 0.040275691524160273)","(0.48294626034242644, 0.025185852107372148)","(0.99804871857921362, 0.067066757655318443)","(1.0121510351021514, 0.056386659265784109)","(1.0063499736053785, 0.027968606775970874)","(0.87400427158548899, 0.042455257156265108)","(0.9928047749234421, 0.059779574353268791)","(0.86343345431682528, 0.079777603242201026)","(0.93587767454954918, 0.092323890217738874)","(1.0912150824202944, 0.11775028800474968)","(0.65229581739015707, 0.11174010459972017)","(0.83034723210473882, 0.091222647984055716)","(0.93751618853636587, 0.023960012074648707)","(0.888954984285935, 0.037505948936870447)","(1.0222705038725315, 0.019227113754296192)","(1.056693891279787, 0.031904186788391943)","(0.85566847400025414, 0.039904981861627109)","(0.94846141015964069, 0.041464259179701181)"
2,"(0.90052595367545418, 0.056376542350306022)","(0.91103163853844848, 0.067388589803716967)","(0.9549780646603504, 0.048370875667720227)","(0.95103765194189105, 0.094112537384258441)","(0.84714924841710959, 0.065408977911940253)","(0.71878119921981243, 0.058346326389843398)","(0.87535733671069327, 0.07840687016456091)","(0.9287604551864882, 0.074383092229274778)","(0.81049820041674336, 0.083418746693365381)","(0.99816247846654527, 0.087999571548090058)","(1.0802876923309228, 0.11452407231120169)","(0.84475750029706753, 0.090623585751725105)","(0.75448484777709002, 0.21618593003996178)","(0.88447955647955712, 0.094886355712932829)","(0.82946611236904066, 0.068586856450441352)","(0.77641703881827517, 0.12695097485410145)","(0.63020176669367411, 0.084832843343191106)","(0.81792029931876642, 0.10178839153751609)","(0.94007746722998198, 0.02032944027573233)","(1.0341036368786904, 0.063081554270877319)","(0.98482644247084961, 0.033981341337006726)","(1.138235294117647, 0.030074292443893435)","(0.82521767710439031, 0.049666727534532017)","(0.94001887252857896, 0.031926770826911775)"
3,"(0.8868449316219067, 0.050272926496959615)","(0.92134149839924451, 0.061787082755253991)","(0.96955213920387973, 0.045083145936229807)","(0.99695485157180674, 0.082090817610128639)","(0.76259637587569928, 0.073352986019695227)","(0.73343104567931239, 0.10171951481767291)","(0.8582544950220421, 0.075605516689825875)","(0.81448773637284044, 0.10758975456934934)","(0.90553776829123445, 0.08403226378633584)","(0.96346794197118379, 0.085668048944868444)","(1.0709814762885708, 0.10351398212253562)","(0.86475612019462056, 0.091330804050973366)","(0.85744494001015148, 0.22087907545868662)","(0.85430065061066141, 0.089363490983879038)","(0.8210980304009442, 0.092230622945108642)","(0.65299084144247355, 0.14079924157488954)","(0.61386854561433302, 0.087025179993634849)","(0.78444823178525735, 0.10810611168317297)","(0.94105635524888231, 0.021269299612551897)","(1.0413779828522085, 0.059109889069268826)","(1.0033379802558997, 0.019038839586956412)","(1.078102716601143, 0.033785705319685035)","(0.81770846960935706, 0.045753778918586827)","(0.93876870062494722, 0.040897906337875246)"
4,"(0.88328545355523025, 0.049991632469053755)","(0.926840359042299, 0.062337674571120404)","(0.96449366206992471, 0.053782909493522262)","(0.85493093833681366, 0.085578690633944493)","(0.84126942609908706, 0.068877539954244407)","(0.66282947184622631, 0.06845161999532641)","(0.85715575543371159, 0.071639454142389467)","(0.81797253634894951, 0.10075412491586613)","(0.91230067986356289, 0.091239846585702555)","(0.97332282957048066, 0.082890958446986476)","(1.0736532063062194, 0.10227172463932471)","(0.86676064494249949, 0.091675165757592852)","(0.87378508163023727, 0.2221335142798973)","(0.87838406658739643, 0.090178698053670805)","(0.83386361864809211, 0.083267289450855722)","(0.65342544617156073, 0.14460266401275426)","(0.62371007610113094, 0.085732408900454124)","(0.80849834983498259, 0.10740277575629785)","(0.94232793237750312, 0.019955072403637506)","(1.0638727578121865, 0.060536012086093598)","(0.98697833026886161, 0.034073081864967526)","(1.1338873159208569, 0.030538479305737394)","(0.8199976639162998, 0.048878374743506023)","(0.9392792666057076, 0.040305886866259126)"
5,"(0.93674855508814692, 0.045353938790610171)","(0.85802785910991519, 0.076960884081577891)","(1.2364074282346069, 0.1214092207755503)","(1.1844383829906278, 0.15589616868991665)","(0.85848602192817758, 0.049618608253353839)","(0.62916666666666676, 0.064854490864970318)","(0.77575600425652291, 0.05924448749650351)","(0.86988044901375794, 0.070007580493552948)","(0.94781592695832129, 0.050828872520393364)","(0.94603880924888184, 0.085005734988040038)","(0.98768885239063542, 0.068005127413979835)","(1.0514134447739738, 0.0950375133830728)","(0.48557059475189801, 0.22355572417406841)","(0.762672641237087, 0.10570535563478492)","(0.95022133167507372, 0.075284623656909772)","(0.71399014190542498, 0.1221856927297718)","(0.73371874962672734, 0.078815111473776095)","(0.54667762385536534, 0.12754090663730744)","(1.033108431370144, 0.058340082812236752)","(1.0215534347538509, 0.062547810255039554)","(0.98697667884237161, 0.04141162718255742)","(1.1308677162191183, 0.0323538529262032)","(0.79724026415725113, 0.080544451631387556)","(1.0306634043797809, 0.0291132717471746)"
6,"(0.99463968674757397, 0.045876673444721086)","(0.82930176546772494, 0.087196727600504606)","(1.2371856856617252, 0.12234519907310647)","(1.2677241326077728, 0.15390499419484918)","(0.94247725399570181, 0.03721476758675462)","(0.84738130402050382, 0.067535788728786572)","(0.82955972929815203, 0.05358107006719557)","(0.90745746176580355, 0.064574615416089678)","(0.9438316474355708, 0.043452001118606476)","(0.99822006472491953, 0.10966831597667265)","(0.94775598873854106, 0.052301747318705114)","(1.1616337528082823, 0.076414090926720579)","(0.48184918413849032, 0.17655363023178175)","(0.75240852116238588, 0.11117831364363019)","(1.0518411383267432, 0.065427647542599235)","(0.89663074380165375, 0.13963228272734948)","(0.90454153492382861, 0.057170896418700524)","(0.64360776616625115, 0.087941351008946483)","(1.0395879370856624, 0.051413558374135651)","(0.99251440656590129, 0.052012452866476953)","(0.99941331349092799, 0.040863123814317254)","(1.1300094147804141, 0.043570288644106572)","(0.92435274958910751, 0.070098759991086057)","(1.0151614297178835, 0.047218800671304718)"
7,"(1.0442602194138813, 0.035367987674434997)","(0.8442348377997172, 0.090233632390330429)","(1.3192965154503613, 0.15623827114823324)","(1.4183326769782314, 0.17274104803659157)","(0.97339560185779217, 0.052245557038538261)","(0.86561147360940549, 0.049750045275118629)","(0.85696460487413761, 0.052342169043649932)","(1.0371839702145864, 0.062654505225381241)","(0.98937327995997015, 0.049944992281572995)","(1.0552823815882486, 0.12092572145129921)","(0.93566307776532109, 0.079616009700828091)","(1.1406001199915687, 0.053728674824925007)","(1.0083020714402207, 0.2053931175101302)","(0.85026942464800981, 0.16751866923641065)","(1.082903745469191, 0.049595750566004085)","(1.1815956565749495, 0.15262882140026143)","(0.93848390446521124, 0.06983348007669235)","(0.95940314136125704, 0.070504140536227583)","(0.80007940777171571, 0.15079789824987541)","(0.74979931275446932, 0.15152161661975075)","(1.1431112375938237, 0.13968869104120482)","(1.1163608167485155, 0.092547962470430692)","(0.9812282703172529, 0.079347202526692084)","(0.92680877068267309, 0.032278543082925742)"
8,"(1.0509300783839652, 0.049200247251133832)","(0.88954789993003691, 0.071594988568945084)","(1.0136750080205323, 0.06348550416836149)","(0.97707776505027122, 0.095026954330336602)","(1.0239544246626902, 0.063310037953584836)","(0.85392191817452423, 0.054768603382739152)","(1.2088551859099792, 0.10173619549404761)","(1.064407853071565, 0.076558242971553558)","(1.0014789533560859, 0.088890888426912354)","(1.0755077745163071, 0.10330908236143084)","(0.89152475747918769, 0.18436766762521392)","(1.3182576459684883, 0.16995641866092376)","(1.1128114224661234, 0.19965060369380433)","(0.86018666666666554, 0.16079397015257449)","(1.0546199701937424, 0.08183573670078087)","(1.0664556170074302, 0.17263688495762036)","(1.032675093338127, 0.16095784394660947)","(1.0353411888849804, 0.062987667875341852)","(0.75933577774644034, 0.17511893621171992)","(0.9338195827201089, 0.12474895741168453)","(1.0393792229729759, 0.15166720455995461)","(1.19846327487411, 0.059257225216692279)","(0.90900485928325547, 0.10465703787103363)","(0.92319855753644076, 0.029511510467610205)"
9,"(1.0469725824909399, 0.0465448952980205)","(0.98186240166516969, 0.042019602300443638)","(0.9295147709099032, 0.46457735549142437)","(1.0750887078545741, 0.034086559153663556)","(1.0194793857237532, 0.039984931407035976)","(0.97738903851844428, 0.097900022006014498)","(0.81824349576518818, 0.14045385058111526)","(1.0532004998834206, 0.036308982680637501)","(0.97062044380898971, 0.08699780347902511)","(0.91217720948151326, 0.19462124490308014)","(0.2809974551685871, 0.027037869492416849)","(0.93578208897676196, 0.18468142165663032)","(0.66565530179122412, 0.027262954469610749)","(0.97274404840465334, 0.048301868860923108)","(0.91385734023995358, 0.023928392529305929)","(1.0157329373887196, 0.021209282901912839)","(0.96626561989867699, 0.01916786334766039)","(0.97521287553648062, 0.022860678497002018)","(0.98788942492138265, 0.023598065400875175)","(0.91833020552594957, 0.034459465467998836)","(0.98063743338907028, 0.024273228006075329)","(0.99898152157016284, 0.019537388559920259)","(0.9630292370413267, 0.27633028826613665)","(0.39106478873163575, 0.061652980483376536)"
