DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.9361218662435562, 0.041421891258972644)","(0.87940568735993352, 0.067744823884991312)","(0.69904820157032421, 0.098236010954647582)","(0.7561829869742811, 0.055564042349726062)","(0.76689649005376848, 0.067340135180635488)","(0.88650271946582726, 0.050745833616031188)","(0.63809405943843034, 0.093757477568715691)","(0.75557908960638132, 0.094018772284535312)","(0.77249941818927492, 0.041389580380249667)","(0.60501428013263792, 0.042510218875122172)","(0.63857320606497292, 0.041608745298668218)","(0.61910741156983973, 0.049447799385049028)","(0.57314638719618727, 0.067585799512510078)","(0.50912160146370689, 0.078924483008662255)","(0.54802083199201901, 0.092839546841409173)","(0.47545965014118746, 0.0663752893314319)","(0.59112725097982566, 0.068722388246400465)","(0.62942214792373918, 0.038017095290477552)","(0.66649435811199698, 0.046447537461424999)","(0.58132364467655318, 0.072401548471504776)","(0.67604321395944433, 0.088559439579777924)","(0.67670587748133149, 0.059825520003743457)","(0.63974443292186545, 0.078677542346797177)","(0.86841522891769884, 0.13327622299740549)"
1,"(0.56441025733619399, 0.057694302187433794)","(0.6856655680716599, 0.069650699636670574)","(0.61746979541269575, 0.079786265527659314)","(0.80040190310201587, 0.069478924031940809)","(0.77328934015244122, 0.065052739694299228)","(0.8140447905947471, 0.085603620039897493)","(0.76922563179724457, 0.095954233992248381)","(0.83256239815226074, 0.093409006900008987)","(0.56120200180311219, 0.12103384893029713)","(0.46379654035981577, 0.074447218716425456)","(0.64576957288051617, 0.061317142936439653)","(0.42807413701737546, 0.057165856840503938)","(0.52772805005674805, 0.061379621465967177)","(0.66382929209499686, 0.16859502762214634)","(0.48279939909976427, 0.13454716245642809)","(0.26272617615708455, 0.22652468296038467)","(0.39782041036507393, 0.073633992402483417)","(0.5372662136121974, 0.039810008319976581)","(0.60417439492907843, 0.054242161673046407)","(0.67684666272224414, 0.051693664632234258)","(0.53498365608561371, 0.050175350347140255)","(0.6793076734695318, 0.080868124056294857)","(0.60377968806793159, 0.082397148139837839)","(0.72336514432710641, 0.093747464623044882)"
2,"(0.67952113302832318, 0.070550005370045882)","(0.72548897855939898, 0.073712559541284653)","(0.64736501072705288, 0.058615197061534417)","(0.82529350316927064, 0.10617680278553923)","(0.76468379514560747, 0.067755771800095871)","(0.82673353837467256, 0.0716608109074275)","(0.79748525447173046, 0.10818335150437326)","(0.82637035572431716, 0.098249474328046926)","(0.65983710451407018, 0.12458994100602849)","(0.52490059545110512, 0.067310711948734295)","(0.68189362069129389, 0.054639415619804718)","(0.5131445915507854, 0.065990729103136747)","(0.46911948276323362, 0.051850499191423975)","(0.57493027608779923, 0.16961434623906319)","(0.59416998813190769, 0.12357406103139687)","(0.39955644454452088, 0.22095020770086524)","(0.5755772620322368, 0.068611289725352159)","(0.52157638453320221, 0.042937989597813808)","(0.58501901023481995, 0.067398702210624314)","(0.59550854343995641, 0.04530342619807344)","(0.65818822327065829, 0.048289184479117481)","(0.84523153549928942, 0.10447479068637074)","(0.69327960051084148, 0.095309161038643023)","(0.70746318848086143, 0.083028089570224686)"
3,"(0.90920334659530977, 0.047174073876044421)","(0.81540632050855932, 0.067353027487217082)","(0.62016911519161577, 0.090807277431582206)","(0.79550099351210235, 0.063073122738014131)","(0.75272889458348602, 0.079477061635525828)","(0.89134696863308238, 0.062191833849295594)","(0.71570682139241881, 0.083814133302514221)","(0.71291853798430649, 0.086279410306091264)","(0.52339668960525199, 0.086995589406307597)","(0.4650953950140575, 0.067629476039637967)","(0.66258372062457194, 0.045672840406950632)","(0.53028514537174465, 0.049870252972189937)","(0.50309614218119103, 0.061193254381942952)","(0.55228988070444385, 0.090612378539984259)","(0.37666007475614405, 0.11856302159167875)","(0.39775316714397613, 0.072743100583251452)","(0.53769853801350798, 0.075510285484715375)","(0.54197353391711056, 0.034951352306203921)","(0.59250281578406483, 0.036140127236517591)","(0.71049651172437678, 0.080665651326282908)","(0.63123298375323256, 0.089393569489224112)","(0.76330231642788349, 0.075609883432060529)","(0.60655672849409947, 0.085278824650944121)","(0.80917601511175952, 0.10999244318968744)"
4,"(0.88848504698014175, 0.041013144706616003)","(0.87217037713566647, 0.080835804914636447)","(0.76142847456297691, 0.066102523475866384)","(0.8405122730841792, 0.073317943420096898)","(0.7620169760942217, 0.060920646649181946)","(0.83381742211287768, 0.069193191725388264)","(0.69118376754945532, 0.098785627194340059)","(0.75473121380134811, 0.088813780929942979)","(0.8284017566573908, 0.04236444531639786)","(0.6333127761870081, 0.047739791914374517)","(0.63172473703125143, 0.043799068783739792)","(0.66058296578473619, 0.050721381159736116)","(0.650339265684581, 0.05037752642058474)","(0.59249978573243256, 0.06176879765903262)","(0.60703966144137622, 0.076327717643095302)","(0.67876491076152523, 0.075108288681512675)","(0.76541391904878453, 0.045369672054035644)","(0.62236690636162284, 0.035994648784614211)","(0.64484186646713193, 0.04945056393864404)","(0.55580532885369194, 0.06242537078317683)","(0.78100806611695239, 0.093177074293109827)","(0.82669308754948578, 0.065130007972774406)","(0.76403993906791035, 0.052797480472845826)","(0.81499501159586163, 0.12582281193520356)"
5,"(0.76736990937580174, 0.060937549743866753)","(0.86773626612450971, 0.079775137630473503)","(0.77820883580531863, 0.061637085250381085)","(0.81766605445436635, 0.081226732353242653)","(0.78080643923050286, 0.064332539600307576)","(0.81837683212604029, 0.05828115715685029)","(0.64033291188439867, 0.10166670910424848)","(0.75636764454994543, 0.081846871182845671)","(0.78200399098669371, 0.042681839990716293)","(0.58230616193621132, 0.03563696867872803)","(0.61133738324788545, 0.046032462780163534)","(0.63302850841092062, 0.047327978685209493)","(0.64926883427538062, 0.053620846753443051)","(0.60423452815272805, 0.059305654999944203)","(0.56588412023504908, 0.071318980159658707)","(0.56887865241330049, 0.069237772413891091)","(0.67604453020086253, 0.043658086568558289)","(0.69172869975276341, 0.035029958513170353)","(0.62960776724459355, 0.049729499385078361)","(0.55603183990095073, 0.074835267006207823)","(0.77714785702671574, 0.079022129615307718)","(0.795170668199222, 0.051388053576468147)","(0.69982256919758246, 0.069615042616856762)","(0.89927205726994996, 0.12041760638802748)"
6,"(0.75618508717676269, 0.060029950216521646)","(0.60430518329809446, 0.063239520772678776)","(0.7117362857262608, 0.04132080204162137)","(0.58839006760675894, 0.038635660666829906)","(0.71708707041577968, 0.045700397555833293)","(0.79825535540312242, 0.042122699645403716)","(0.6666480529037685, 0.053311080516015151)","(0.81450476580781705, 0.071155948140912154)","(0.68257965449081015, 0.045380572894045228)","(0.78850380332677106, 0.057059958718161982)","(0.75416006390618529, 0.056277866427793879)","(0.5316114501193383, 0.048773604451932136)","(0.49355416262365909, 0.042057439389915303)","(0.62906470820923011, 0.069152803313323366)","(0.54454795143804491, 0.095936994836729947)","(0.44024665134780477, 0.062646073989582468)","(0.66390927087282836, 0.054461166918081845)","(0.73772430151855228, 0.070165939446690764)","(0.61157686979016113, 0.039150751053412612)","(0.68789795838583712, 0.069790611312381443)","(0.51630065559621008, 0.046495472905978968)","(0.51957981184859592, 0.051672037894598434)","(0.56037400974372364, 0.080583250781907034)","(0.6077999149505906, 0.11640454565889589)"
7,"(0.9358361178986887, 0.04178597535201261)","(0.8994160486677224, 0.065761078830007105)","(0.74255425405405007, 0.089701827115456254)","(0.80336357779454226, 0.052088131178973672)","(0.7387222328157399, 0.065394036892108015)","(0.8919392924554963, 0.050624739537411707)","(0.65493950059989736, 0.10299530354245713)","(0.74520529014437997, 0.089917560769944518)","(0.77816121084777967, 0.041150230823632103)","(0.60538672736609411, 0.038830403451384519)","(0.65845026834460718, 0.040939413030559431)","(0.61479232890489166, 0.046288741968523936)","(0.51093673105488724, 0.061957502228401407)","(0.49219845279191787, 0.061771489775675474)","(0.53989915707262948, 0.076919621300365337)","(0.49541990300137506, 0.064819789495805774)","(0.68536060368255836, 0.050316247375144681)","(0.66603856964404473, 0.037734427598573379)","(0.62181633725566399, 0.043939093317743809)","(0.5388745361055155, 0.069951104580592852)","(0.71458290940542413, 0.086900499559179209)","(0.67594534263389439, 0.055050778157477963)","(0.7059950756878387, 0.082093224007815449)","(0.84548141510598462, 0.12793492509278637)"
8,"(0.92216712836118875, 0.039954864901757814)","(0.84579928746432853, 0.070062827921802961)","(0.60807612541306488, 0.10150255352165551)","(0.74796252705091659, 0.06035244529895701)","(0.73282169883103165, 0.072142885348797259)","(0.83572299804572026, 0.065858250447359309)","(0.54629895262809769, 0.10047654535430635)","(0.75502556612920935, 0.082728856962005715)","(0.76195289803017718, 0.039835153751850753)","(0.61625529473095175, 0.041906616890726306)","(0.60858232051503491, 0.04517726227130886)","(0.62062216455273, 0.051498179518035953)","(0.54166876357458282, 0.065898386985300803)","(0.49474461620830607, 0.082826449192637375)","(0.59747111776800765, 0.090900841521029924)","(0.46657511787434874, 0.064388657845292546)","(0.60261183785706396, 0.058560583696663761)","(0.65686105513532611, 0.042574411480859518)","(0.65113445416959947, 0.05160430379700931)","(0.49838038204436202, 0.063708017046586976)","(0.70478239492790096, 0.080707824412458481)","(0.69385965437144759, 0.076831237322003421)","(0.63968428212677253, 0.071316190958624917)","(0.88273040431676064, 0.13078074409720905)"
9,"(0.68592815010639807, 0.091647720244795047)","(0.73957468441568242, 0.071234694602644213)","(0.66797359205367923, 0.066880125331784765)","(0.91419875920702598, 0.10959025268459024)","(0.73548643915861722, 0.066497427498021511)","(0.82970689681251319, 0.070712604059286865)","(0.76228950686615127, 0.11312888927466536)","(0.82989997820913486, 0.10179852416694356)","(0.68604947779726877, 0.12337931712747607)","(0.50712554030310031, 0.066553274796122774)","(0.65049189822932374, 0.095744728360221951)","(0.64486186903471454, 0.11998435426799121)","(0.48935129751074075, 0.051392618798734184)","(0.54024472039850868, 0.15937071195672367)","(0.54025887066910627, 0.1118181399639207)","(0.43999403551892513, 0.21962907659643965)","(0.60791758288059916, 0.066218552065092001)","(0.5196537271480608, 0.040356012237999714)","(0.67392801365251442, 0.12395196123001062)","(0.5952330223790282, 0.045975991293517586)","(0.63727330190029141, 0.051131255020064943)","(0.83498678449564534, 0.09319368115004549)","(0.71036399483216894, 0.097135977978860186)","(0.81858172920107553, 0.086109005826307594)"
