DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.99104589119879172, 0.038760081469925024)","(0.78494573091400555, 0.050948703681880668)","(1.0497899730935507, 0.037313530747103238)","(1.0285616198097134, 0.04089154693410002)","(1.000564748921257, 0.062491787844260127)","(0.97321203433002401, 0.07720498145661793)","(0.75410771933354281, 0.054957899802919846)","(1.0553754402286888, 0.091285252811566672)","(0.61554843116431046, 0.062616886490090604)","(0.42287153759235768, 0.067658886775501012)","(0.64933259432956703, 0.10753262345325285)","(0.56423339274674256, 0.12732296386031999)","(0.42318245268503318, 0.061570594673728302)","(0.65275795939314019, 0.16614891089681255)","(0.98819646657737359, 0.23485916747322941)","(0.84940253190971549, 0.076767551535079359)","(0.56861486706759568, 0.061660815460173206)","(0.28013689727575131, 0.17877955851595567)","(1.065243285925872, 0.13129566596053882)","(0.88518272451412383, 0.059504617645947583)","(0.54467834257745251, 0.078397743417693497)","(0.68398226331925716, 0.058268903861095046)","(0.60497034893199975, 0.10800573203588343)","(0.90433155561999379, 0.066821365178435108)"
1,"(0.98897767148252824, 0.039633428918148805)","(0.78560615444624271, 0.050981503349716489)","(1.0420539010047714, 0.035539867747380466)","(1.0344705591168479, 0.03987501341832235)","(1.0001475199762393, 0.062793874531852076)","(0.97197553975870921, 0.077742549083464743)","(0.75356753109578334, 0.055007702579695762)","(1.0574613113607532, 0.090566059372343966)","(0.57222248492668992, 0.063415679639042918)","(0.42565822686400145, 0.081076368387032471)","(0.73288785173600124, 0.11829234011319341)","(0.56332718053385078, 0.12716399084708777)","(0.40489512593410587, 0.060702520094747719)","(0.64796328553265559, 0.16626759672989019)","(1.0080468443747546, 0.23627738853914915)","(0.848875468896235, 0.076827750738761288)","(0.56507737208281184, 0.061666483817630742)","(0.28769336482500274, 0.17147078954135497)","(1.0617215803147197, 0.12930059699852187)","(0.88445928798994067, 0.059660908900271523)","(0.53998495760024456, 0.074776663527781978)","(0.66463376465517077, 0.061977336135313234)","(0.62900289296272138, 0.11061514521837452)","(0.90478540370622151, 0.066763437500330189)"
2,"(0.94866746475765396, 0.06920591777693591)","(0.85769107591569804, 0.037162619247695948)","(1.0506698547384403, 0.032264804720462961)","(0.97819751819368328, 0.040704420331440033)","(0.98236996690515843, 0.062042403803992376)","(0.96327288322910687, 0.086786723225235118)","(0.71100749950958086, 0.066511269779840593)","(0.56918213551361674, 0.059388780397434414)","(0.52352007334096007, 0.050228417506572746)","(0.35406084202027888, 0.043974536708341866)","(0.46781120431116691, 0.059738330138009374)","(0.37007949158884645, 0.097455360872520061)","(0.40870108387111714, 0.076480457542754898)","(0.4445643527527241, 0.14100862593446142)","(0.9414689618757579, 0.18718061319805324)","(0.5993296339437012, 0.080055204672657809)","(0.38197094173086582, 0.046370046146379469)","(0.080396800447263744, 0.1843271923561563)","(0.67991282091763328, 0.094905953518292743)","(0.59674893758602154, 0.062900262833123444)","(0.53744075569290584, 0.040204795640241084)","(0.58519266985905338, 0.045258047615974559)","(0.53961822446353314, 0.06686039446234622)","(0.79811027639767895, 0.061804538618550398)"
3,"(0.81570703735445438, 0.084214293379507615)","(0.86909488750550978, 0.040256757013545363)","(1.053510258876339, 0.027530135195789091)","(1.0066517267380057, 0.0413160114013503)","(0.96872417278329337, 0.053657094523519022)","(0.75434598861401359, 0.079007908439665792)","(0.58961953077982254, 0.068596458181353584)","(0.48527807330455675, 0.052195525413642939)","(0.50669330929670298, 0.052611508164519538)","(0.38290993264821488, 0.045991493906715489)","(0.42543404535471058, 0.060731497230937258)","(0.44251379000391633, 0.038527488549284922)","(0.33129210065693032, 0.056165208199048702)","(0.69624119736242285, 0.13887397014618238)","(0.57755841781767336, 0.14899932927816162)","(0.70420542684088094, 0.084692281316987361)","(0.39116941261787347, 0.037553126050257013)","(0.4065257612065169, 0.071153860425641799)","(0.98118644207579164, 0.12631887438763817)","(0.46824420771445252, 0.040966880575193113)","(0.58944478755454977, 0.051853366572039671)","(0.66230559444546167, 0.057763915873620689)","(0.55688494262851729, 0.056857457894972499)","(0.88972010571817561, 0.060342335325385694)"
4,"(0.95592048934184892, 0.051034112595801179)","(1.0796700493584321, 0.020899339637358759)","(1.0796809653211961, 0.029142973345641018)","(1.0576115111860367, 0.023834877444225074)","(1.0532522862562457, 0.021953808962603606)","(0.89931504594976763, 0.067375095474583979)","(0.82575541549709652, 0.051185357955378472)","(0.97109810146114595, 0.046990889931460403)","(0.96388767487092553, 0.059714993966616003)","(0.75091020206096526, 0.064195464863206084)","(0.80058236769785684, 0.058748229821331571)","(0.83285869996108408, 0.062433264208156439)","(1.040628537551757, 0.069505931101130708)","(0.9879146596393259, 0.097504621113617629)","(1.0337305654279949, 0.04923577439854538)","(1.0693679147334811, 0.043214963574259184)","(0.93205063958642409, 0.03633362533323329)","(1.0408765303089436, 0.053819392458211393)","(0.92509489240498466, 0.044933879507682725)","(1.0423473159228223, 0.080526407389517926)","(0.68497904849116065, 0.071159716346531371)","(0.80693902445928234, 0.093185312343111393)","(0.8471062059437946, 0.058425774768118714)","(1.0325633178807578, 0.02540601453879951)"
5,"(1.1933186647370309, 0.10919779079273167)","(0.70241191245624324, 0.1226424387776795)","(0.96523109498022264, 0.093940975700592511)","(0.62794443843834025, 0.07252411662690772)","(1.018081655631913, 0.028263021919557631)","(0.79333890466557355, 0.088585730139452312)","(0.88167694351380133, 0.0690835507419571)","(0.82536014417233539, 0.061553774543418545)","(0.74331041433575107, 0.06136510141407793)","(0.67494546727666105, 0.062284573699857779)","(0.73097452657500339, 0.062597645200027183)","(0.72508650349883808, 0.064598841200189647)","(1.0860316522327154, 0.038090117028393614)","(0.91900518438764955, 0.036833653961575084)","(0.91034403932521424, 0.12439469659045413)","(0.93211835410225363, 0.065740263794283257)","(1.0266898153190984, 0.086261709103737483)","(0.99749653776753477, 0.077979221588639097)","(0.89358130421878701, 0.053581535266071026)","(0.81619913664565025, 0.090292982679448242)","(0.69000114575159266, 0.079778829522415898)","(0.56107292168997569, 0.091257031116979734)","(0.80680472368142808, 0.065401978314443318)","(1.1183585364701496, 0.1294718229990347)"
6,"(0.97947571474297523, 0.10422795673373973)","(0.71006208363324463, 0.12383596751532662)","(0.97148157079243314, 0.089770372884851582)","(0.71996477567212325, 0.074237012352248569)","(1.0140199362517499, 0.027141824654361952)","(0.82066572779423463, 0.081091932558751467)","(0.90518656714198475, 0.056071074519992305)","(0.89787246712742164, 0.062062056215983159)","(0.93117468425690797, 0.062414074360994887)","(0.66677975336646034, 0.06068213833036213)","(0.73608453477352254, 0.058460076689557959)","(0.78204163626046874, 0.061851476661771404)","(1.0544059754512858, 0.036110975282341466)","(0.91722120298513587, 0.035489173409549379)","(0.92188758825840289, 0.088235311528375937)","(0.94760878463456033, 0.062509029348883541)","(1.0299260141752185, 0.081925381740208025)","(1.0188388184924497, 0.07799988793712162)","(0.8422969597319675, 0.046900520690098341)","(0.82959436118036445, 0.083787940209846618)","(0.66687354699261236, 0.082027193909307711)","(0.5515234805276259, 0.086834836870489082)","(0.85679986541123365, 0.060985550211262798)","(1.0995870200953313, 0.10451423028555065)"
7,"(0.99387060123212756, 0.039470928187331625)","(0.75263665821045045, 0.049040723750309954)","(1.0674153864760023, 0.038240573496505378)","(1.0276721719348589, 0.050553794772274577)","(0.99128963899467548, 0.063462317224272702)","(0.90160899068389433, 0.083082752773046095)","(0.70434983428161635, 0.060542529611459908)","(0.77781206016339743, 0.079017206471994769)","(0.56043860000773627, 0.052520910813761777)","(0.32006947331426444, 0.048605813767021347)","(0.63497043994901159, 0.10590880599268519)","(0.46211359459794937, 0.12386059664921721)","(0.41159300787891534, 0.065588892797346546)","(0.9980247190550493, 0.17986594315114224)","(1.0008978974336109, 0.18254855887995414)","(0.86927103681249906, 0.079629784763201011)","(0.3673397939060804, 0.055268822039685278)","(0.23499126005034082, 0.14387661634964766)","(0.63263301134867422, 0.093028013551402014)","(0.74312610213810837, 0.067420294862607047)","(0.54473843008540757, 0.075966999258009121)","(0.66100134680336675, 0.054276337635830195)","(0.52713129993569596, 0.11344864089691856)","(0.93856065166301439, 0.055683641629319075)"
8,"(0.84371732867108973, 0.068560442119956475)","(0.5190345081696196, 0.04949372346032873)","(0.94318423138906071, 0.1088825853509764)","(1.1462728400305739, 0.14262017770490784)","(0.65830195089298227, 0.070001914101678553)","(0.82496705137217841, 0.072702150265990223)","(0.46442732401680081, 0.066713298961417741)","(0.28420469821916811, 0.063642638025892137)","(0.38667224949153234, 0.056464280323364403)","(0.59046959351207506, 0.058741593638981425)","(0.38012321316749237, 0.048923812916619999)","(0.40483126815004739, 0.04833259833003465)","(0.33967810488310968, 0.046974383591511439)","(0.45694928708381272, 0.070943850617251114)","(0.89059135965005176, 0.092863633483596011)","(0.72944194617431979, 0.091689248162895615)","(0.88247227484099799, 0.12903365558434393)","(0.13819464230147341, 0.069286896085559213)","(1.0639556046596692, 0.066452075730402113)","(0.72687668142715556, 0.06989296459246519)","(0.57196577324063191, 0.043133683518755211)","(0.50126116456394776, 0.045136389453260817)","(0.53298178668969343, 0.049786179626155953)","(0.75989523032289985, 0.079655890958659201)"
9,"(0.73652492842574557, 0.070811602324880527)","(0.55689598970654852, 0.047240739533480146)","(0.97039336261711739, 0.089716156167189448)","(1.0429261084295613, 0.094733483211824746)","(0.71552503087693775, 0.070646827502806514)","(0.83228719494382974, 0.067393183955776453)","(0.50299067284422938, 0.06981970362771503)","(0.32033952902935625, 0.059552571253236132)","(0.3986849458132018, 0.062326038743244126)","(0.5470325786307394, 0.055038970162698875)","(0.3103997480263927, 0.043478686036246668)","(0.45689411869856011, 0.045472978038577)","(0.34400881286072132, 0.041004917292311108)","(0.41883830765086388, 0.071203482044649935)","(0.59977132199993011, 0.10612019654273237)","(0.69422997888777049, 0.094221948443667894)","(0.96932823594910211, 0.13219825338431526)","(0.10781793855980892, 0.07032925534841937)","(1.0627918392601208, 0.069785813670047575)","(0.60358137628693731, 0.061438059124160505)","(0.5419951161111104, 0.040650958936934822)","(0.51913347080513472, 0.0376651588425191)","(0.49802630274170762, 0.047688907274919992)","(0.78423459885596036, 0.072530990959052785)"
