DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.5404474418062184, 0.022607527914820541)","(0.17111820990321186, 0.02434065564271596)","(0.074084868424455955, 0.0053766537224949115)","(0.0089319552110246458, 0.0082224808335875244)","(0.63046560471677848, 0.028654150373705067)","(0.14816929245474059, 0.012339772726352595)","(0.35993388206222071, 0.10445669405765833)","(0.34871565819341843, 0.020199724223337628)","(0.35411661430419528, 0.0084143597123661294)","(0.056989138040182553, 0.015573822458833203)","(1.3508587725192791, 0.019391262441294958)","(0.36658035762169727, 0.00083107056637244194)","(0.073769149683766744, 0.0077520352466989729)","(-4.8221257035647263, 0.35500484463064347)","(0.29251700680272008, 0.031814020252385965)","(0.47349893798197445, 0.021022727398382561)","(0.55414639003301913, 0.016680845974377988)","(1.680213136591864, 0.092201471830758802)","(0.37530527213913861, 0.0082472924809513515)","(0.20543689320388336, 0.04961619515456852)","(0.5543080789133632, 0.070000688022251734)","(0.1517758751424387, 0.037321189484537595)","(0.674829546643548, 0.04608094468775191)","(0.53430177069039586, 0.02619745446115164)"
1,"(0.5404474418062184, 0.022607527914820541)","(0.17111820990321186, 0.02434065564271596)","(0.074084868424455955, 0.0053766537224949115)","(0.0089319552110246458, 0.0082224808335875244)","(0.63046560471677848, 0.028654150373705067)","(0.14816929245474059, 0.012339772726352595)","(0.35993388206222071, 0.10445669405765833)","(0.34871565819341843, 0.020199724223337628)","(0.35411661430419528, 0.0084143597123661294)","(0.056989138040182553, 0.015573822458833203)","(1.3508587725192791, 0.019391262441294958)","(0.36658035762169727, 0.00083107056637244194)","(0.073769149683766744, 0.0077520352466989729)","(-4.8221257035647263, 0.35500484463064347)","(0.29251700680272008, 0.031814020252385965)","(0.47349893798197445, 0.021022727398382561)","(0.55414639003301913, 0.016680845974377988)","(1.680213136591864, 0.092201471830758802)","(0.37530527213913861, 0.0082472924809513515)","(0.20543689320388336, 0.04961619515456852)","(0.5543080789133632, 0.070000688022251734)","(0.1517758751424387, 0.037321189484537595)","(0.674829546643548, 0.04608094468775191)","(0.53430177069039586, 0.02619745446115164)"
2,"(0.5404474418062184, 0.022607527914820541)","(0.17111820990321186, 0.02434065564271596)","(0.074084868424455955, 0.0053766537224949115)","(0.0089319552110246458, 0.0082224808335875244)","(0.63046560471677848, 0.028654150373705067)","(0.14816929245474059, 0.012339772726352595)","(0.35993388206222071, 0.10445669405765833)","(0.34871565819341843, 0.020199724223337628)","(0.35411661430419528, 0.0084143597123661294)","(0.056989138040182553, 0.015573822458833203)","(1.3508587725192791, 0.019391262441294958)","(0.36658035762169727, 0.00083107056637244194)","(0.073769149683766744, 0.0077520352466989729)","(-4.8221257035647263, 0.35500484463064347)","(0.29251700680272008, 0.031814020252385965)","(0.47349893798197445, 0.021022727398382561)","(0.55414639003301913, 0.016680845974377988)","(1.680213136591864, 0.092201471830758802)","(0.37530527213913861, 0.0082472924809513515)","(0.20543689320388336, 0.04961619515456852)","(0.5543080789133632, 0.070000688022251734)","(0.1517758751424387, 0.037321189484537595)","(0.674829546643548, 0.04608094468775191)","(0.53430177069039586, 0.02619745446115164)"
3,"(0.5404474418062184, 0.022607527914820541)","(0.17111820990321186, 0.02434065564271596)","(0.074084868424455955, 0.0053766537224949115)","(0.0089319552110246458, 0.0082224808335875244)","(0.63046560471677848, 0.028654150373705067)","(0.14816929245474059, 0.012339772726352595)","(0.35993388206222071, 0.10445669405765833)","(0.34871565819341843, 0.020199724223337628)","(0.35411661430419528, 0.0084143597123661294)","(0.056989138040182553, 0.015573822458833203)","(1.3508587725192791, 0.019391262441294958)","(0.36658035762169727, 0.00083107056637244194)","(0.073769149683766744, 0.0077520352466989729)","(-4.8221257035647263, 0.35500484463064347)","(0.29251700680272008, 0.031814020252385965)","(0.47349893798197445, 0.021022727398382561)","(0.55414639003301913, 0.016680845974377988)","(1.680213136591864, 0.092201471830758802)","(0.37530527213913861, 0.0082472924809513515)","(0.20543689320388336, 0.04961619515456852)","(0.5543080789133632, 0.070000688022251734)","(0.1517758751424387, 0.037321189484537595)","(0.674829546643548, 0.04608094468775191)","(0.53430177069039586, 0.02619745446115164)"
4,"(0.54044744180621829, 0.022607527914820597)","(0.17111820990321183, 0.024340655642715966)","(0.074084868424455955, 0.0053766537224949115)","(0.0089319552110246458, 0.0082224808335875244)","(0.63046560471677848, 0.028654150373705067)","(0.14816929245474059, 0.012339772726352595)","(0.35993388206222071, 0.10445669405765833)","(0.34871565819341843, 0.020199724223337628)","(0.35411661430419528, 0.0084143597123661294)","(0.056989138040182553, 0.015573822458833203)","(1.3508587725192791, 0.019391262441294958)","(0.36658035762169727, 0.00083107056637244194)","(0.073769149683766744, 0.0077520352466989729)","(-4.8221257035647263, 0.35500484463064347)","(0.29251700680272008, 0.031814020252385965)","(0.47349893798197445, 0.021022727398382561)","(0.55414639003301913, 0.016680845974377988)","(1.680213136591864, 0.092201471830758802)","(0.37530527213913861, 0.0082472924809513515)","(0.20543689320388336, 0.04961619515456852)","(0.5543080789133632, 0.070000688022251734)","(0.1517758751424387, 0.037321189484537595)","(0.674829546643548, 0.04608094468775191)","(0.53430177069039586, 0.02619745446115164)"
5,"(0.54505546462720567, 0.025111717815928952)","(0.19339022393640753, 0.032379224829088442)","(0.060166959046639677, 0.0057355861344856023)","(0.099062792459557195, 0.028139811686787631)","(0.62954521012921905, 0.028714296874815467)","(0.38957002303739119, 0.035500566114789654)","(0.62224378732823793, 0.075211771215338563)","(0.39987951064080368, 0.02463366113604154)","(0.36423862904262316, 0.0036437428827392625)","(0.36869677357602959, 0.036186768488542263)","(0.46145756355305961, 0.052512160537813289)","(0.37463209019167326, 0.008650136042328789)","(0.33547261305077913, 0.044763940612915235)","(0.32492876801451903, 0.079194650111084064)","(0.47781655632407571, 0.055523641865409493)","(0.4411584732488808, 0.031233857575553328)","(0.48587395460760435, 0.019555708524040802)","(0.38525488921201945, 0.030648426375324288)","(0.40047328619894862, 0.014040138276526096)","(0.5415630712979892, 0.04723062729850315)","(0.54769075675309731, 0.077020768313261392)","(0.31362358334237328, 0.045892636842073321)","(0.59206310101886706, 0.037254371592201733)","(0.59458896544982009, 0.035504432374696651)"
6,"(0.4331028589576203, 0.039772161665014807)","(0.25054427125348638, 0.038668584602688454)","(0.17670508059048751, 0.051820317556016467)","(0.49555306121540882, 0.01767307859830829)","(0.49712114420194436, 0.022761048665076628)","(0.34344757471250825, 0.039344805424474869)","(0.40550285108091683, 0.062622523643678457)","(0.37082265568480777, 0.02700350083733976)","(0.38344665970792524, 0.015602225030781522)","(0.51620647980747814, 0.068260460044210741)","(0.41981420330386565, 0.020521997884694353)","(0.38987877157435857, 0.015107952225165521)","(0.39791297160374828, 0.022174632447485368)","(0.37120483225700512, 0.014615105642596259)","(0.40793232848887728, 0.016516012136176327)","(0.37148364251637506, 0.010420035621069676)","(0.50964521823025777, 0.057150284587311362)","(0.43041059435399215, 0.039478018059569749)","(0.53413689077175353, 0.037899686584260163)","(0.4321908275510995, 0.025041179281540059)","(0.43539410531373424, 0.022865433587316242)","(0.38770945984922778, 0.038378543044648064)","(0.62796671664175874, 0.019738262187318216)","(0.4201785467288538, 0.044380716885837238)"
7,"(0.5000634409341761, 0.031162225275814668)","(0.28037168004504415, 0.024569483100055321)","(0.35161058171519677, 0.012418820763412303)","(0.45995018265643844, 0.048860533839645115)","(0.4251925333015546, 0.035721778659912377)","(0.34234414193049867, 0.036982774439871496)","(0.38532367190219841, 0.025239519433134558)","(0.41173182004699904, 0.017795380152307475)","(0.39873128526377621, 0.019386804087331084)","(0.41864439965259936, 0.039460811880557306)","(0.59756829207567308, 0.043698868339402737)","(0.35319437242706903, 0.024684294155313421)","(0.39247929361120915, 0.053908039437081078)","(0.30306811995029354, 0.024088049891674367)","(0.41522100719703264, 0.020317359342316411)","(0.37923904431030014, 0.033428641798808868)","(0.34725771882067252, 0.0041166305876888971)","(0.41998894974088119, 0.027059966174680393)","(0.40502611429096208, 0.023618218257128173)","(0.44984526603624431, 0.021071464971457281)","(0.44624579072840992, 0.026850951811340385)","(0.52655402280483976, 0.036187317715813919)","(0.54853546332100211, 0.024370769692852269)","(0.54226545073256582, 0.0344380863477243)"
8,"(0.52163960998920478, 0.025306766096556511)","(0.29246741873341858, 0.027716162681512835)","(0.45793542851013669, 0.039356482188357349)","(0.33751656380681561, 0.018663161540953287)","(0.42177815016419895, 0.085944405549249772)","(0.38565389893036628, 0.032677199107631623)","(0.4281879842895509, 0.023954312281264621)","(0.44673542052283371, 0.019929715037659026)","(0.40199178519196144, 0.016387826131954292)","(0.59151086656823426, 0.071298261195744797)","(0.42875423737117035, 0.023727298472393799)","(0.43532630235910158, 0.021046439884125703)","(0.49385270407075782, 0.034360922241411879)","(0.4487140078720484, 0.028765651927415353)","(0.39640588184362235, 0.046818878069090415)","(0.46609081528377166, 0.065429425521517648)","(0.40818516120050191, 0.017865934650839854)","(0.47059909825211849, 0.039561125891664398)","(0.54599708385466228, 0.042176971650600213)","(0.48355910504310778, 0.042255506267318034)","(0.58151044774779281, 0.039632468735430977)","(0.66341193261110365, 0.030024307992428723)","(0.5411351080989053, 0.029002871442540917)","(0.49540359860186833, 0.035853622558003062)"
9,"(0.50132139793967823, 0.025686387249449601)","(0.31208893829187495, 0.026788123255298311)","(0.45338688437869185, 0.041784025893393736)","(0.35411754775826815, 0.014593915029836806)","(0.50911361984755987, 0.044398783881508343)","(0.37704845829063816, 0.020736420555291041)","(0.42268097102615765, 0.021236404054574845)","(0.42746199748452862, 0.01831152683480055)","(0.39247243324214792, 0.018511603071744886)","(0.49926188807405636, 0.055206561692424036)","(0.47446209724943528, 0.032065028956317639)","(0.42040588910264542, 0.02001443601653146)","(0.49487069075060053, 0.041909082661924453)","(0.47623185813104074, 0.024833593469619865)","(0.26680356492057183, 0.044745683304595503)","(0.40380452276543305, 0.065723979039551628)","(0.39339345093400219, 0.020304641393564648)","(0.44189647722509884, 0.040575713382787176)","(0.52757261626396468, 0.039550110721197025)","(0.51167832019368487, 0.035253671580499538)","(0.56699173446852491, 0.065764551417086675)","(0.6903522324042829, 0.025236586287032795)","(0.51582053072498035, 0.029026423363730892)","(0.42661283067255928, 0.039771272547164657)"
