DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.48756464667547944, 0.0060760791193207762)","(0.48521225752038238, 0.0094883502188186)","(0.48559738134206187, 0.022120797887750836)","(0.41162790697674384, 0.026226038740615208)","(0.4612543285879187, 0.011824297285075702)","(0.46941706561531926, 0.012186179333120757)","(0.48207114463357448, 0.0078469817994300129)","(0.50832649712879441, 0.01401069281940414)","(0.47972502549316209, 0.003434762881839774)","(0.56685236768802205, 0.035913879110465563)","(0.48458574181117592, 0.017839789351148813)","(0.51311475409836127, 0.015596884668265287)","(0.49043105393816311, 0.0074535373569753777)","(0.50670995670995644, 0.0056437849756727516)","(0.59972144846796505, 0.017938736874877945)","(0.5078212290502796, 0.0095206354392112554)","(0.49961250322913875, 0.0090881265659932473)","(0.50968169761273185, 0.010536677784825048)","(0.94276315789473653, 0.18835649919336542)","(0.31087461300309616, 0.0046512502399609816)","(0.29696328902698665, 0.0021975093688683237)","(0.498743016759777, 0.46873337934721121)","(0.49849237318197909, 0.0073779487198683547)","(0.48074876847290632, 0.0081536815990306578)"
1,"(0.68205128205128462, 0.051282051282051745)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(0.48571428571428543, 0.0057488831184681092)","(0.45714285714285646, 0.0081301484746352428)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(0.66383265856950091, 0.0024999354175718725)","(0.66950067476383301, 0.0027829837593566888)","(nan, inf)","(nan, inf)","(nan, inf)"
2,"(0.68205128205128462, 0.051282051282051745)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(0.48571428571428543, 0.0057488831184681092)","(0.45714285714285646, 0.0081301484746352428)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(0.66383265856950091, 0.0024999354175718725)","(0.66950067476383301, 0.0027829837593566888)","(nan, inf)","(nan, inf)","(nan, inf)"
3,"(0.50935785737334638, 0.010064508115318409)","(0.48771169751870824, 0.011949451034033061)","(0.46478696741854625, 0.029058520811047293)","(0.46898251904975297, 0.0091472693587922888)","(0.50469932297889297, 0.010229373820290726)","(0.51397878705466449, 0.0125749612902613)","(0.51360294117647065, 0.0097740490778422326)","(0.5009083211454084, 0.0059077280819101194)","(0.49026336791699937, 0.010343926552469407)","(0.49504617968094061, 0.018966614810099099)","(0.61067285382830649, 0.018343450150222703)","(0.40384615384615452, 0.013669589486747827)","(0.58541666666666636, 0.020543488140303014)","(0.38333333333333308, 0.0062026910630402386)","(0.54522706209453164, 0.016194243830357748)","(0.5067901234567902, 0.014377549010928751)","(0.4894346617238185, 0.0087225569333162674)","(0.50610969025291241, 0.0060028968914186513)","(0.47704918032786942, 0.011032827452572648)","(0.60641025641025659, 0.035196550828371989)","(0.46955684007707105, 0.020488653297984202)","(0.50512820512820567, 0.025437791057456555)","(0.45910596026490097, 0.010410319308581004)","(0.48930868167202574, 0.0058491672370247659)"
4,"(0.49780794394930711, 0.0094293976813769071)","(0.49728838858137958, 0.0072956803227610355)","(0.41530612244897952, 0.016655355405251048)","(0.44021516393442617, 0.024502982418914632)","(0.44795584196070143, 0.021618311134902313)","(0.47383118701007837, 0.0085676101526206416)","(0.50051424518264553, 0.0071229590682798374)","(0.54843878389482315, 0.011761144329748218)","(0.51844754503708923, 0.0090346028777747341)","(0.55925925925925923, 0.026953193183200327)","(0.61764312687780831, 0.016694529247513076)","(0.48362697736099186, 0.025675560156444156)","(0.57028465626249536, 0.012890047851919809)","(0.53073623913233181, 0.0034757300273445882)","(0.57427083333333251, 0.1061192422424158)","(0.31903447121820638, 0.01297734109617691)","(0.53214285714285681, 0.0088359861313265526)","(0.47969375912545481, 0.00206920128826864)","(0.48908645003065493, 0.0082767122756295941)","(0.90307328605200843, 0.020474045952841767)","(0.56447376899186752, 0.0053060931326919985)","(0.54344182420580778, 0.10060799467885428)","(0.3693941992827065, 0.045615927132188303)","(0.52482633757020392, 0.016936387288301605)"
5,"(nan, nan)","(nan, nan)","(nan, inf)","(nan, inf)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
6,"(nan, nan)","(nan, nan)","(nan, inf)","(nan, inf)","(nan, nan)","(nan, inf)","(0.59999999999999876, 0.0)","(0.40000000000000335, 0.0)","(0.29999999999999766, 0.0)","(0.91249999999999853, 1.1028874425725711e-08)","(-3.5012820512820557, 0.0081084042567803501)","(0.029743589743589736, 0.0016216808513683813)","(nan, nan)","(nan, nan)","(nan, nan)","(0.89971509971510255, 0.0018018676126105877)","(0.60028490028490056, 0.0018018676126278831)","(0.47000000000000053, 0.0)","(nan, inf)","(nan, inf)","(nan, nan)","(0.98888888888888871, 0.0)","(0.52123760241483308, 0.0025909131325253308)","(0.47253179890975239, 0.059089197950450582)"
7,"(0.47937526293647459, 0.0099931400153268537)","(0.61310782241014883, 0.026562485740307912)","(0.75476639924492683, 0.033458462438830154)","(0.48125806771919455, 0.0080337817847879137)","(0.50826901874310915, 0.0099554837495986464)","(0.50796038849742897, 0.011306262412049092)","(0.50758699372504279, 0.0082734799584964006)","(0.52555470543228777, 0.0093978418037024489)","(0.53120567375886474, 0.012762327881855441)","(nan, inf)","(0.69230769230769162, 0.053913588003882004)","(0.50251256281406986, 0.034400337131137368)","(0.5146435452793835, 0.018743499776986635)","(0.36752136752136799, 0.012213867394724499)","(0.63358778625954126, 0.011089809608422457)","(0.55887143688190843, 0.01705580911031683)","(0.50050335570469828, 0.011465683354852171)","(0.52762557077625705, 0.0075727688002169479)","(0.50337173363304277, 0.012625946501034296)","(0.52088223391339472, 0.011621812542105129)","(0.48167938931297599, 0.017451249518390936)","(0.6404040404040412, 0.020612522571438176)","(0.48055555555555562, 0.024344684460236618)","(0.49572102608601326, 0.007212777202842649)"
8,"(0.68205128205128462, 0.051282051282051745)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(0.48571428571428543, 0.0057488831184681092)","(0.45714285714285646, 0.0081301484746352428)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(0.66383265856950091, 0.0024999354175718725)","(0.66950067476383301, 0.0027829837593566888)","(nan, inf)","(nan, inf)","(nan, inf)"
9,"(0.68205128205128462, 0.051282051282051745)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(0.48571428571428543, 0.0057488831184681092)","(0.45714285714285646, 0.0081301484746352428)","(nan, inf)","(nan, inf)","(nan, inf)","(nan, inf)","(0.66383265856950091, 0.0024999354175718725)","(0.66950067476383301, 0.0027829837593566888)","(nan, inf)","(nan, inf)","(nan, inf)"
