DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.069394911735646, 0.089625653038571479)","(0.4889608300319247, 0.065847325864477016)","(0.4961104339761912, 0.050019010012433487)","(0.41980880644326335, 0.02543621633441049)","(0.55088644025884004, 0.047258217903880774)","(0.63529209776269513, 0.04308937575782671)","(0.53552205319276425, 0.041983529491513891)","(0.44584819328629488, 0.056011043581434661)","(0.49908863681114474, 0.050991170944802426)","(0.58807865196195941, 0.067583932966972265)","(0.52388471722149854, 0.05383611157250659)","(0.6713399850042987, 0.048263880993006041)","(0.60636222430514375, 0.046410039733291851)","(0.54877458682161706, 0.13006321998407033)","(0.26617673786644935, 0.094919499629210549)","(0.69317591404746792, 0.078904828377689057)","(0.50053060710811603, 0.068385171562994798)","(0.57150204571602992, 0.055457729807959773)","(0.59598251861664586, 0.035339884848331428)","(0.5207155833990198, 0.025796172791398637)","(0.57631414303305106, 0.038155307260695139)","(0.65229955198140177, 0.056157451543213166)","(0.61982698264522418, 0.048724020636734179)","(0.6504398088027955, 0.040158808570001238)"
1,"(0.49547390728784496, 0.024024682049611491)","(0.55787743687845681, 0.046037831733270126)","(0.49176707281334747, 0.04995734546111727)","(0.43835305494322729, 0.032739639183738067)","(0.44300895025042381, 0.022598773584716559)","(0.67430778866387397, 0.038568095289410846)","(0.66162290749978048, 0.029828591619327365)","(0.58616550651504618, 0.031742060080514903)","(0.5543400305811822, 0.03109684529755476)","(0.5760374057873977, 0.025407546222115641)","(0.60745218615633212, 0.043071220998513071)","(0.70216073137317148, 0.033406241644711399)","(0.61467624016961853, 0.045201674283404457)","(0.59251898694053318, 0.049657170109576779)","(0.66157611162540653, 0.056715014736901069)","(0.74054389800480369, 0.031660868468004921)","(0.53283492694368917, 0.039398320161890141)","(0.50440746574680473, 0.035903892736527949)","(0.60111168998207842, 0.036379771694331195)","(0.69016077711281731, 0.092568626722428604)","(0.40886905358094439, 0.053734989740457137)","(0.63927919982477865, 0.028658774041558591)","(0.62938424601216225, 0.043285194514358208)","(0.61423193645551744, 0.04044786556371676)"
2,"(0.62730174563110874, 0.061742800017318265)","(0.50935854828804605, 0.032881676193092305)","(0.50366094728521871, 0.051299275025912167)","(0.56560698348975424, 0.039396539843511387)","(0.60536126063456319, 0.041977545305441212)","(0.67229569092591779, 0.030336670237067605)","(0.62022608057274298, 0.048036049161054195)","(0.54913203475344685, 0.0733550478650387)","(0.56215349805935144, 0.03531601110117126)","(0.66719313310203121, 0.024451695166190907)","(0.65404280763486466, 0.016960600852365861)","(0.60252221113896898, 0.034545039139166657)","(0.64590887467584179, 0.046603899600272156)","(0.6128279864722197, 0.043588443860330978)","(0.80813551958305152, 0.039557312703137025)","(0.80156602271298649, 0.050247367979218222)","(0.68050309984536905, 0.041693078597212829)","(0.60978417152595366, 0.034529367001422513)","(0.74584947691695835, 0.020397823703187382)","(0.66248280289333494, 0.031813697045268929)","(0.72151734294533065, 0.062724894133729336)","(0.6631749923630792, 0.021436253625772665)","(0.60693283917213281, 0.043341669944334249)","(0.63145860791845387, 0.059197859346464009)"
3,"(0.51158716794708015, 0.044736221953964865)","(0.59261842722344149, 0.063957100554596136)","(0.53206007156339274, 0.048367717103790529)","(0.65644355718482261, 0.026190872985348671)","(0.45840204247819261, 0.046590680215209936)","(0.61433141697232019, 0.034204256759393481)","(0.55238478251438572, 0.031046501698093427)","(0.66015360933227396, 0.084843781585968114)","(0.68871078996115453, 0.032644407777587009)","(0.65777542635035258, 0.026693947633685631)","(0.64847242258380344, 0.021045841522759668)","(0.6529166636044913, 0.030404914223754364)","(0.58620873815813401, 0.035788317337888176)","(0.71828356372568036, 0.032607432030075802)","(0.80214402881741498, 0.066656672099727518)","(0.67054477040481952, 0.039561586907850929)","(0.3261228643435376, 0.063166295801270131)","(0.57368834109664191, 0.053834932785787971)","(0.64021826677495397, 0.034627527298880197)","(0.63223695256732904, 0.039626463755851354)","(0.54933709811033282, 0.038699397923692862)","(0.6714560314737823, 0.039767573373692577)","(0.70779516279893506, 0.03432556039270606)","(0.59337147858984374, 0.05204651358285723)"
4,"(0.67655704551769347, 0.06612170615395048)","(0.52585658113590961, 0.034017681800861732)","(0.54842001813790175, 0.04536733986675389)","(0.56817886821758623, 0.032080686302811079)","(0.56180372339303386, 0.038887729776685545)","(0.68636039802925286, 0.036455583730635115)","(0.57311988427295746, 0.047601024148156632)","(0.57121053022034662, 0.069665537850737036)","(0.56111297509913882, 0.037629487290063074)","(0.66805935683857665, 0.02627334871499426)","(0.69977945876177983, 0.02027583555503433)","(0.62580269178782011, 0.03046736923247258)","(0.54107912840114092, 0.048965946364520584)","(0.61994214479484566, 0.044311995661586091)","(0.8018281917605985, 0.041540283826379108)","(0.79679953619117361, 0.037922760768306682)","(0.67833754534220858, 0.036823865827522444)","(0.58730523964456294, 0.035991663729635477)","(0.71584666992544577, 0.020727515040430206)","(0.64727825584250698, 0.036947648653394762)","(0.69385864362165017, 0.062965163582074615)","(0.69685573650284915, 0.032527825899474366)","(0.69776837239863987, 0.043267156177186267)","(0.58125621141926842, 0.051313952359827948)"
5,"(0.62833210146183849, 0.061943642878583748)","(0.5096320504136348, 0.032759316953875406)","(0.50369467167976056, 0.043624973119393347)","(0.5618965795019043, 0.040891731925961523)","(0.59756609220050028, 0.043037113616842974)","(0.67012265043541341, 0.031918443392557817)","(0.60227109290817649, 0.045079577581285953)","(0.55111312039808669, 0.073416812807869658)","(0.53906218013039553, 0.031615544219777907)","(0.67130974561975243, 0.024974614715904848)","(0.64631039170698434, 0.01867053949126854)","(0.59618506481439237, 0.036068651867177282)","(0.64916759731129092, 0.045576708538457647)","(0.63236023633562977, 0.044456957569784045)","(0.79848119697781517, 0.04163493969937198)","(0.78117790427881606, 0.048590539211570298)","(0.67915550155636872, 0.04172847084877785)","(0.61099806360486897, 0.034382740920405525)","(0.7475001615746365, 0.020051698050679183)","(0.66585606725359536, 0.032376769178574856)","(0.72201779419114398, 0.062984485910340809)","(0.66674605562396705, 0.022264146752377742)","(0.62239429532938573, 0.044133006933396945)","(0.65027393423608881, 0.059549802240532725)"
6,"(0.58934663929571696, 0.057901535392988833)","(0.62161347082174423, 0.062262476146833237)","(0.55969481025428891, 0.057137416788481492)","(0.5458342924748727, 0.032077414055120851)","(0.47663364695406002, 0.033608258584127214)","(0.68200959429734842, 0.043993306545073094)","(0.57763116995420483, 0.037551299096342972)","(0.61330747617752202, 0.053528654176730875)","(0.6840386484952492, 0.03308493461794719)","(0.68775250738684102, 0.027624586900052005)","(0.68441959203324376, 0.02197498075141464)","(0.60448464026798898, 0.027131391746840088)","(0.55273854311448356, 0.043505532641408218)","(0.64429309236372423, 0.037743667982665631)","(0.88418724365108103, 0.07524464131803095)","(0.71259387216918135, 0.042988325414411964)","(0.36511941422877364, 0.071595811152747185)","(0.53637081498228267, 0.042776687898357584)","(0.68483308918710573, 0.019504594990594714)","(0.66580961230175506, 0.038780033682838388)","(0.60930564295389178, 0.038163525688668251)","(0.72080693577687682, 0.041542077233891597)","(0.71568605879089708, 0.037775911150767186)","(0.53829443707010927, 0.038528532577555341)"
7,"(0.56163246069750883, 0.058981629109860573)","(0.51317724356250638, 0.032567858401615968)","(0.55958721292114066, 0.050858543903657127)","(0.55583220109503773, 0.036529190220329182)","(0.6163165408381055, 0.041206083574093159)","(0.67413351644405595, 0.032656223356605493)","(0.59890535836181913, 0.047191310061733389)","(0.53274944751126208, 0.072675528818468574)","(0.63042864957959877, 0.036724604552897562)","(0.66238420637631845, 0.02704492119195942)","(0.64780783417453502, 0.019085561269638132)","(0.60350402727479857, 0.041310976410011871)","(0.58873598508432434, 0.057187150670064267)","(0.72468385275367597, 0.050233570573722672)","(0.86085006438786449, 0.066664801060580578)","(0.56645363265599757, 0.10699281776729282)","(0.36555580748418703, 0.070435118588563606)","(0.61102891839013695, 0.041156695002444045)","(0.72956057400562513, 0.023912978302767497)","(0.71332943501649393, 0.053974508035007203)","(0.73285363571434736, 0.062889133617933857)","(0.66333671849515841, 0.022758096347576057)","(0.64128181165990683, 0.048104347509340742)","(0.57517195428079615, 0.041885279946717646)"
8,"(0.48676525611843929, 0.04568203567799653)","(0.69930546738446031, 0.052557484405939922)","(0.57790687688925568, 0.054153407597175705)","(0.56947284798993736, 0.051616767161381)","(0.44249305741903594, 0.062498043993260359)","(0.53839143492549701, 0.038041820100223389)","(0.53140161847785394, 0.046929779654194419)","(0.54105396407539286, 0.030156467620861185)","(0.52090603386826839, 0.044657851819016249)","(0.60150625084808573, 0.032243213564933454)","(0.57182092720238376, 0.038170973648587042)","(0.60976058315895543, 0.035408640371644567)","(0.53476118407553452, 0.084321365057010475)","(0.72943451728868725, 0.071041579146459755)","(0.72473706934717474, 0.049636754584418373)","(0.72442757419819792, 0.051063736019878868)","(0.59585268363874067, 0.03649012186140279)","(0.58523276836158378, 0.038169025434529519)","(0.65983343814468509, 0.034106621900440871)","(0.64805556358341454, 0.04261091745149434)","(0.65759613080300083, 0.063771313920209405)","(0.74677813055339826, 0.03616722290393716)","(0.73155168306397977, 0.044089817312187043)","(0.71088212479708102, 0.047183014412014369)"
9,"(0.50637035149690868, 0.043540002800635712)","(0.71335401127110287, 0.050419754746853278)","(0.60556714488227459, 0.057004774599544693)","(0.4814940521677098, 0.04737180270210202)","(0.45922761669630763, 0.049502364727543227)","(0.49598011088551686, 0.031245894396583814)","(0.51433681102726658, 0.042007791176762975)","(0.55600672458701783, 0.033270673617188724)","(0.53953420731254653, 0.033080089845375867)","(0.63456664441411048, 0.035835106775745224)","(0.60027911505671394, 0.033056217434577179)","(0.67569615656281434, 0.032689180332300019)","(0.59765669047587811, 0.068004396004649928)","(0.6597838382747625, 0.04635476548462019)","(0.72052297360163753, 0.039877597088996936)","(0.84827252003707154, 0.082323533925158343)","(0.47848966023753575, 0.028293603876038419)","(0.50515214202102998, 0.029143021195271551)","(0.67006847673073378, 0.036530627219306569)","(0.66388686999441138, 0.036453117110169457)","(0.58125819097157172, 0.063398616526280829)","(0.73163298546741684, 0.038958616468487681)","(0.63337627159256693, 0.03823539195626998)","(0.78559245434044811, 0.069503326341077615)"
10,"(0.52951030858638815, 0.04679823657109311)","(0.6802651711429446, 0.051834900896484924)","(0.54231843047679895, 0.050105894750895934)","(0.59768609968675213, 0.043579772981067938)","(0.4398480253251098, 0.070318796906107248)","(0.57695965319472065, 0.040461768097968871)","(0.51359025630343824, 0.043722281454627795)","(0.58198739975239189, 0.037941773746801084)","(0.62928507193877292, 0.04263627426861389)","(0.66082109548945822, 0.037392948852725712)","(0.66478313867896277, 0.034228800542657319)","(0.61082205890344232, 0.030154148479243845)","(0.62093726705237107, 0.068368382829287269)","(0.78309915397172081, 0.077905065728857539)","(0.69126165686831453, 0.04505349606377327)","(0.72561076359828147, 0.056059568398630237)","(0.6038445991764182, 0.037775151107400588)","(0.62507454212917779, 0.048841771154960363)","(0.72318654122999548, 0.036307444662585293)","(0.64893020691278114, 0.041513454529528794)","(0.66594191805080227, 0.061555783176058629)","(0.76263437362712516, 0.03583760769405113)","(0.72551443618363198, 0.039054268746356799)","(0.76678496708334143, 0.056162503319030846)"
11,"(0.45734371657952433, 0.042942149988080311)","(0.58268680094101799, 0.049317285780473695)","(0.50147084218059801, 0.045172300497841877)","(0.44858893939632083, 0.040444137827591563)","(0.38673746873304515, 0.036987922340575935)","(0.54064266359583546, 0.038572671314613845)","(0.40144042472529612, 0.039497674311100656)","(0.48906548544506179, 0.035268486744290527)","(0.51332535579657557, 0.033511455059889027)","(0.70283603463803113, 0.030915193958315636)","(0.58512751814534536, 0.039087146540746201)","(0.61802142278267314, 0.038982880782498876)","(0.68683793953162686, 0.039567100786260231)","(0.70886979127083827, 0.040810163179087963)","(0.60433636746027175, 0.042981082748450444)","(0.80020498528981199, 0.068498166780758346)","(0.50502644974621036, 0.029070460080944591)","(0.47425130832509865, 0.029324962574014426)","(0.67517042210943623, 0.037836703806359319)","(0.66092955967555733, 0.041332956250216539)","(0.48380091137830517, 0.037133399354307976)","(0.66515605726958793, 0.039673622100170905)","(0.51077064055344401, 0.027130746353706353)","(0.51719239126965311, 0.037379442793543056)"
12,"(0.47735531605481984, 0.040345406488323618)","(0.63047124098594443, 0.055303293522598461)","(0.49351888651713238, 0.04429870671439632)","(0.44796661858177217, 0.03947318659924616)","(0.40252259650731914, 0.036493916371070773)","(0.52486032129549964, 0.039157242245117414)","(0.40425345824395192, 0.041176867653837525)","(0.5098868806363045, 0.036730599067917424)","(0.5278936275722137, 0.034825563723719616)","(0.70326963973980383, 0.030783222667937052)","(0.5753227429639195, 0.038739016628622142)","(0.68259722749569984, 0.04514456663785401)","(0.68546589132134517, 0.03888518515545334)","(0.7046995625291711, 0.039121373872525469)","(0.59562842907508606, 0.043690012376845062)","(0.7511990965721359, 0.065602009664435065)","(0.52888325824631099, 0.031804474939644292)","(0.47422598551366962, 0.028694070184717268)","(0.67308321771753454, 0.037388303474182809)","(0.65577869601529992, 0.035711625670859531)","(0.50160887332289039, 0.037465056996031337)","(0.65075146206683487, 0.039850256447760982)","(0.53388521653120713, 0.026928379642162888)","(0.50989462982161859, 0.037042416539266931)"
13,"(0.46902238104689337, 0.041216381842405482)","(0.54494233033640926, 0.032989999967475911)","(0.52203628591117179, 0.054558336516592622)","(0.54893979800879755, 0.049742328679934077)","(0.53070729461028399, 0.029572834784010012)","(0.52725588932979328, 0.038648934610845828)","(0.43649250607122941, 0.05210778883334214)","(0.53322941258026446, 0.032298986948196502)","(0.53495206212816804, 0.045704272133262072)","(0.53073082302283958, 0.039385007829726593)","(0.48894087756270038, 0.045360286668817355)","(0.69399416320421758, 0.061539506020662167)","(0.35488613445839612, 0.061810786900589582)","(0.65772835824978537, 0.05076374125953647)","(0.60109516039128741, 0.043496225970954615)","(0.61649580280964433, 0.046363779648662333)","(0.6480870625904519, 0.037229310066662115)","(0.48394573327762136, 0.042598259199694476)","(0.78944195306657305, 0.039346483432763091)","(0.57363839996962263, 0.045858038020746374)","(0.48980437437936308, 0.039505249412472063)","(0.59079092842420466, 0.032959125667692206)","(0.5651461200233725, 0.034930929680564826)","(0.54699998745418854, 0.063261721726771053)"
14,"(0.46046536619479156, 0.055946334325158047)","(0.52709485666493594, 0.057431696437140273)","(0.46546073135337834, 0.037295567078271891)","(0.67778670164306021, 0.031988395811043534)","(0.4745811192866442, 0.050221599261151863)","(0.55088109610428948, 0.039922411321469439)","(0.54534879637403466, 0.03306619480102619)","(0.73640386295243287, 0.082693348664988425)","(0.70226644537410887, 0.036911631610416419)","(0.64936620855074667, 0.025465553207510642)","(0.64454953751995259, 0.019291867604332037)","(0.66310945880770689, 0.029352495782569984)","(0.60336580015174934, 0.030156710790047898)","(0.68958267059608847, 0.030379559477132119)","(0.71124373307667288, 0.032305722035212446)","(0.62802647397379441, 0.034043170578139659)","(0.64378071327238495, 0.036414996865399514)","(0.57216271308953592, 0.048155094652814354)","(0.65766984194204781, 0.029771666978333645)","(0.62321543506577537, 0.042911530562309896)","(0.56486600672991372, 0.028456298097287686)","(0.70041633302979889, 0.035163270108063034)","(0.70683336259453977, 0.034450677626889629)","(0.57377354527582247, 0.061263725315728462)"
15,"(0.50937894837827968, 0.04764391978344374)","(0.57026991522102966, 0.059857111752070306)","(0.51600701761024326, 0.053050471585217938)","(0.64324409401201488, 0.025313009483126307)","(0.52696788305110442, 0.049453045269104719)","(0.68266161911174483, 0.036487844549098938)","(0.54475615598015437, 0.033237081061726584)","(0.59536062228308184, 0.064476879195547815)","(0.70437965830786187, 0.033113279157018803)","(0.67240984438753926, 0.027518739391616684)","(0.65603424091467888, 0.022218940805317805)","(0.68228356171580584, 0.029572741773776456)","(0.57569983848288364, 0.035947339177656079)","(0.66432666721467371, 0.032947145216439336)","(0.81377069469291352, 0.066753867645710591)","(0.67599224809157055, 0.039975137059226055)","(0.38186574976127269, 0.068790696503230428)","(0.58461453968580512, 0.047634836699333681)","(0.67329937699128339, 0.023316207666169396)","(0.65674407787806444, 0.042709019988653348)","(0.55837948207364063, 0.037963796640567149)","(0.72266274522290774, 0.042487829633457548)","(0.73363436683502714, 0.037328384175029629)","(0.60891594094316337, 0.053080511322225715)"
16,"(0.54211787616845963, 0.059260001314207014)","(0.48880842308592221, 0.027594326124799538)","(0.51360036426057409, 0.044696740357523072)","(0.54445987738942481, 0.036050354385609801)","(0.56328790661534289, 0.039609799592589236)","(0.68045357956555919, 0.032176114139835628)","(0.60509618701637913, 0.045989680820823678)","(0.54791354074685794, 0.076015395450473047)","(0.54868872342147512, 0.033425441540963254)","(0.66627683709524688, 0.025635703679568658)","(0.64942176228046822, 0.017991757814422551)","(0.63393382776252671, 0.033992359645786938)","(0.61138250712395448, 0.051029026299561221)","(0.68139125872049178, 0.049922535026885595)","(0.78641256640337531, 0.033701884325223322)","(0.57716021274270501, 0.11115033068655432)","(0.69945884193711749, 0.041816308885682427)","(0.62689763270072363, 0.03378822531451034)","(0.75199957440629628, 0.019119709594905391)","(0.66739804139032455, 0.034091891499186684)","(0.72435487648163954, 0.063701518646450517)","(0.67492748261772195, 0.021713320235702029)","(0.65027801515478367, 0.044250531679474507)","(0.59088437051543052, 0.046475285110710918)"
