DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.99578929967801288, 0.041154580813775397)","(0.92276445219948922, 0.053367803481978358)","(0.94535727834158478, 0.031558684008287888)","(0.90174600996039411, 0.027357232235551525)","(0.87019356969044326, 0.019226407497196639)","(0.83592113388035394, 0.026689713440094954)","(0.79844161422251614, 0.027552025262451835)","(0.82700338508728588, 0.023375765814929204)","(0.81538523900986393, 0.028455842133202566)","(0.79482717698969185, 0.043077433757733416)","(0.81300287775025548, 0.038658068170119513)","(0.8088669133118469, 0.031995118241818221)","(0.73608805521974729, 0.046995967895308563)","(0.6330259562841567, 0.072898793708065956)","(0.81523409639605671, 0.041747966077665372)","(0.75367487232765107, 0.024245925764425542)","(0.82478242351932185, 0.029325207162453203)","(0.7566178384114407, 0.027274802717477085)","(0.7609152761772463, 0.029791736936799984)","(0.87344590918730802, 0.053572206203727248)","(0.84493148778695337, 0.030954833069632783)","(0.85195977399908074, 0.038017654721277605)","(0.81629266020864411, 0.031026419343903804)","(0.80321759241820434, 0.023272220012359884)"
1,"(0.91093474623535964, 0.044903351179863625)","(0.99069794265237121, 0.030224371558167939)","(0.94432956594888806, 0.048696141663367699)","(1.033786762390579, 0.035795538580401541)","(0.5850398057816838, 0.19481751468198291)","(0.75771098448719754, 0.019444757716195932)","(0.8963656496563922, 0.042213896215133863)","(0.84207395248586614, 0.028365107074735843)","(0.91880268784361652, 0.028781855802254286)","(0.89400617456731801, 0.027684352094534875)","(0.99807234371733811, 0.15570528468274131)","(0.57125122259627181, 0.068262732947136029)","(0.87593902246300825, 0.031995692477327253)","(0.93436407944011324, 0.04198259125644687)","(0.90289393661095096, 0.042042998864859613)","(0.88895422102470745, 0.046090119083549451)","(0.9354052124241341, 0.040885614013521678)","(0.96636023815919148, 0.022733999353325953)","(0.87632086048630087, 0.024774548780196953)","(0.91453251174699646, 0.02828940558719055)","(0.90816019183636776, 0.023916896176302677)","(0.93006697243909575, 0.12214757572412256)","(0.72423384498313526, 0.011349513538743887)","(0.87784271772494371, 0.029819220808370187)"
2,"(0.90663700915997958, 0.031732660964801492)","(0.98849201363182149, 0.030223241069922573)","(0.94972925747723946, 0.034318623936326662)","(1.0202293773032225, 0.031190376489364888)","(0.74596996931170545, 0.13792537207947111)","(0.76480941198227803, 0.01882178015492374)","(0.85644605703405574, 0.03593695332655842)","(0.83990075179510637, 0.025029617970701586)","(0.92027283255029724, 0.025975228869514908)","(0.90623022464418823, 0.030833072180668407)","(0.98930718910786541, 0.16332744006576305)","(0.56480372416274804, 0.068442529910446928)","(0.8336535916844191, 0.03441274863037113)","(0.93707507948153579, 0.045554466314802151)","(0.91574632021611102, 0.041144495314992001)","(0.8837272032297081, 0.045361180121847672)","(0.94644420607695445, 0.041221246626599393)","(0.97749175054477544, 0.021914595397499074)","(0.87864728742546061, 0.022762045829404158)","(0.91628586784836796, 0.026100084511037298)","(0.9052678675591096, 0.023767882208061406)","(0.93810600048307546, 0.12262018136423834)","(0.72535917743857159, 0.011531601250431293)","(0.88019646215625558, 0.03077828992583297)"
3,"(0.8600566291370948, 0.047717418062895436)","(0.99263577341340736, 0.041233272882531841)","(0.92255424296741972, 0.033385628074557028)","(0.94297562773815835, 0.024768823294858376)","(0.89114528421875672, 0.021867549193016856)","(0.81983339819347467, 0.021401435163922143)","(0.83681810166817472, 0.02991060001794469)","(0.80308353394208754, 0.019907061875199611)","(0.82151163951896577, 0.028834246978911689)","(0.63684512702741491, 0.044643064802892957)","(0.76578188886654608, 0.071867069559515634)","(0.57709638098440474, 0.072724500324760785)","(0.74112985734020853, 0.059564096327040593)","(0.68863295445759287, 0.06373589370780193)","(0.91223783082856758, 0.049003884013925865)","(0.82139611179194261, 0.027016683375200728)","(0.83980182710361517, 0.033166208536755289)","(0.77485203517708778, 0.02493162083551706)","(0.79094231805929915, 0.030933382085122647)","(0.94005464049189558, 0.048295117396562795)","(0.90147646523168889, 0.027725268437635502)","(0.86465900677852003, 0.037178888391266214)","(0.84722730205152486, 0.035713200273289704)","(0.8064643077947401, 0.023662647302699538)"
4,"(0.95475213587544161, 0.029241495378320995)","(0.85320144160723932, 0.035036600183935306)","(0.92994554345410052, 0.03743045802546164)","(0.86736688833447217, 0.025795844941067261)","(0.84316823433565469, 0.020408728167870583)","(0.7881700511269546, 0.029285334698206728)","(0.738791657897506, 0.033589972826625743)","(0.93713308597839884, 0.046067334965377328)","(0.79179601697608482, 0.030194455699272586)","(0.86272093847183462, 0.15313613171324952)","(0.68407102418939825, 0.13076453940916641)","(0.83946030183727083, 0.050353264037232955)","(0.86591882331036896, 0.058431472574013731)","(0.70772168769012711, 0.050364489951654594)","(0.96794927238827733, 0.056494327683957055)","(0.73720720007041551, 0.051589088069572395)","(0.74666097637372408, 0.042621304434197038)","(0.8933713526714947, 0.032099395578282383)","(0.71865766014935162, 0.032870531633097055)","(0.68267180559617213, 0.035253379531871035)","(0.69585258466054101, 0.066855981086998598)","(0.80674846625766816, 0.038576293252346461)","(0.87148199514587243, 0.027289140014666272)","(0.80901124425909299, 0.029426073070489667)"
5,"(0.84268603321597213, 0.05077384547379081)","(0.99593854858820419, 0.044966392932789846)","(0.94091129587341182, 0.033559366681501973)","(0.94784274991982564, 0.026005100338039114)","(0.89488464858404493, 0.025224121365953318)","(0.82241309265079521, 0.021202726642169222)","(0.82998480603668645, 0.027247640731325344)","(0.81553206762767327, 0.021535555721354422)","(0.88095333348216465, 0.024148552590324116)","(0.71691710216449289, 0.041206018574133758)","(0.66992786972298446, 0.069186583993659498)","(0.78122374840666342, 0.041502838500427908)","(0.84043934088277605, 0.037017531411448742)","(0.76396472282217454, 0.063009495056856338)","(0.92781140762213332, 0.052234495622899071)","(0.86368199859911332, 0.039482987392512249)","(0.85860098077171243, 0.031401287664509926)","(0.85609686599817236, 0.034769670377630055)","(0.82185833029313982, 0.02465574222324738)","(0.79799620290570761, 0.030002748162693455)","(0.90087771210735501, 0.040520435707400729)","(0.78960927722601704, 0.04049929207109712)","(0.81855709102138485, 0.034661373504901186)","(0.81307642911388411, 0.021621171118496842)"
6,"(0.85147307145396334, 0.050993732132355106)","(1.0133855585831071, 0.045333112234865247)","(0.94165582699890182, 0.033360160920208257)","(0.96052003183868495, 0.027300378052035248)","(0.90157073883815997, 0.026326339161036012)","(0.83920151239614815, 0.022510131101581708)","(0.82625657255292428, 0.027597379440418918)","(0.81054554909954701, 0.020578087500969549)","(0.88816142570004952, 0.022408254277356949)","(0.71489020306376971, 0.038221907318895215)","(0.67432474608071324, 0.065196000528621845)","(0.77592530321287412, 0.039472793234057876)","(0.85075137867647044, 0.034446309238871126)","(0.75922992956703028, 0.067657398065294805)","(0.92408978627429927, 0.053305849638588775)","(0.86821121122461276, 0.039572760858595964)","(0.88636810758954199, 0.03359486408037269)","(0.90876395489106621, 0.036561331306004738)","(0.81061086967137008, 0.024161366689292193)","(0.82977411318793759, 0.038809847077339817)","(0.87715992647058827, 0.041123686967883918)","(0.82219314772172125, 0.051390275999557346)","(0.87259227402453865, 0.055633209144855547)","(0.83007151896913756, 0.023202600768148552)"
7,"(0.80607722867733778, 0.020156877090820435)","(0.87558288456789302, 0.021827457653301272)","(0.9055812156252363, 0.037914954790019724)","(0.84974002867457865, 0.033114671988579647)","(0.84092385020241844, 0.021301076502591176)","(0.81455749504604325, 0.026092612589064788)","(0.74446210961420689, 0.031779764020671078)","(0.87461002159575085, 0.048207278146530329)","(0.64814179531160476, 0.053372416916407241)","(0.80771352512909322, 0.1570260991018205)","(0.6765468428930218, 0.13011596991511684)","(0.84897105175399956, 0.05138570199284042)","(0.81079177436129601, 0.058271279403637098)","(0.72572842117749359, 0.048705307819435238)","(0.89829506093649625, 0.057899884198271794)","(0.73077012835472499, 0.05169051066375413)","(0.74166920759459476, 0.043686884232569403)","(0.89160066345301059, 0.033477475306498437)","(0.73907819155985477, 0.034040686896548308)","(0.69161716786901095, 0.039453843834735013)","(0.67817073340866862, 0.055532280652513741)","(0.79377164395181077, 0.041930826124160249)","(0.88007634250021793, 0.026665963671007212)","(0.8297680995475113, 0.029170187538747672)"
8,"(0.79995866980352281, 0.021294570283882919)","(0.80918657161167162, 0.033423026315703291)","(0.86783157620721163, 0.047351361273653615)","(0.84220134662995505, 0.023893123021206598)","(0.8386402770729281, 0.023077395038500134)","(0.78463596538865354, 0.026153518114411838)","(0.65656561893913767, 0.041392034984987974)","(0.74910260701074571, 0.041046163034866794)","(0.4950039481256423, 0.077820104304756776)","(0.62583430184293576, 0.17677130901583771)","(0.57924372171165739, 0.1817872062814648)","(0.56451058958214106, 0.065080885882098399)","(0.54426485183609752, 0.050258974214876025)","(0.76605382865807448, 0.054000588039412205)","(0.81324393800879258, 0.054048018869380654)","(0.74362602934145006, 0.044472009591500709)","(0.70180328816919946, 0.061973036579519088)","(0.7678547691950488, 0.035131489456292964)","(0.70461007756609551, 0.040794292145083601)","(0.59047012183330017, 0.040671409343283935)","(0.66139781820407184, 0.067518825259363036)","(0.74884609365650712, 0.045246145004051837)","(0.89550162469536998, 0.028825220216133336)","(0.81365913762331821, 0.028757204495016748)"
9,"(0.62804835645986923, 0.048066058678652185)","(0.7623816909335408, 0.041217868262511108)","(0.92695696361983737, 0.043379777709679317)","(0.83795943987090804, 0.025380076555811995)","(0.83089193768589453, 0.029051320908417413)","(0.78654491233034751, 0.02766436013797996)","(0.68406154875186176, 0.045164399219558816)","(0.69729837476906431, 0.049979830972935985)","(0.66031771873751444, 0.042951117597566132)","(0.70496295520481023, 0.17953886011341411)","(0.57586997922700356, 0.20285655161139701)","(0.49132349230856143, 0.076704645363050036)","(0.55607318342100587, 0.097444040358458814)","(0.81407880235121211, 0.058729355289450363)","(0.61771138355782851, 0.11950682534416064)","(0.85663286163522079, 0.047590969122948829)","(0.7807926949654489, 0.093678612096820116)","(0.78425819493835613, 0.034730792839313303)","(0.69717099895092605, 0.037522164625854296)","(0.57878923766816126, 0.067115609112830807)","(0.66985011216096668, 0.06346776593248718)","(0.77437920985235886, 0.051131118016388033)","(0.86292451765767797, 0.030323988536863831)","(0.81668008730841235, 0.033212873491649864)"
