DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.57713899932966228, 0.077321163760941711)","(0.6087222977669664, 0.053120518933915686)","(0.41948319352914459, 0.026975892389125771)","(0.51212824049483918, 0.049951565146013989)","(0.68474627262952281, 0.043932345439893793)","(0.52112448954413693, 0.040370258830037788)","(0.57268252744415216, 0.027745444055138558)","(0.57125879480066888, 0.052415791337840995)","(0.56430674781204482, 0.041654573357644754)","(0.5556960240660942, 0.037644258039581449)","(0.55035708287627194, 0.027947743439996921)","(0.59321071548326498, 0.037624924767996525)","(0.58975982576513164, 0.034327687543792271)","(0.58903649570727701, 0.048902846082797075)","(0.58500107249873434, 0.076698288747919313)","(0.80153304742517995, 0.051686417126904839)","(0.52363695666188703, 0.048746428458921201)","(0.70232322340682918, 0.07196624194888529)","(0.52924691775874755, 0.048507937497382594)","(0.47449975471269534, 0.044914935708747245)","(0.42237287814399976, 0.040440210402677562)","(0.46936086706000435, 0.052825319412375511)","(0.48386124406987108, 0.074785167609076358)","(0.54844203343715947, 0.036156580399661631)"
1,"(0.54019674809962237, 0.082728523528093678)","(0.61034879613447868, 0.052862030971711452)","(0.45030523682837076, 0.026596912209017481)","(0.50268526434780347, 0.041860122878820571)","(0.66935040576729909, 0.042271035626018777)","(0.52649145431417543, 0.039677346275235385)","(0.58242306282711676, 0.026190385774666241)","(0.53997654735257727, 0.044775353070867011)","(0.56851253470045027, 0.036061966985106726)","(0.57427790146142388, 0.039088549926360364)","(0.5612319590599294, 0.034484648527421044)","(0.55114794480419249, 0.040694372750008062)","(0.53305952102545595, 0.046572304273238052)","(0.62020749175093781, 0.036473397195342185)","(0.55720284656115349, 0.079760452836227708)","(0.77368168627230083, 0.061468415895356704)","(0.56059680015790236, 0.049129465765601552)","(0.66502138963198287, 0.06695176136540508)","(0.53119351518082569, 0.05050407870865356)","(0.44794670421997551, 0.043249356916337786)","(0.39743694290863468, 0.041272091401574576)","(0.46194461769373085, 0.05400276352329305)","(0.5065485204480219, 0.06851272057912304)","(0.56084277605436972, 0.045004557487532182)"
2,"(0.68182178884572264, 0.08064506568620243)","(0.555424146916495, 0.05715410640235407)","(0.53709555856722946, 0.048058888778112638)","(0.64098049300713333, 0.049405940172083315)","(0.57715630740510471, 0.045611388564837069)","(0.48874261003841019, 0.039459940253556175)","(0.50254058470172325, 0.051757909464023075)","(0.47772047153094283, 0.03334230218078691)","(0.53792087251817833, 0.06980654890844927)","(0.54112242899612217, 0.035493468837608691)","(0.53417643815159876, 0.061776547701254014)","(0.54132224800705875, 0.056730905636749769)","(0.42516961135783021, 0.036653142446579863)","(0.5738601335989082, 0.054194374024935446)","(0.520569770551913, 0.029097618753155592)","(0.51911119482516255, 0.064552492884356313)","(0.3238163210837891, 0.068801374593359846)","(0.50394459255396984, 0.042232672246389137)","(0.617466387692716, 0.047034182939977257)","(0.60899121886614238, 0.0467338249780163)","(0.42951081195605645, 0.038729010103276361)","(0.39851668729190398, 0.046760171549506978)","(0.45486125644800973, 0.056809269205066897)","(0.6090829518494163, 0.056427091317889748)"
3,"(0.69748425238943801, 0.081026143056725605)","(0.55204341588523897, 0.058396952476255433)","(0.49571299795427476, 0.089410733772624013)","(0.63733409844198263, 0.049835218928664819)","(0.58098628058845003, 0.046831716399462278)","(0.50084158235062437, 0.039042182409208238)","(0.49876839751812763, 0.051427186145019711)","(0.46436221610301531, 0.033716440750705463)","(0.53765856171419169, 0.072541932511318477)","(0.51710172556555678, 0.037856913670072427)","(0.54624159245985793, 0.060265794840401885)","(0.54878509042830315, 0.052526208454414046)","(0.43044885716211534, 0.035722525555094184)","(0.54430730352892109, 0.055451846303752501)","(0.53158614061265042, 0.029253246490011403)","(0.52419823817980271, 0.058877871727571106)","(0.34402336760194363, 0.066555343084631055)","(0.50265581651359392, 0.042439558439188112)","(0.58327201410328222, 0.04092806673650122)","(0.57450263469485963, 0.05113817711983551)","(0.41393831499060557, 0.038868833860549311)","(0.40566479915140191, 0.044545273824806289)","(0.47123795063474061, 0.060396688846872292)","(0.60171307383915329, 0.056611298833558671)"
4,"(0.46848395274883275, 0.10178834974283071)","(0.38561463452758743, 0.052837124597913059)","(0.43450564564091188, 0.043433895300867637)","(0.59034111007757684, 0.042930375955540265)","(0.59011596295518653, 0.049348390031660014)","(0.52926924797355002, 0.055560410087972155)","(0.56115068964109738, 0.035677704442701956)","(0.48063897012408252, 0.04191329763968734)","(0.46780313989776001, 0.074973644165270845)","(0.34197174559871185, 0.11217393347921488)","(0.39852214296044358, 0.064049313694769419)","(0.5457980352887547, 0.042663327624644712)","(0.59024235819730919, 0.049281585136732156)","(0.51422353100485996, 0.046959201353590545)","(0.36509274061536828, 0.039205925664249137)","(0.39459427746704789, 0.039803365833630866)","(0.4256369502683095, 0.055049880173707218)","(0.40943512229816381, 0.034817100417937667)","(0.6392254755773783, 0.037927177413864588)","(0.57025961915018675, 0.095812190570729025)","(0.43833284952978824, 0.038148483287652232)","(0.37013670811863952, 0.045093565118873483)","(0.44341076503314369, 0.065496195517540684)","(0.59071036761416573, 0.049479172021251024)"
5,"(0.74464730096976606, 0.085017092138908262)","(0.51088529229335689, 0.055618868077463489)","(0.49865125941038035, 0.03993827962438317)","(0.66505976861043126, 0.055312331645765753)","(0.65345684539341697, 0.041547423518343486)","(0.50129529922053839, 0.042786899654457367)","(0.4754398870200105, 0.055038489847204615)","(0.46013544288819525, 0.040437232250588838)","(0.4613089012343341, 0.076147350585184542)","(0.53909163728886966, 0.035203121758737799)","(0.63412243497410992, 0.054968545909242231)","(0.5710279064234739, 0.059196775278917549)","(0.52107801615408045, 0.047194400953079002)","(0.5402607408714788, 0.043694402995325399)","(0.45768616853604571, 0.0484292967413682)","(0.59540079065852702, 0.059815430215438004)","(0.28702075513149439, 0.075295732364052889)","(0.48724201139087031, 0.042839803995055707)","(0.63150443315489946, 0.043538690859203789)","(0.58975380223952301, 0.056203975229382121)","(0.43401932623411787, 0.037292133493191749)","(0.43947381791729218, 0.046633746027408475)","(0.46430687953741506, 0.063014879616944477)","(0.62428319062685322, 0.05424884806369467)"
6,"(0.75306540622084828, 0.087406102476769471)","(0.50388577360597431, 0.053462295398028416)","(0.4970099457325835, 0.04445576461236618)","(0.68291800925625767, 0.049198646915047196)","(0.5926722371812827, 0.046039657537131802)","(0.49959954521819561, 0.042450738119239273)","(0.48533409810360367, 0.050767400723137179)","(0.47224502230863202, 0.037599186588253133)","(0.45180747725165743, 0.07454147269333454)","(0.53606466398169605, 0.036158644728699764)","(0.50649487561156747, 0.067710491027041769)","(0.52822845159512877, 0.059152810492973933)","(0.41276022869126427, 0.050107329231928677)","(0.49307928616790048, 0.043699969691508113)","(0.42686012346832863, 0.048616079403772605)","(0.62230547721195828, 0.062469789748889587)","(0.3116319782257112, 0.076270371723364122)","(0.40008720870316611, 0.038119838266098362)","(0.6374579857509064, 0.046448227669824288)","(0.56843935351475938, 0.047512167570559441)","(0.44575333996277794, 0.036107572691308147)","(0.39790718337417547, 0.047349794718784671)","(0.44921278157291661, 0.062335895181729696)","(0.62532712693144221, 0.055504440001134761)"
7,"(0.40499764192041815, 0.071908468884910468)","(0.53047562929238135, 0.035586031293290556)","(0.47340540396073949, 0.042830249254410264)","(0.64079646465884532, 0.058214984547425547)","(0.67696942927021808, 0.037258619152201196)","(0.58020238512653244, 0.039026085218375431)","(0.57499643447736448, 0.030391825671295145)","(0.49078840685752256, 0.040852279201663497)","(0.41616415267412504, 0.074636387374253085)","(0.35328094948388788, 0.11594999633847732)","(0.33475686442281716, 0.058537503107497307)","(0.61689114032773951, 0.055484139156058758)","(0.56722778591261125, 0.05383758588414795)","(0.43510784431889993, 0.042086741916435397)","(0.42390260168336485, 0.04924948972079695)","(0.53670579257897078, 0.067711897710436467)","(0.43100365105963195, 0.067117843501912619)","(0.46910625971814096, 0.045890882400308336)","(0.59658364530575636, 0.039501237342205432)","(0.63950299563326374, 0.11025968706119978)","(0.44690649927213433, 0.035198324169143251)","(0.32255651198119434, 0.047035877769930172)","(0.47244935484137962, 0.06997260245285003)","(0.55900087830229528, 0.051242241621027737)"
8,"(0.7141396950959924, 0.10796103956929254)","(0.56583103226535991, 0.06191478767490944)","(0.54216187147333073, 0.044791989549020528)","(0.62689014310955637, 0.051615257462939781)","(0.55631908685446296, 0.045655407303909455)","(0.47350839114079879, 0.041927097063616969)","(0.50863933012927653, 0.052041528997965117)","(0.43947946922069303, 0.036201852739750497)","(0.51109278991395168, 0.070715076343277061)","(0.51134038874289778, 0.033772837145634213)","(0.5002216394022313, 0.064621802087748953)","(0.52993089966872953, 0.052282819893010507)","(0.45573159063485741, 0.034066011175927238)","(0.56718246554838225, 0.044027289574433109)","(0.50985060963057516, 0.032765820103402656)","(0.52965590301985432, 0.067023759362519378)","(0.35612871779010363, 0.075027630221794039)","(0.50732580861139709, 0.042279576420901244)","(0.62316538953111322, 0.042504508733613007)","(0.54874235334755217, 0.041318410763706993)","(0.48690081730154672, 0.04177107584990708)","(0.41340063117540082, 0.053453023116644009)","(0.46571509690114632, 0.048132285652561918)","(0.57273884628608673, 0.046577559473543854)"
9,"(0.73807830845424272, 0.083588195616338207)","(0.51963073055123621, 0.051180931873512893)","(0.49366570058277226, 0.040576350886350004)","(0.65932211632682847, 0.048148820947833522)","(0.59344805372806952, 0.044542792618735567)","(0.50073881066291703, 0.040570837331009933)","(0.49589109648042251, 0.051242285121952245)","(0.45818392327544988, 0.036673735046687791)","(0.49071563940261093, 0.072530549303288103)","(0.54396796161428196, 0.03475888662524261)","(0.51245967446189122, 0.067862212148905754)","(0.52884280950922136, 0.059655778279169083)","(0.41523098750786008, 0.046421194995723829)","(0.53017552601053231, 0.048699942877129233)","(0.44167269171933166, 0.043442330652472085)","(0.60075414298814755, 0.061618565539924168)","(0.32742754077594938, 0.077789181161464188)","(0.44668308999325551, 0.048907400777547821)","(0.63854984626995126, 0.046466054987749986)","(0.59120987353985988, 0.050222213654011055)","(0.46341211756994943, 0.034339868629899746)","(0.39871458835584206, 0.048494348943907105)","(0.48681864546944847, 0.060288213444454307)","(0.60897730813228557, 0.051326830320483345)"
