DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.42226559661719576, 0.014966719097879271)","(0.48145721211634795, 0.066952071851909947)","(0.56695546338378322, 0.047086616939706033)","(0.52340605794199291, 0.020565659002863636)","(0.44010966026141957, 0.035851956438665074)","(0.50266994174509427, 0.045229462379484477)","(0.3931102756418286, 0.022583695962194037)","(0.4323631075111613, 0.020964007951926388)","(0.42071624280035708, 0.016729650335605476)","(0.41497041547119962, 0.020915849508562366)","(0.32635404134014012, 0.026561718059425563)","(0.64498996446927948, 0.058146062137734066)","(0.37615398677169537, 0.025686342747045732)","(0.48330140618993467, 0.046286709307986215)","(0.4999368509961396, 0.029202024539790646)","(0.5088494155263712, 0.017577800977116739)","(0.39252669219593234, 0.024302094511190149)","(0.43939606346917659, 0.033090964367707185)","(0.4388400894149489, 0.03471569110660698)","(0.45316658287447803, 0.018244912816009071)","(0.43349127574729246, 0.017226042272035776)","(0.67197158789445177, 0.043710888618018841)","(0.53229338349091015, 0.047903202602830437)","(0.61662746590238671, 0.044216166993997948)"
1,"(0.51104707214242318, 0.032418781456510296)","(0.41799772636190918, 0.037953783905036148)","(0.43634393511163461, 0.059517993289626585)","(0.56459316102804635, 0.0325350870651612)","(0.3421345157453714, 0.043398311879083641)","(0.56239885658557942, 0.035312378993988723)","(0.38956889754145163, 0.030497197628930911)","(0.46233620045448476, 0.039053188167605828)","(0.49034336374150056, 0.036164598340921957)","(0.4935580202622098, 0.050173313625093578)","(0.4706975505241609, 0.026616121008707666)","(0.53618387009439172, 0.025604183956911754)","(0.47923935060814093, 0.026441712997111705)","(0.45858963258956292, 0.022561365172300663)","(0.46656465475861053, 0.021322612860749504)","(0.44739130804451804, 0.019573156134900408)","(0.4131872100711152, 0.019999897015531867)","(0.46965332122342773, 0.019438042956487978)","(0.45463265596416497, 0.02803440071689129)","(0.5730288564971201, 0.027665222477456241)","(0.54263469813474063, 0.039520675275180557)","(0.62001649493324218, 0.049308463717629078)","(0.55085167829308368, 0.036734478369839341)","(0.53951542821787113, 0.040234937924456704)"
2,"(0.45783012136170304, 0.024972075244830236)","(0.3589907397751122, 0.027940564693050268)","(0.29108321150696853, 0.02628569881084902)","(0.43010230605476441, 0.043338845804730082)","(0.42026971471081204, 0.045600026958838399)","(0.4711855997754924, 0.025237270012079788)","(0.39226369137679595, 0.030667844331792794)","(0.35775609980260059, 0.031031203502670131)","(0.35186014021530759, 0.027897115361271471)","(0.35639168856650533, 0.026805119184756001)","(0.45332867092186202, 0.029866012964147884)","(0.38484487336716833, 0.021037859089973798)","(0.44972133550557525, 0.021523233399511055)","(0.39801763831736331, 0.017917896604205414)","(0.40316441704590122, 0.021428330401446167)","(0.40181790257420463, 0.019851002539710703)","(0.39312315630639505, 0.015147400879608095)","(0.39089891629871115, 0.015761160292837438)","(0.37853040639740476, 0.01073219384752646)","(0.50725326471423882, 0.027541499321690477)","(0.36877725854610333, 0.014535036051171913)","(0.59674663776334536, 0.046241598121790503)","(0.56573175241874252, 0.040559995103632895)","(0.39697303377307386, 0.034669824314664005)"
3,"(0.45749472422473592, 0.025170451180480193)","(0.35865835504642585, 0.027958102747931039)","(0.29134723083739467, 0.026415635095113084)","(0.42592379910053063, 0.041725405655642367)","(0.40159257726614017, 0.046672396161557626)","(0.44981474491033008, 0.030185746828542567)","(0.38891857735190632, 0.030093474547094341)","(0.35312710237323602, 0.031767674729459509)","(0.35245833811585781, 0.030773871649700177)","(0.34754291592211345, 0.033477434835379738)","(0.37015233699616745, 0.020272493891052186)","(0.37775186967903573, 0.024093609161643721)","(0.47233896149529192, 0.021963577138546075)","(0.39615580474668888, 0.017694451070202129)","(0.40307128127827396, 0.021103864818364838)","(0.41042681722988472, 0.022256325699000025)","(0.394148258680455, 0.015177283819653395)","(0.39258769120049475, 0.015450255368707881)","(0.38108981711923862, 0.010647992103976741)","(0.55056798169974375, 0.02890770280550424)","(0.35646975096395472, 0.013717025744475414)","(0.61257033888219292, 0.045140804013820028)","(0.55091266728891719, 0.044749722245697926)","(0.4000988611426643, 0.033981875535762582)"
4,"(0.35363149377081532, 0.016608417386864079)","(0.43061219716503513, 0.02520460712746584)","(0.30023087718425101, 0.027308671394721529)","(0.39089830112210294, 0.028832573916719267)","(0.43554412475995508, 0.045910102972031297)","(0.42562582487867384, 0.034283106198765553)","(0.34382496993184564, 0.01731457853571218)","(0.33724182403681807, 0.025204499301848888)","(0.36369297660871824, 0.035088606360342459)","(0.36412645617725559, 0.031385544999022026)","(0.36488685168293233, 0.019199615186152333)","(0.37983249907549976, 0.020039546977555271)","(0.41607223457623527, 0.020242191108335604)","(0.35202757854464517, 0.01977321747582382)","(0.41500129183022122, 0.020094481191498471)","(0.4000220393072289, 0.018530103679476918)","(0.38297832198746423, 0.018858792187489776)","(0.38488232025703034, 0.011669630706503677)","(0.39015113827961523, 0.012018705456922695)","(0.48257171386519443, 0.027679955792960717)","(0.35471197861645481, 0.011854417120523882)","(0.63510821910542004, 0.034131569276613913)","(0.52951105682104938, 0.055196911732785812)","(0.37527224904848983, 0.027227447094238827)"
5,"(0.41950748323454323, 0.028831543399211092)","(0.3450599350919743, 0.022643393548202852)","(0.36156931768558342, 0.032538799559595696)","(0.41853728421081027, 0.02062543074310378)","(0.39382672835697818, 0.01801468858933029)","(0.49574341745221695, 0.030956063978019453)","(0.38064781005660064, 0.024071121048674333)","(0.39392954696297078, 0.024806565389204949)","(0.39217952934613154, 0.038533206797717864)","(0.36000717755520067, 0.014706405923353505)","(0.46521881496110323, 0.027550066705383139)","(0.41823422416942357, 0.018573331944665903)","(0.41585341294027112, 0.012534209808375014)","(0.39206136329170382, 0.010272368896939192)","(0.42877864871493615, 0.028546686797361415)","(0.38154587860021427, 0.013799698806316783)","(0.38855787947398812, 0.01156485111734864)","(0.37236903112258601, 0.01442484869628545)","(0.36520255870150597, 0.010741032776961265)","(0.57062994687520452, 0.04639064524512454)","(0.34547915190362583, 0.028394326971890378)","(0.49708444385320233, 0.037327443512241411)","(0.5724003945963444, 0.03631300372127496)","(0.27103984301082823, 0.02914669510658302)"
6,"(0.47695985235334543, 0.033208749051837072)","(0.35122497144756015, 0.02473018782018057)","(0.31133186263592266, 0.03276738381559436)","(0.5324520923512206, 0.048987660703256018)","(0.4142421403344404, 0.044242179261249022)","(0.47480130658330311, 0.034616525226816353)","(0.402363975417869, 0.035755998362502754)","(0.37050276985998387, 0.040210232733552918)","(0.37688495188502524, 0.02217659297786985)","(0.40983410297142625, 0.040323883510780506)","(0.42852353830515744, 0.022870808835108357)","(0.42653136361131544, 0.023517768064606252)","(0.50515437163165566, 0.018130880700686001)","(0.40622365275464228, 0.014836431453352051)","(0.44574966967392765, 0.029098567310616982)","(0.46776028659959046, 0.019860810220597911)","(0.39466257994655057, 0.017914419254184202)","(0.38045487895082197, 0.016650821851144845)","(0.39247146299326546, 0.014603511459780063)","(0.69664246334275348, 0.027766973400234048)","(0.37969883423340017, 0.016156379025698622)","(0.64532365437731942, 0.040178991289206586)","(0.4580741423566872, 0.048472203224661517)","(0.43069058920019365, 0.044842675340503894)"
7,"(0.4159272948228378, 0.015033204858149816)","(0.59988656036002141, 0.041118581249288126)","(0.61487112127808785, 0.0578337491958976)","(0.55270372771716447, 0.015618928497902539)","(0.52612951221402504, 0.049977000338743534)","(0.46315585229945927, 0.033516277234774218)","(0.42842376927004161, 0.029883156914666739)","(0.44661582832949093, 0.032648919066358861)","(0.44978728001192253, 0.031023344577085717)","(0.44012750985656718, 0.025101053997418573)","(0.40567414580455041, 0.029780718320109655)","(0.57392359200041354, 0.048699956681071729)","(0.41631881712879587, 0.037975540087184526)","(0.43653174635444292, 0.016521909191040535)","(0.46547697681011091, 0.020665869015062215)","(0.47009014461528192, 0.027093302254840475)","(0.39604048795477226, 0.02973626597200027)","(0.5003516935751452, 0.037667557842712612)","(0.55452816425050744, 0.034078815508072499)","(0.53923316193038695, 0.028532735703498426)","(0.55434236451795538, 0.043288786656714318)","(0.62274449738001747, 0.041859184694362714)","(0.46355081689667338, 0.045688095436705885)","(0.55185161877860822, 0.050881194975469099)"
8,"(0.32951569670968739, 0.016189488656725641)","(0.39785106922763952, 0.030424430174910123)","(0.33478312550001971, 0.027586185576051102)","(0.36040509412099447, 0.031252050618108797)","(0.42604966873395167, 0.041299778189695498)","(0.43946591483160774, 0.034435104740866994)","(0.34262317601786363, 0.014735028388992899)","(0.34678025994395245, 0.026224705275168115)","(0.35965062019872907, 0.032267536987066012)","(0.37476833773707952, 0.031932550280793018)","(0.37970013981723183, 0.01958412351433076)","(0.37402478615287943, 0.017486391692666567)","(0.41330609517414224, 0.019905180827409365)","(0.34924103761710895, 0.018772995899309149)","(0.40737330216501738, 0.018721751972230805)","(0.39039550053871752, 0.019665632859473838)","(0.3733202304978982, 0.01989414359846511)","(0.38958941138048864, 0.012513498851415708)","(0.3905820979133604, 0.012267647265369568)","(0.48822342242734068, 0.028950006233437797)","(0.35957557800974854, 0.012072311632041467)","(0.64241346084753248, 0.034837294797219504)","(0.54121576400957672, 0.047386373406242507)","(0.36062770666729349, 0.024534099176891241)"
9,"(0.40830226099798733, 0.034265889347636122)","(0.33029116144689302, 0.023910143043691271)","(0.32334405228184721, 0.0074162902768818498)","(0.39260507632595953, 0.018377382149519322)","(0.38779928045427192, 0.02929272320609114)","(0.44242317009414095, 0.032478051296196381)","(0.35757341956817668, 0.028275036088482787)","(0.35308290419679295, 0.01792503095213635)","(0.36497783595227501, 0.039745329909594458)","(0.36789280047390316, 0.016903214930917086)","(0.4016883126168983, 0.019668732265389861)","(0.41096755586768829, 0.018599760733845075)","(0.40608270344482028, 0.011839471477102776)","(0.3692464644477168, 0.011821847663990016)","(0.37940534135484139, 0.01726465386546051)","(0.3813580348371447, 0.01427030573242893)","(0.38767489694398305, 0.0096805545523719113)","(0.39758167582014231, 0.023744895098481197)","(0.37727267517095009, 0.0081735466641685052)","(0.49688608142265694, 0.027259070255283468)","(0.35474866309981223, 0.023251929150395145)","(0.47239295286924371, 0.032795852479207521)","(0.53739320496215326, 0.032821033829187218)","(0.38769697218205801, 0.036652063328801068)"
