DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.91932365402595451, 0.088483353706098167)","(0.91670524317951352, 0.070484450032485796)","(0.84835137839467223, 0.092019851107707218)","(0.78186722536195619, 0.072345283034863206)","(0.73409016199639476, 0.045319702076395157)","(0.88259596148147079, 0.076047781616026641)","(0.6922243991471515, 0.064448514205079244)","(0.74163045632212643, 0.062915391900473752)","(0.7214975611691915, 0.10723929660925711)","(0.87797408159750645, 0.1061464065849298)","(0.69306748525490391, 0.047985108857244531)","(0.84209928626308939, 0.071065161225234819)","(0.82170084774850638, 0.0869067256881733)","(0.90298588460063889, 0.074042544011118094)","(0.86097943061408821, 0.036220535316140001)","(0.69078765026508659, 0.058354485443170054)","(0.82513996084028352, 0.0669575006906553)","(0.92904593865525298, 0.038607508714976403)","(0.86030229278194859, 0.063084410353365969)","(0.85285896121374916, 0.046465357203210801)","(0.79997276560158259, 0.049909750368448101)","(0.69338444855687698, 0.05229399974931194)","(0.72825527502823784, 0.060799399255571533)","(0.85394248400010986, 0.057640304707012369)"
1,"(0.66980638358167011, 0.058738079266073787)","(0.88291356268357268, 0.043274745857734914)","(0.79170879306721564, 0.045905509878222242)","(0.81923120815900552, 0.047320415028922494)","(0.78232491613507504, 0.037573757740258305)","(0.7599002765575672, 0.031077725573854)","(0.74795696257506639, 0.047423976581956809)","(0.77830224416591898, 0.045919432363942747)","(0.64235957116412568, 0.050014703119740905)","(0.70853310729208052, 0.046215137934892021)","(0.74946735467188186, 0.053552794749643126)","(0.7290714030229134, 0.037646275773570853)","(0.70017421213011122, 0.037334055030275336)","(0.77059477268398002, 0.04501773722406905)","(0.74074900971327695, 0.073730525419295215)","(0.74217624927452119, 0.061054135733103698)","(0.8927231216989141, 0.037171998295791341)","(0.81598501700654669, 0.036050911203112788)","(0.82212996739888877, 0.047369906447290507)","(0.87870344181754423, 0.056542514489147704)","(0.81184068353572947, 0.045272392413046106)","(0.57733922996308229, 0.049019102005040595)","(0.62250594378431889, 0.039646481323877894)","(0.69693545093293774, 0.053830048297323276)"
2,"(0.76346320137716073, 0.07130389936783485)","(0.65815764168277324, 0.065914524594433407)","(0.85848734238730773, 0.053236467426297236)","(0.73953180765504689, 0.069538519813149374)","(0.75671699781211943, 0.043622047073662448)","(0.75085168419683168, 0.040453289897616061)","(0.8437755983370252, 0.078196453192866014)","(0.64882285549594643, 0.075435743520932519)","(0.62941062761114519, 0.039625172939940743)","(0.72936537586452488, 0.025087520578272175)","(0.76153102992939836, 0.02436668504691291)","(0.70584487079023583, 0.025034947509405738)","(0.6871109787864641, 0.042326008731384611)","(0.76669683115239862, 0.039478532282020973)","(0.75426032173068736, 0.048472203631529868)","(0.85093489883771412, 0.1019860797147531)","(0.81620867881083892, 0.035729850650877588)","(0.79672824509782103, 0.032115137143869189)","(0.74640892264074676, 0.065269432872310268)","(0.85277194417953917, 0.053310457305186146)","(0.72255195057002775, 0.053478331330067762)","(0.59729055944758702, 0.034226346433652209)","(0.58215971256124199, 0.036691908557558182)","(0.56564425510820016, 0.062162240878165756)"
3,"(0.73636939918093114, 0.06247890559625676)","(0.72055343725983478, 0.059343040496549065)","(0.78986429193900654, 0.07444753956096295)","(0.77382413601978006, 0.056720938861065044)","(0.73466370398610215, 0.040310308430844648)","(0.75223375230767076, 0.038871032572366654)","(0.65758994677370308, 0.098552243865852485)","(0.73068448508345218, 0.067175558549820241)","(0.65564730471933863, 0.047930008526031576)","(0.73491130049014508, 0.032178057648342043)","(0.75781103679714013, 0.02680455737596615)","(0.70541700783070072, 0.029375996777407321)","(0.65604508558853303, 0.045702190491087993)","(0.76803723393486489, 0.044463821207222365)","(0.73781408694239925, 0.064498959718864032)","(0.86042201159475751, 0.096912868563092905)","(0.78429585453336692, 0.036975389009023342)","(0.77759031401157852, 0.029639298929135353)","(0.71061420789448682, 0.064145242527272966)","(0.94769654657198066, 0.068050880202432773)","(0.77935015086103998, 0.04637349911987293)","(0.60770494300329481, 0.032082060134370163)","(0.58839175288341683, 0.032956193439592218)","(0.63818053394193686, 0.082261982609227291)"
4,"(0.7018106811778283, 0.077329581991573124)","(0.80280969841488015, 0.051555658081750229)","(0.80065392402849989, 0.073961143331547505)","(0.73966910094540783, 0.05868833931065575)","(0.72403302976840633, 0.03950467907995403)","(0.74150384138989911, 0.037392571771234923)","(0.56744269626410693, 0.088313440984487485)","(0.73944926952739198, 0.055729967738890558)","(0.69283447198016834, 0.039891279921080512)","(0.72991354137885545, 0.030303884292022281)","(0.73709735310650115, 0.029341321297752285)","(0.6538979787582575, 0.028677259910624382)","(0.66158122916610584, 0.0400613735897212)","(0.77441866717112817, 0.03334040574367677)","(0.72695582403132741, 0.055086784337683201)","(0.84923870430554194, 0.03542349465174148)","(0.75593534263926399, 0.032902172216498264)","(0.77419952743969778, 0.026418162226543945)","(0.76835800907608942, 0.044745794503113209)","(0.93861537172068399, 0.072251897263146722)","(0.76577596074897292, 0.043796974056764706)","(0.58402016218996855, 0.031599005184817577)","(0.60599453447478158, 0.034671210539103874)","(0.64688242969259213, 0.086018563947198021)"
5,"(0.68390478883145278, 0.074661308317709452)","(0.80419328246043253, 0.049953405140968653)","(0.81453531276730728, 0.067792317683037687)","(0.73710051076004512, 0.065434023838103456)","(0.70231327366259588, 0.038183065805989951)","(0.73161377719369192, 0.041784581350619056)","(0.72202227225839399, 0.065607706837841742)","(0.79047994387254972, 0.055249803443867769)","(0.68386223889049769, 0.041326375603193161)","(0.73755643240440916, 0.030476970536641414)","(0.72886769668692974, 0.028463988655085478)","(0.62661144281474879, 0.02804288964921792)","(0.6537328815983543, 0.042209320539049751)","(0.7819091908562491, 0.036359259040454409)","(0.70631298495826811, 0.054620020005325863)","(0.86621512590756089, 0.035595429735896425)","(0.7845602712597004, 0.033524756221546506)","(0.78934283267017336, 0.025998979693244603)","(0.76975237562184462, 0.048162816784968976)","(0.97896303562418152, 0.079254022574485938)","(0.77213704960705798, 0.048027365048332035)","(0.58770422750766516, 0.032865511626738474)","(0.59811835315618256, 0.033874695922327475)","(0.67966271792225519, 0.085529261529652192)"
6,"(0.69984895260579649, 0.076386571346740095)","(0.79391461972821464, 0.056366772984839213)","(0.81659979176207853, 0.075800902360883202)","(0.74500710205926368, 0.059332917075754339)","(0.72788521166083764, 0.040036723869672053)","(0.7473251392474356, 0.03845429674439043)","(0.64237648243527512, 0.081527620719628449)","(0.74924981345381114, 0.063303443772552717)","(0.69859931288392707, 0.0388449132699311)","(0.73575015650580156, 0.029784673684694792)","(0.73953287512888755, 0.028188371806604433)","(0.6566428122634127, 0.028534691746584896)","(0.65207630870977229, 0.041960993592072754)","(0.78129615466650326, 0.037226621187633445)","(0.73732818389321064, 0.056376498513326448)","(0.86477778178597375, 0.034992894884365577)","(0.76020692036570492, 0.032841155171791127)","(0.78750595451037786, 0.026243096459848778)","(0.7651744252426752, 0.045417911570772469)","(0.93325383304706333, 0.070984352265249906)","(0.76666395621805883, 0.044365849436478852)","(0.58842114928524081, 0.031600980300170792)","(0.60617167552344553, 0.033982777658284655)","(0.65924396816667397, 0.0860248622123259)"
7,"(0.75889358883419922, 0.083826308871735214)","(0.67061738737944443, 0.064398747856505095)","(0.82404257416338056, 0.060406671267442959)","(0.73717737175740738, 0.059502495106203479)","(0.6857599826948968, 0.046474763919740668)","(0.74085371012231305, 0.054521323232495422)","(0.81242748262035647, 0.072764896276637403)","(0.66052404553410116, 0.078837858336449032)","(0.64697840460964984, 0.042592534922823055)","(0.65907907326109905, 0.025703617383584062)","(0.74197180677024077, 0.030024635980477481)","(0.71689164750487622, 0.027488936664117756)","(0.67950531724229712, 0.049013417710568462)","(0.82497870517905247, 0.045929518218909726)","(0.69605722413561644, 0.064213286046871626)","(0.85628914407137902, 0.10631565843144392)","(0.78057631457105603, 0.038655443585442109)","(0.78706859935291151, 0.038497177374849194)","(0.70815569670819334, 0.068799375409484678)","(0.89088294453928807, 0.059142052632359103)","(0.71163846422600086, 0.050344588292464965)","(0.67303192426719682, 0.032286182688170975)","(0.55594850759035674, 0.033546406829027146)","(0.5828569611532094, 0.080705717992594794)"
8,"(0.79287145065112374, 0.060443200928357442)","(0.77538219045249224, 0.038478705536045245)","(0.81200841003723978, 0.06683526866354092)","(0.79691237245828439, 0.069375984633444548)","(0.86061796621999842, 0.039625862475281118)","(0.80775508088927306, 0.034518708661566574)","(0.68382873104696607, 0.09258176415564609)","(0.60948476869087354, 0.054284311484231032)","(0.69221783692275307, 0.031813848796193624)","(0.66179363987142303, 0.03430433763558767)","(0.76431523078801433, 0.028855760549135578)","(0.71814220865466327, 0.027094672295568178)","(0.75355602845762637, 0.045596533134247684)","(0.8235938861460893, 0.052405774349005924)","(0.75131083712945423, 0.037907447598683162)","(0.70198867397401965, 0.068365640930417484)","(0.88328023495026964, 0.050724753275879553)","(0.77366593786861193, 0.030270717467529098)","(0.79234245014706728, 0.023493967664338197)","(0.8131217387367603, 0.024377416118013303)","(0.75097005871329192, 0.037060795491293923)","(0.6968160240963015, 0.026004699235417941)","(0.53273673392027343, 0.035594504964358557)","(0.42075555696683198, 0.052837459690324093)"
9,"(0.86391417603367859, 0.05611892298411298)","(0.74673370217148327, 0.051543115217255221)","(0.80617046401021064, 0.083910725645420514)","(0.59371818273051036, 0.084246103701687503)","(0.83482376463297825, 0.044986034339612006)","(0.8224340528630244, 0.037221213407515906)","(0.69867808383697805, 0.095479642614294091)","(0.6754103971558969, 0.064986557755154675)","(0.71551714611781847, 0.034058797306949128)","(0.72737168035309263, 0.032248435933741944)","(0.79425888099845299, 0.027105377805444232)","(0.70532159294571672, 0.024715258708298042)","(0.75549583787175045, 0.041791074569271572)","(0.75995783575909681, 0.0497908752743196)","(0.77361279882318668, 0.044776934307572361)","(0.72603333113540958, 0.066157951920710181)","(0.79500097873997622, 0.050947432268575926)","(0.76906252850248014, 0.03154170866945389)","(0.78786261532634672, 0.026333085363089159)","(0.81673730414945389, 0.028666684599617832)","(0.80004247314094179, 0.035726998302387659)","(0.66032903232141338, 0.029157418425118247)","(0.54924607218136112, 0.036554142420370743)","(0.58167945052743197, 0.058867223939877381)"
