DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.0026485084014733, 0.039963293887192046)","(0.98740040638517912, 0.020926822850593864)","(0.9430455779638639, 0.02774130286891776)","(0.97622706402405024, 0.022463477056194867)","(1.0262206352793395, 0.015168304778588441)","(1.0256128304979295, 0.015993453900744064)","(1.0281052432626703, 0.028341706966069934)","(1.0179201290591264, 0.024546731482486369)","(1.0189303752060939, 0.02317543629848311)","(0.90211064604644231, 0.041313363594807917)","(0.90546772874923054, 0.058906023284410108)","(0.89275157998135457, 0.045949481875554907)","(0.95679826183739536, 0.036772521826149873)","(0.93352652577180928, 0.039416478829837211)","(0.86283418992073146, 0.043129409653874039)","(1.0246464534386588, 0.022021517039391536)","(0.97351393700275424, 0.07851609166639463)","(0.90659252834323256, 0.047479596210850163)","(1.0032365542159905, 0.012681417086948124)","(0.98032545939477833, 0.051005972198223004)","(1.0049389218348794, 0.036058838411199168)","(0.96554889200465555, 0.04634871371024564)","(0.91968133018587228, 0.03787784120550404)","(1.0077974292326535, 0.056674476019858283)"
1,"(1.0020017027487231, 0.035192927791442674)","(1.0418112195026035, 0.033685757535762272)","(1.0006634878875249, 0.027452469088818529)","(0.99625133950602851, 0.019084111051103296)","(1.0625772628817973, 0.015753809127024825)","(1.0153417776490843, 0.022984783563629825)","(1.0399453129453735, 0.027711561173190995)","(1.0431337149783961, 0.029358468147001871)","(1.0089290913922329, 0.026105146633187328)","(0.9545393578128184, 0.03062812988156453)","(1.0011182190472985, 0.04455432744966225)","(0.94684177545933645, 0.045992784081069445)","(1.0436265883826765, 0.038520010125283034)","(0.92356404387925262, 0.032951228175942336)","(0.95693002756983081, 0.047091789751208771)","(0.97548143494775286, 0.03351467268169412)","(1.0215325920135476, 0.021279677953388313)","(1.0313399791669207, 0.012428380668544506)","(1.0136526890273476, 0.015809974725581013)","(1.0234030313578595, 0.026649687073856114)","(0.97604803382691452, 0.035399223376513911)","(1.0824095728530696, 0.032625531457388855)","(0.97919361870484756, 0.028926540650711249)","(1.0132907541755591, 0.017579004514015149)"
2,"(1.0600397624054458, 0.038878999385747577)","(1.0763638859550637, 0.027878543115863529)","(1.0308019674643172, 0.020011707785957074)","(0.99851087799720772, 0.018000992760693446)","(1.0564582341277853, 0.014680135583400471)","(1.0009252336569905, 0.025428573116207744)","(1.039772554868384, 0.026458963603377166)","(1.0371891356007124, 0.025612346949446221)","(1.0448849829283144, 0.019618946934287024)","(0.96178091222735196, 0.029219357200530122)","(0.99859318212572301, 0.05200333171221902)","(0.97548077653114595, 0.040624180825697076)","(1.0396427310529797, 0.039984799317355699)","(0.90281825790472991, 0.038146578412036093)","(0.95822682193564823, 0.068781974161818943)","(0.98674790744276442, 0.035776870101138433)","(1.014312458831516, 0.020227610720574128)","(1.0332716321073285, 0.013268835500965141)","(1.0326665320069686, 0.014551634592009491)","(1.005745353489117, 0.021030314142058356)","(0.98581023016976355, 0.032028378084066028)","(1.0528153087035486, 0.035222671179111521)","(1.0160481312314986, 0.025138272512084652)","(1.0030958390014089, 0.017131350227393861)"
3,"(0.99805056515078183, 0.036674490695540282)","(1.0527179749524822, 0.027757496963710406)","(0.96719830947870744, 0.026843337278671175)","(0.98284934966672921, 0.019123722840038722)","(1.0431586631091363, 0.015282043028907918)","(1.039578348817835, 0.0134034834594967)","(0.9881065233987868, 0.027543871983859505)","(1.0397181568013947, 0.0224595416882587)","(1.0135699944636221, 0.024829848625693714)","(0.90408691252797568, 0.036284243134349567)","(0.97437552043692366, 0.046790005015454841)","(0.93300156779515042, 0.040678644185903605)","(1.0119205247255636, 0.045106691601232866)","(0.91238315539466563, 0.032575742288521101)","(0.93369531111733683, 0.046110446019818528)","(0.98143659541376516, 0.027360663243313703)","(0.98994912659747136, 0.078429699357945443)","(0.92799286240567613, 0.043051725396184889)","(0.99298499779105587, 0.011892491004572743)","(1.0248554689030234, 0.034115738445083671)","(0.98616951765907557, 0.035868118224037827)","(1.0143709675034387, 0.055222368652801244)","(0.93693620032329672, 0.039805872993482878)","(1.0064286181776532, 0.053393214443628156)"
4,"(0.9950645704092419, 0.035813891483094523)","(1.0348374557038231, 0.028184486124166758)","(0.95878441133524384, 0.027525421497635739)","(0.96727728676625224, 0.020347185395283924)","(1.031324493920438, 0.015785474016982756)","(1.0014830006476034, 0.017023721884555393)","(1.0235281526901043, 0.027656788112201854)","(1.0418690000002035, 0.029428340136050113)","(1.0259554942310563, 0.02456335766606188)","(0.95651579995111369, 0.027771005143990272)","(1.0122574862887685, 0.04510360270939049)","(1.0086766627699304, 0.034238318633425892)","(1.0296468300483947, 0.028088706824892125)","(0.96507735420884955, 0.029531707620100951)","(0.91269490704756462, 0.049623726059594302)","(1.0044231559129089, 0.023796306362413019)","(0.99869725469226467, 0.071004416524830652)","(0.92666695284696021, 0.045138043947788468)","(1.0199167071435546, 0.012348099224642011)","(1.0266065123125236, 0.027613204943920232)","(1.0023754445092374, 0.033726731618718579)","(1.093137611487359, 0.037694762215193467)","(0.94759802916511893, 0.037966492093400729)","(1.0012839587391746, 0.055131167961859039)"
5,"(0.99189661563668374, 0.035959112248581025)","(1.0376268915085616, 0.030147254546680328)","(0.94661393662660231, 0.029699397880423441)","(0.9879701026724278, 0.021462991125493644)","(1.0578642996670831, 0.016345561100860558)","(1.0129499842618643, 0.021195825365571606)","(1.0392113527196165, 0.029462319658676576)","(1.0329009063106938, 0.028348955818312864)","(1.0132484503867747, 0.024159613831232576)","(0.95752316259014036, 0.029907822623295)","(1.0132229172693474, 0.046170446156234259)","(0.94784776980215601, 0.045037243560389309)","(1.0390616780242681, 0.038364751550559031)","(0.92272347935958721, 0.032153734130894354)","(0.96344505859632823, 0.040200319921733126)","(0.95618013118123579, 0.036288717987643743)","(1.0242531816583622, 0.021140109038738579)","(1.0319369473175684, 0.013184583667191243)","(1.0188560696056344, 0.014950349063785468)","(1.0150608741959495, 0.028913161064668798)","(0.96966764178387677, 0.032763453866417255)","(1.1046340271033839, 0.032989412887978152)","(0.98196445804393828, 0.028368866234693244)","(1.0228294295986311, 0.019284981128662441)"
6,"(0.99819381955262299, 0.037468017739355972)","(1.0087924578493284, 0.020920391112503548)","(0.94979674605832598, 0.030298316921227985)","(0.96922994646832761, 0.020675415267070136)","(1.0316219517565755, 0.012701906545094158)","(1.0113943916705954, 0.015868988231625546)","(1.053796239182706, 0.036127670915602948)","(0.96394342859736082, 0.032155141416434892)","(0.99854567080610712, 0.028314864825301735)","(0.9321386979189159, 0.035175129324638468)","(0.96041412523350578, 0.067506660845741237)","(0.9076820579612801, 0.055171942725740983)","(1.010241328762592, 0.020985122307961242)","(0.94647820002534977, 0.035457609218404511)","(0.98126146585557306, 0.030504704333586537)","(1.0107454864778633, 0.029719748093293533)","(1.024814367148835, 0.019387733956019018)","(1.0422692557222746, 0.013681859855504623)","(1.0265891187361929, 0.015875290164004938)","(0.93246889267916444, 0.046710615989544069)","(0.87231629465111282, 0.040007376867095712)","(1.0149424221742547, 0.038172630415333877)","(0.96960055466452133, 0.031708185171875555)","(0.98769493383964391, 0.075085563895051902)"
7,"(1.0017531994134226, 0.019832865316042125)","(1.110626082383311, 0.019562979601029745)","(1.0617852761160225, 0.023801882562001671)","(1.0549737319400201, 0.023762925715652458)","(1.0515024355906872, 0.01542167243357812)","(0.99769468758183177, 0.021161301369059818)","(1.0019788637356359, 0.026230941739462728)","(1.1012795588798441, 0.03568057850212035)","(1.0532829503781009, 0.026696315060771553)","(0.91058306847707304, 0.046196426941389708)","(0.92142220582556467, 0.057262418099483216)","(0.99893721710984884, 0.040457061070772071)","(0.99997696700402172, 0.047318467206113893)","(0.86180700998252413, 0.039888662587386423)","(0.93061420078803714, 0.048649551371632384)","(0.97442482389276841, 0.029550712441754428)","(0.97952889240021157, 0.034058945214340094)","(1.0446303625968687, 0.017506992268232022)","(1.0454680317871234, 0.024546280913335009)","(0.96828338118267554, 0.03241520009908281)","(0.95808833619717526, 0.035114607329222829)","(0.92820150719980588, 0.046102792265510749)","(0.99488183904346383, 0.038321861463072475)","(1.0201155185451567, 0.01955191035754212)"
8,"(0.98252339243668474, 0.043069538310732104)","(1.0479840224015806, 0.021229547716258117)","(1.0274448873147763, 0.023650625305608707)","(0.96962101240263099, 0.026568482871608297)","(1.0434934078606297, 0.016040610097128233)","(1.0268645989216283, 0.017663760849165322)","(0.95228187054768743, 0.035774748975546188)","(1.0616530020557233, 0.043895402500881392)","(0.87240728573888648, 0.078670852461423579)","(0.86158541666266297, 0.049289036121462598)","(0.71133213393839367, 0.065419554947509631)","(0.70734251673321369, 0.069959285913207339)","(0.7249025313764863, 0.05200315812743965)","(0.79738504840969926, 0.064956953478242041)","(0.81181737083654781, 0.05887864801257018)","(0.88731428682656954, 0.049170335391071136)","(0.93218500344094901, 0.22730714086784568)","(0.92704109961679781, 0.047416994246881665)","(0.97161720769956939, 0.047106098593520482)","(0.77482145914021006, 0.073588142143273097)","(0.65259614261713572, 0.04032589763992267)","(0.71062767876216637, 0.060761018116409111)","(0.7097619370249858, 0.07566092599301652)","(0.91408763962715756, 0.047282383979912017)"
9,"(0.91967071005436329, 0.043514447774052598)","(1.0331379016088738, 0.015967718196354626)","(1.0029839865836885, 0.024688591391358865)","(1.0030884632947141, 0.031019942343249625)","(1.0143401881337142, 0.019592073585422292)","(1.0306668881123557, 0.021034819003398281)","(0.9635762870147383, 0.031383656992536174)","(1.0470069685467249, 0.055007046021933056)","(0.91718197665056644, 0.077675237765280278)","(0.88931514885233631, 0.041019187128717605)","(0.71977233386461903, 0.074233680544666697)","(0.4694871183148453, 0.08357072195785295)","(0.93975933180217242, 0.046818410974146088)","(0.79022989205934568, 0.071045856072032607)","(0.89480019096382302, 0.046232883213154587)","(0.8373682913854299, 0.065533953308690468)","(0.90000720187655525, 0.14908173225293669)","(0.92143888742113411, 0.045690441124782835)","(0.9623217068305383, 0.044970103020818136)","(0.72650405610848945, 0.070086617333678713)","(0.64715676252545129, 0.053142592556542988)","(0.71135693211955098, 0.063794012930127278)","(0.65985103704405002, 0.068321796129103718)","(0.83069333281289759, 0.054255050270656226)"
