DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.81103837609974816, 0.033153976281736726)","(0.52962512685972296, 0.098933045806309572)","(0.49427998651344451, 0.051219426928387227)","(0.75691377643801483, 0.048632777461295761)","(0.82334493300371925, 0.059102622685266927)","(0.69967277983508769, 0.035944475221330464)","(0.69904957710595339, 0.073593318807633576)","(0.66099161812632179, 0.053872244264186811)","(0.69110224578002866, 0.038605109903397827)","(0.63626123131881862, 0.036522185704940542)","(0.6250996081160175, 0.051166600651877732)","(0.48534175990713546, 0.082032014580912263)","(0.3547173479212764, 0.071955641129242576)","(0.53912501319354056, 0.039616445809871656)","(0.73506026862684049, 0.051382987300478349)","(0.57255003227491064, 0.077184883922895228)","(0.54053865101968657, 0.035566385755788167)","(0.49080826186170057, 0.017459660356227737)","(0.52832033136282064, 0.067424405802121112)","(0.60203914552556792, 0.035880581816533724)","(0.68051986396930653, 0.053590741169766129)","(0.64063458318414956, 0.047677247239932906)","(0.71248933362121758, 0.047066075466285502)","(0.61033839290426573, 0.069232468071934603)"
1,"(0.81103837609974816, 0.033153976281736726)","(0.52962512685972296, 0.098933045806309572)","(0.49427998651344451, 0.051219426928387227)","(0.75691377643801483, 0.048632777461295761)","(0.82334493300371925, 0.059102622685266927)","(0.69967277983508769, 0.035944475221330464)","(0.69904957710595339, 0.073593318807633576)","(0.66099161812632179, 0.053872244264186811)","(0.69110224578002866, 0.038605109903397827)","(0.63626123131881862, 0.036522185704940542)","(0.6250996081160175, 0.051166600651877732)","(0.48534175990713546, 0.082032014580912263)","(0.3547173479212764, 0.071955641129242576)","(0.53912501319354056, 0.039616445809871656)","(0.73506026862684049, 0.051382987300478349)","(0.57255003227491064, 0.077184883922895228)","(0.54053865101968657, 0.035566385755788167)","(0.49080826186170057, 0.017459660356227737)","(0.52832033136282064, 0.067424405802121112)","(0.60203914552556792, 0.035880581816533724)","(0.68051986396930653, 0.053590741169766129)","(0.64063458318414956, 0.047677247239932906)","(0.71248933362121758, 0.047066075466285502)","(0.61033839290426573, 0.069232468071934603)"
2,"(0.79605834669319253, 0.034805683079468769)","(0.58302327960408173, 0.089154930134571042)","(0.47870435837722891, 0.055089327891929524)","(0.76416914279307091, 0.046843971021403488)","(0.85061392568841077, 0.059084492350915993)","(0.65315779918471273, 0.03712269457966845)","(0.68689955415158876, 0.063152634981939321)","(0.65257075319225077, 0.055291667224105265)","(0.70076524578990895, 0.035677028271928091)","(0.64709041731182992, 0.037060344923122754)","(0.6254567197561377, 0.051224176088851277)","(0.44993554818465187, 0.053302046040616509)","(0.29834848191033381, 0.06727592801217408)","(0.56134677721181625, 0.04088704396546719)","(0.68831627155172403, 0.059242347267772902)","(0.56307372922458887, 0.047414715710206334)","(0.44843551682301386, 0.038276722109840206)","(0.49526986692098346, 0.018266691436312061)","(0.54609215364512143, 0.071727805251169202)","(0.60835374499162054, 0.034028052416962572)","(0.64171711121920927, 0.050270081566434928)","(0.62537695118833903, 0.046989227841855809)","(0.70203239396473516, 0.049824350155694967)","(0.59886628033258127, 0.067168952516671709)"
3,"(0.53450411116457253, 0.054759255159336925)","(0.65542580011459572, 0.11104336282510252)","(0.43392018588561432, 0.043807349364789826)","(0.78490104156656115, 0.046249986792019582)","(0.87550399525802969, 0.051012564362808252)","(0.65653772775227237, 0.047076702451149213)","(0.63944802898450137, 0.06484677343128957)","(0.55695797635850763, 0.053095346825174784)","(0.61191846250218496, 0.032161866729678537)","(0.67901290547096183, 0.043409934917610193)","(0.66755586361565455, 0.055524533470823853)","(0.49258446945834278, 0.060508218198894438)","(0.40611223604180202, 0.0443300669852996)","(0.63864978914047144, 0.037629117716348297)","(0.59910196680553229, 0.074868746619752277)","(0.50222652461401707, 0.074720212451004825)","(0.44595571935019679, 0.049084643639772302)","(0.50101680330597509, 0.02556042549501001)","(0.65763389497920233, 0.075164139051045159)","(0.64721896263607315, 0.041025412521043164)","(0.63843376413541353, 0.035753780229652199)","(0.58829451268898436, 0.042216319562885199)","(0.69758811707420265, 0.050908258761666499)","(0.7413747428423143, 0.072853499029974372)"
4,"(0.49402831163706873, 0.057236816504268047)","(0.6669180454698822, 0.096732022777337903)","(0.47976676705952653, 0.05398289302497232)","(0.74126269961030911, 0.088074288308327864)","(0.82624153684548496, 0.060547422169949558)","(0.71256568181650948, 0.055283641372034835)","(0.71921974926357146, 0.055260861156905428)","(0.50146663926543555, 0.055911278223984832)","(0.63578790800338991, 0.039804983731315781)","(0.73273991188057164, 0.055163358523694049)","(0.65755068453934074, 0.048457112219124791)","(0.47174114976878284, 0.037122063733589714)","(0.62642164471258488, 0.055465503187008811)","(0.49135995531066567, 0.042718017491391529)","(0.51288855046379644, 0.088689279137650609)","(0.50535637936417355, 0.083040913511147174)","(0.47229756702874032, 0.052121017858089279)","(0.53748410437260208, 0.043615292712272394)","(0.5924469183557467, 0.04911023121844775)","(0.51588023799746308, 0.055317423024154135)","(0.65000358275347481, 0.0350509098622796)","(0.61524940661702787, 0.047523338159998929)","(0.73528296843129259, 0.052523227140661648)","(0.71044936544918369, 0.069492463178287181)"
5,"(0.50177981354226842, 0.053081757726162797)","(0.64674638797919559, 0.11061319931301387)","(0.50527895094993969, 0.042738879914558769)","(0.85295244421571537, 0.048343729896532857)","(0.84699383743968137, 0.05302785343743751)","(0.63242364994055167, 0.048040996415509941)","(0.657129886308228, 0.051881954623509988)","(0.53787298259090621, 0.055564134962979864)","(0.60161408429836971, 0.028604868639780009)","(0.70647030911098885, 0.053857975463174314)","(0.65747002293303358, 0.034550153904414273)","(0.50416026335107023, 0.041093401750317816)","(0.44357658965775143, 0.05261150786305533)","(0.55822223333760623, 0.046396274559214273)","(0.5300374049463269, 0.085849710827330505)","(0.50747430805132998, 0.076674287767129867)","(0.44166714950016434, 0.050748894568678503)","(0.51741762250877243, 0.026558928226365106)","(0.60096108973013729, 0.079539416343925876)","(0.64918010770261636, 0.041811110856130984)","(0.67529252855049915, 0.031732769426502119)","(0.6246613156284202, 0.045348912244739588)","(0.70047032227356332, 0.049902094237784606)","(0.71320909439456304, 0.070471404374697205)"
6,"(0.50801298076020696, 0.059033381959043882)","(0.63515668467587894, 0.09673750956692509)","(0.62458464469724517, 0.063281318867799988)","(0.70624500891142383, 0.091596716176950213)","(0.83042108128551784, 0.059680569721123837)","(0.67522896876199812, 0.048285609440353323)","(0.71650495941035985, 0.055707257714994615)","(0.51816084217300118, 0.050967242520291105)","(0.6483705634107414, 0.035709112747682376)","(0.73383023439205464, 0.052298224268422053)","(0.65721733785358816, 0.031924374249865883)","(0.49389882280201935, 0.042066731937205427)","(0.62616842354326518, 0.053819594245970867)","(0.50017946172635752, 0.047958181013459181)","(0.52376372955769757, 0.081297241232187664)","(0.531605604380327, 0.076449297132883301)","(0.47934037490235637, 0.050224083906317066)","(0.53617522290034147, 0.042727733352262327)","(0.5636572159777653, 0.061802628857738968)","(0.54952144474926501, 0.055639434858828912)","(0.6466594305434914, 0.036314858341401031)","(0.62763346593514024, 0.04959434185532792)","(0.71633812431982014, 0.055182466400703713)","(0.732435867239705, 0.064069489988535649)"
7,"(0.44435240928775899, 0.054281315558769055)","(0.70742382193228603, 0.11220946928702369)","(0.66662306768421653, 0.070664502961815298)","(0.8099829779267077, 0.096804465368002954)","(0.80040417363052307, 0.056145956590235316)","(0.72888708815903391, 0.046672632900603299)","(0.72397536369900672, 0.055954483174642702)","(0.61489487527139464, 0.064354380352632357)","(0.63216134821397907, 0.040941764338813753)","(0.64982779719490247, 0.05889318066183117)","(0.74317195838771966, 0.051066243980172232)","(0.483340168519374, 0.037927755283623882)","(0.61266058465594209, 0.06181442574856167)","(0.45927278745175582, 0.050961737120317763)","(0.43984413137447598, 0.060795529640088955)","(0.58507725835919289, 0.061334783858155217)","(0.47114067388272673, 0.055402982426400432)","(0.57597911484345699, 0.053878745238585629)","(0.67424569806508106, 0.057436272895721979)","(0.55209851567814183, 0.043800003693504466)","(0.66950170765306194, 0.033579159096764996)","(0.64076822975457082, 0.075851340819676524)","(0.76869331050198497, 0.056450492093286807)","(0.67968807664255437, 0.072624025848110091)"
8,"(0.79605834669319253, 0.034805683079468769)","(0.58302327960408173, 0.089154930134571042)","(0.47870435837722886, 0.055089327891929538)","(0.76416914279307091, 0.046843971021403488)","(0.85061392568841077, 0.059084492350916083)","(0.65315779918471284, 0.037122694579668415)","(0.68689955415158876, 0.063152634981939293)","(0.65257075319225077, 0.055291667224105265)","(0.70076524578990895, 0.035677028271928139)","(0.64709041731182992, 0.037060344923122754)","(0.6254567197561377, 0.051224176088851277)","(0.44993554818465198, 0.053302046040616509)","(0.29834848191033386, 0.06727592801217408)","(0.56134677721181625, 0.04088704396546719)","(0.68831627155172381, 0.059242347267772964)","(0.56307372922458887, 0.047414715710206334)","(0.44843551682301375, 0.038276722109840268)","(0.49526986692098346, 0.018266691436312016)","(0.54609215364512154, 0.071727805251169258)","(0.60835374499162054, 0.034028052416962572)","(0.64171711121920927, 0.050270081566434928)","(0.62537695118833903, 0.046989227841855809)","(0.70203239396473505, 0.049824350155695044)","(0.5988662803325816, 0.067168952516671654)"
9,"(0.81122160895005679, 0.033595672960698736)","(0.5098535926170078, 0.093468896306619628)","(0.53087806860058528, 0.055149381481241995)","(0.75985801829084332, 0.048650934690869167)","(0.82290893806516063, 0.057328349359737255)","(0.72724810605343548, 0.036061641267042498)","(0.71160099607785621, 0.074602356578710324)","(0.65776807000416526, 0.052645084438575955)","(0.69298476654058938, 0.041964900504658793)","(0.63261582621984325, 0.037898176870365542)","(0.62399783342661685, 0.051421573257120289)","(0.4863963525137428, 0.083031129684133342)","(0.35386069800667697, 0.073002007653527518)","(0.53924065186057202, 0.039440504054710321)","(0.67903522188682652, 0.047488030725831479)","(0.58304485287493546, 0.075480082129949527)","(0.53675923179241392, 0.037689680294782785)","(0.49743753440559291, 0.018659912629675045)","(0.53802774007742116, 0.0696840780077152)","(0.65796501318669021, 0.033487955960825357)","(0.6776526986887963, 0.056819079821874501)","(0.64176046025440114, 0.045810389553520917)","(0.70991090568114323, 0.049607964612564372)","(0.60598564086223961, 0.071948156522710804)"
