DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.76336188657014847, 0.02245807155969912)","(0.94574944832401009, 0.048256525425058129)","(0.76570970246310877, 0.044698081447622412)","(0.70089814918162263, 0.084102994726299493)","(0.71489920297625142, 0.062645255252689505)","(0.62428580365463804, 0.037184888759508546)","(0.57650985703775903, 0.053418342564125476)","(0.63601472064350439, 0.044632421932284817)","(0.67914947447510454, 0.061928624049553044)","(0.66764342247015285, 0.029361937380614232)","(0.56206706046790555, 0.038976899936087848)","(0.6362274290558978, 0.037522501244956208)","(0.55084841995662259, 0.05457009869207316)","(0.59971722059199872, 0.041711023243520537)","(0.58974542566674226, 0.03311661128188878)","(0.60550381417198451, 0.031810167455708457)","(0.63054139973894918, 0.029237299239642595)","(0.68433149233815982, 0.043251591892857377)","(0.66749288226675729, 0.034199110293716271)","(0.68419245624262404, 0.047921880990757754)","(0.63638871100349881, 0.065176157569720977)","(0.66231033306887988, 0.043613662632633547)","(0.54514345210668802, 0.045560977684280822)","(0.6192410876935831, 0.039863399026010583)"
1,"(0.62227946474603546, 0.056373513346094056)","(0.97403654151281915, 0.03454719177140346)","(0.78207290475428559, 0.064093417087806789)","(0.8028731780417625, 0.039005033268116322)","(0.76836118952054344, 0.038285989707478769)","(0.63954185506154226, 0.034499771217488269)","(0.67633047633358978, 0.051331376370329557)","(0.70684253582016332, 0.040074957065469582)","(0.68322057436595729, 0.045761300791950274)","(0.71211614354327302, 0.043531771436044656)","(0.59055323934578696, 0.051119885344489233)","(0.58141513572508829, 0.03879499965626397)","(0.58245473963325423, 0.045173007169651377)","(0.61638164765823278, 0.040867302439391531)","(0.56097036044720072, 0.041235215560137262)","(0.50860344657907008, 0.064653534177603972)","(0.57361947790658729, 0.018066504722718542)","(0.68172738390907217, 0.025075043319927395)","(0.59177475104544031, 0.030608826790274043)","(0.61110600933487269, 0.046579650760587343)","(0.67049370794123209, 0.0477059296126192)","(0.6613427749468368, 0.04956251920548848)","(0.6132939149911657, 0.060486681690286696)","(0.74719373170277259, 0.0450038440477315)"
2,"(0.67477259660105915, 0.06270613883366806)","(0.9563786320580292, 0.037557369490569363)","(0.71745452824201839, 0.073744601976482263)","(0.77142241952248625, 0.042234029921694817)","(0.74405749546849798, 0.041007161722522043)","(0.64582733915534996, 0.034333799946855592)","(0.66893046859838368, 0.053226184626779686)","(0.71256676483977022, 0.03840867863760427)","(0.65847982794390791, 0.041798778563068489)","(0.62184785422944233, 0.041548033622600788)","(0.60143159584333772, 0.051008594914744632)","(0.59477167809744413, 0.039558289459084954)","(0.62888345991865335, 0.030522868320250779)","(0.58351877860494039, 0.032830020659844056)","(0.56706765019572225, 0.040899461529228277)","(0.53479744130949025, 0.057462708356419763)","(0.60155300191045769, 0.023638146787295478)","(0.69043412895326906, 0.026351387414555481)","(0.61614878976163501, 0.034994552219949182)","(0.66644907410769894, 0.038796167307454221)","(0.72135806677004122, 0.050641903917266119)","(0.65816853352893301, 0.054107785923450225)","(0.6136314974082252, 0.062125031360133899)","(0.74552104212849013, 0.048287169325826412)"
3,"(0.62064793430773957, 0.071485957103403039)","(0.72511982688363252, 0.059578119914299753)","(0.93812753713352748, 0.073618868135827978)","(0.73419923378480689, 0.050070614824026007)","(0.71543845088895208, 0.04690350586402646)","(0.59036961187375991, 0.035146190893439948)","(0.68704451562491287, 0.041623898760120917)","(0.66439214078204611, 0.047597039681908919)","(0.74143917278076732, 0.047577504670342191)","(0.59519266253000369, 0.040319651129024706)","(0.59545952927593049, 0.048036991081962348)","(0.63137272410600753, 0.037239359293297782)","(0.61746413803881739, 0.045570094635345192)","(0.61747215782224818, 0.019684791318067527)","(0.62818642037146544, 0.036535509580260771)","(0.65168808203703665, 0.058417462574739926)","(0.7649610930043419, 0.04053153993564431)","(0.70087810016221419, 0.023551277953834659)","(0.65519309368168677, 0.032038968708312937)","(0.70345920829158926, 0.043719051728422553)","(0.74377152775492783, 0.040149237407636713)","(0.6722930714181452, 0.037810941278082218)","(0.56840114391652974, 0.055321141875820282)","(0.74535198315786066, 0.050716005784974268)"
4,"(0.86840150755984802, 0.046672875502800235)","(0.84993554886451528, 0.056319922897293095)","(0.95800934123308257, 0.049398659456073454)","(0.88003693127790183, 0.034241682723660891)","(0.73430661771896666, 0.054471359148027733)","(0.66911545779764492, 0.052248489022327795)","(0.72982771266553526, 0.042230141969203654)","(0.75798270494350217, 0.048351352503139947)","(0.75195738252176059, 0.060710995697593528)","(0.63504541549013516, 0.055919008409581576)","(0.69675456679457493, 0.074894172386749253)","(0.59802488504139972, 0.068870090979921694)","(0.6489769305878843, 0.038278931163069435)","(0.59625119643135882, 0.035819394173881886)","(0.68152473739835828, 0.055330879499258384)","(0.6095423907148837, 0.057374639237530993)","(0.69718246837477371, 0.033768147245922135)","(0.64771679781726266, 0.030368499622965034)","(0.60487677211710633, 0.039056774214093246)","(0.63191137401617237, 0.041374030745482585)","(0.60986149858791616, 0.051374658694031607)","(0.66600870467755957, 0.052564068825722822)","(0.64962351475469748, 0.067351836448100194)","(0.72908876918867283, 0.054527742289984901)"
5,"(0.85037632999054658, 0.040934408429956416)","(0.91329497620125133, 0.046400439347337757)","(0.79874028626791682, 0.065319112117297351)","(0.81021144234803089, 0.032589180369820843)","(0.71206141393442202, 0.049111601578598153)","(0.64189322148485395, 0.03388478466421245)","(0.71968186402305612, 0.04671595458405129)","(0.74762516485968478, 0.046597454167832932)","(0.6242703038088957, 0.051054480839951656)","(0.58553377838521159, 0.049895446959224807)","(0.83274990595145648, 0.075137009195799548)","(0.65969703792951828, 0.078038189735254809)","(0.65086834835720231, 0.039732871983861287)","(0.62155803822833666, 0.037983343919641616)","(0.65691407301236382, 0.055019954935182226)","(0.64943957676970976, 0.051270716494327108)","(0.68254328100811035, 0.034747078405391707)","(0.7040439715966732, 0.028416418498110645)","(0.5999283149982293, 0.03452372845528897)","(0.61964378072818438, 0.044520042676214067)","(0.61192020639189648, 0.052180784604946052)","(0.62628341705196622, 0.056132456899592301)","(0.53580959817349516, 0.078674032714520614)","(0.77004075704246189, 0.056643857918826493)"
6,"(0.86834604316567299, 0.046846408242064916)","(0.79419367300937804, 0.060711827830025863)","(0.85750244933366215, 0.055351707538950141)","(0.88898795371351036, 0.028500516874968532)","(0.7699736623409833, 0.040529922407018831)","(0.65023768659654135, 0.051151290169491374)","(0.66943209644630641, 0.042479781778878949)","(0.74002940189639088, 0.040892013942023478)","(0.70587839929434149, 0.064645783169783796)","(0.80882848876071978, 0.060721033935166278)","(0.64497825467733827, 0.067103654736648241)","(0.61853017627004647, 0.052229219207962481)","(0.71902684763818536, 0.039686605529972031)","(0.59648493287004001, 0.039811726281751607)","(0.64849103566350019, 0.045684181441919672)","(0.63983508755266871, 0.059782469909136111)","(0.71284688938126861, 0.044648126456962776)","(0.65554532001622134, 0.035775203287157456)","(0.52473000024747107, 0.036568154707455697)","(0.62863723851785802, 0.042067261512694056)","(0.58841789740946782, 0.055364332367783653)","(0.69394075648243336, 0.06224353824724399)","(0.64692099432331385, 0.06847413529753095)","(0.71755997752539369, 0.065420634991638665)"
7,"(0.85089835704527406, 0.049622222237057853)","(0.89629636530145473, 0.056661993106174147)","(0.86101883685287051, 0.050418326181458292)","(0.86582780409902349, 0.023852405277355999)","(0.75586990339061111, 0.050676493588789319)","(0.69916536413543218, 0.068176614795562071)","(0.67435402559016144, 0.047835911072892166)","(0.76653919911068924, 0.08619560619708265)","(0.59584847361089288, 0.054495795875038264)","(0.86575619717510977, 0.059447428261271834)","(0.5587327184387163, 0.05816165938576754)","(0.63667021278223512, 0.05296072045864935)","(0.68067979726637717, 0.038022851475327107)","(0.58502590777898356, 0.039105190207762971)","(0.65171416048647501, 0.04222027075142637)","(0.62727918127073468, 0.056532833955178663)","(0.62982857328007091, 0.046097458597660387)","(0.662183593744329, 0.03630054195126476)","(0.5503431203265966, 0.039827577662278596)","(0.56802101305368968, 0.032028540269919741)","(0.62143967338974859, 0.074147612877955571)","(0.68778001758845875, 0.061617695095530917)","(0.63941159786264845, 0.052160419451419707)","(0.73859960932543978, 0.078872767586235737)"
8,"(0.67615545463763671, 0.060149332159055179)","(0.94493555922555728, 0.03591186819490725)","(0.71782762642542597, 0.073609998549829872)","(0.76841001891581784, 0.041981109778358471)","(0.73726555508150438, 0.041139821407044017)","(0.64920134748391245, 0.034049284049956864)","(0.64866656701258829, 0.051738435088352339)","(0.71129220442717145, 0.038727913652784142)","(0.65876646449995757, 0.041756400889496482)","(0.60634321186925866, 0.038935503999039944)","(0.59932112298249174, 0.050172068743249441)","(0.59548380285603231, 0.039628605325578069)","(0.62318356540528208, 0.030664504677861488)","(0.58355503720582269, 0.032290337208691323)","(0.56781409786281234, 0.040870408154592676)","(0.5338414824459673, 0.057739175397492237)","(0.6028950590643658, 0.02301025991317977)","(0.68763516367118682, 0.026982741604541147)","(0.61683951640063639, 0.03512578200744617)","(0.66641497073381095, 0.038673094371745181)","(0.72083335077809363, 0.050368395754495462)","(0.64872398537424014, 0.052664534836116807)","(0.60207897187850112, 0.060804946963748878)","(0.74662988424906318, 0.047310525210188706)"
9,"(0.74654255618684973, 0.025441816131488677)","(0.95897266776072954, 0.04956139241318646)","(0.7940588013651495, 0.048556597067419729)","(0.78975668110517749, 0.081488214809229312)","(0.81453933004118484, 0.063157679831646385)","(0.63055276030782614, 0.037397374331679445)","(0.66908966174852247, 0.055525847560699726)","(0.68664366598306181, 0.043612823464169198)","(0.5438984862920947, 0.043944482086566955)","(0.65059881647692464, 0.026621233030360403)","(0.53042939605555073, 0.038101347131874207)","(0.60662118842242585, 0.037928047261673342)","(0.57060041024676955, 0.041830118376394096)","(0.57971278070346322, 0.040906396179815951)","(0.61924902926238257, 0.050194094882065721)","(0.45118709031727983, 0.075900657745775119)","(0.62635115428944332, 0.032092190427378653)","(0.67412131083588478, 0.039262380428647527)","(0.60583698823222498, 0.034364789957403212)","(0.61453935550160599, 0.051950094931401916)","(0.49717044776027797, 0.069681497350994659)","(0.66442783992342269, 0.043597034109046716)","(0.58133137001113511, 0.048989928924491236)","(0.72412402455174341, 0.042374523510274507)"
