DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.41565088535715217, 0.016334007050178487)","(0.4128204326416488, 0.029627779980573518)","(0.32272293468705959, 0.016302801818607066)","(0.60154781586032369, 0.026799412872776162)","(0.49271599356129953, 0.025863272304939476)","(0.48304369791444451, 0.027917668369958737)","(0.33839514183634578, 0.015043813963257111)","(0.3593010868043256, 0.027224628926522509)","(0.49243108377039091, 0.03377809285606885)","(0.40585045886736848, 0.01926203426596566)","(0.39215613384701742, 0.013123156878462132)","(0.38137456207482462, 0.019752014564851671)","(0.38043331693533983, 0.017788993095151605)","(0.3694274007978649, 0.018473049556531201)","(0.43826218142186435, 0.015305136941880687)","(0.4072432360398977, 0.01428494652075636)","(0.42729446669981686, 0.010123891507248121)","(0.40646945958637065, 0.011422833360518777)","(0.40851276221199612, 0.012330172808223972)","(0.49080852970805444, 0.012464686868826595)","(0.41269535558348808, 0.013962841304420416)","(0.42634059308324984, 0.017787027946941245)","(0.44895064367226528, 0.021618132156640268)","(0.4263791035592453, 0.031315040633862271)"
1,"(0.37828766935467023, 0.024127312083331166)","(0.28286726593887429, 0.020858985055245229)","(0.35809823931724005, 0.018778165393668108)","(0.66232135797116065, 0.0402979394595974)","(0.57360238604766312, 0.055448240104928027)","(0.4087833452279177, 0.026619146882476803)","(0.33303505382527449, 0.02210209019431535)","(0.36263636771770219, 0.02193450179717343)","(0.46641808441382032, 0.049828824956682706)","(0.44949891487822546, 0.032434697345486201)","(0.42889226393545482, 0.011874698194883095)","(0.35335263202646877, 0.018245416768670572)","(0.3569745584318898, 0.021302009371526279)","(0.30918516622193526, 0.023132664307804456)","(0.41925266012431134, 0.024920695737245372)","(0.34264829296204491, 0.028891380062549574)","(0.39150574785162939, 0.023356955733819726)","(0.39662282965438456, 0.014172894423510286)","(0.40201298558703263, 0.015677574011287526)","(0.46749344343907162, 0.011933900708423163)","(0.3908404740743604, 0.012041717262711386)","(0.4508172704836082, 0.021193042768567118)","(0.42443894106523977, 0.02122380234503762)","(0.44485294326825747, 0.024339904852309059)"
2,"(0.39626063144403023, 0.016728976366792204)","(0.31106813818859314, 0.0346891646201377)","(0.36205644397362929, 0.028588483560248373)","(0.6630100134271657, 0.032824469887619362)","(0.45819102319087723, 0.024117159855026445)","(0.38312841953628851, 0.037555630221884524)","(0.3248857013782907, 0.017482720230649878)","(0.38528474453182388, 0.021902022495942294)","(0.43827043980578595, 0.034461844032035165)","(0.44921991107487619, 0.027197506535226026)","(0.41479059173004035, 0.017141955055752656)","(0.37406395387034647, 0.024183774370946345)","(0.33780260106965426, 0.01559435002770085)","(0.28516620662877018, 0.023577986313187142)","(0.41289546182830539, 0.024652510115549375)","(0.32425709041633693, 0.024308970646715795)","(0.39652860788243738, 0.018562529118874214)","(0.38574433772470629, 0.016407311663719417)","(0.41183459844032039, 0.012861057595427362)","(0.46456003946834645, 0.011372801043881456)","(0.39157823761531119, 0.010934673720613504)","(0.42858614170063108, 0.018191387461162223)","(0.46276921254409914, 0.02508015413280364)","(0.42602541391173565, 0.029889579714994639)"
3,"(0.37118082737270913, 0.022530403383760812)","(0.36250971949284055, 0.029018530187569769)","(0.31720041411747918, 0.026801416386420078)","(0.78075639308872835, 0.051956593037984125)","(0.45827191449816562, 0.035039729049334688)","(0.34895136175265246, 0.035049250762073644)","(0.34469041009197376, 0.022013194718018728)","(0.37297421021871002, 0.017007068419129811)","(0.39733175930275144, 0.027437120902825827)","(0.42697224539799566, 0.025111790636260411)","(0.43022785378002903, 0.016361595923842405)","(0.40668249072672813, 0.021999374744576649)","(0.31378793219276391, 0.01258168772237437)","(0.33371652261384577, 0.022422689258581742)","(0.38121192233626888, 0.031281978735811948)","(0.40844076378845051, 0.016726169708442925)","(0.44278282725074303, 0.02442470502509916)","(0.363070195910555, 0.013619701425537225)","(0.39347377550732615, 0.012527337915642109)","(0.43200336033086351, 0.010359045547835479)","(0.42487883152771527, 0.015485748662647934)","(0.46534304088355294, 0.011812450282542989)","(0.47468148529357712, 0.020583434510246322)","(0.45273934498239221, 0.026982480529649064)"
4,"(0.43671447088240933, 0.026368755780489476)","(0.41866077712952654, 0.02938429271631119)","(0.34264116398598737, 0.055099075657421025)","(0.87234810471878166, 0.094970219992119631)","(0.49877826988590346, 0.068917018211342301)","(0.35335851578354516, 0.035866977709405917)","(0.32200842767094601, 0.031059917377351955)","(0.33664958075091661, 0.016321523960937095)","(0.46687588119614903, 0.0340361232542679)","(0.40668008522435983, 0.019219067969858596)","(0.43668676577260507, 0.030399916405790837)","(0.36513938371251053, 0.020383290064352334)","(0.32642445986221408, 0.016074972282639745)","(0.4182973928578631, 0.019258670202452227)","(0.39335332956541919, 0.034985871783722609)","(0.435825646198089, 0.031163657623023876)","(0.3610773375387975, 0.031870675822006214)","(0.34988366345549804, 0.018673015347466872)","(0.36651387054576096, 0.014411654833524195)","(0.42296786569774381, 0.0052255081266182977)","(0.43375649915548442, 0.010482973772513185)","(0.49358403121431277, 0.014128315315394628)","(0.44044770746195411, 0.025016564190794871)","(0.41244023061250151, 0.020279931683667006)"
5,"(0.47539675496433104, 0.020358079034089625)","(0.38710086933885973, 0.018534678663667068)","(0.35502169718591914, 0.045004670584513962)","(0.77430156520945514, 0.10074944291024952)","(0.50252453156360322, 0.11601938408329182)","(0.29518318239297126, 0.04449492791071518)","(0.36358419437083606, 0.024714712190536468)","(0.3281787615630139, 0.012663839116490763)","(0.49513816601081884, 0.032624340270957168)","(0.43080952664004163, 0.023972566009140314)","(0.37535823885784142, 0.030351654443488762)","(0.38526539074804822, 0.018900339234015424)","(0.28892921920748732, 0.025514594866105893)","(0.40252856532520565, 0.023985121700429227)","(0.40425181534174859, 0.037932567991355109)","(0.38271270877686731, 0.029260344496878202)","(0.36658962720094518, 0.055978674083261105)","(0.3991111465430569, 0.019866171125021068)","(0.34569576658125389, 0.014323094093220658)","(0.41785225490984856, 0.0067696023007827542)","(0.41568197053692929, 0.019384940410978008)","(0.48540554125468444, 0.018083434538407751)","(0.4692162262521809, 0.028565374029328964)","(0.42286621410870834, 0.025086163061767724)"
6,"(0.40368310435397958, 0.026642620088714628)","(0.40997950602716737, 0.032734589572051408)","(0.31757923199798987, 0.048134931397898796)","(0.76395031112552469, 0.08376673832450765)","(0.46387615363018403, 0.06598270116948772)","(0.34324317927252812, 0.032398686957744963)","(0.34799785211613182, 0.027186521998029917)","(0.34048107220446083, 0.016693112519098184)","(0.44908614738152486, 0.035113226304763878)","(0.40742514192006868, 0.017573254035922966)","(0.42396769210764645, 0.026554708037820191)","(0.39244329367268577, 0.022182065184426312)","(0.31003801573089512, 0.01040988813882132)","(0.44721310512994766, 0.022658667674683216)","(0.40418548357581952, 0.039767445515842645)","(0.44118833977386401, 0.028035340493709846)","(0.37510875480559386, 0.030909315476583193)","(0.36487461373957175, 0.0193892558803462)","(0.34795518471418385, 0.01377674313207326)","(0.42054848905334563, 0.0043902622424132343)","(0.42016110699587406, 0.010824685986481944)","(0.48375026297532986, 0.014859417000497496)","(0.45254245253507475, 0.022836053587337198)","(0.41185909644613766, 0.018681880607121247)"
7,"(0.19577356557377054, 0.0067635805487720156)","(0.90999999999999992, 0.0)","(2.6437499999999994, 9.0378201964541912e-09)","(-1.8644166666666666, 0.0)","(0.35505714285714279, 1.2137844412707732e-09)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(0.62999999999999912, 3.0457823071593137e-09)","(1.629272727272727, 0.027598059579648723)","(1.6827272727272713, 0.02759805957965079)","(0.041999999999999954, 2.8715910978804803e-10)","(nan, nan)","(nan, inf)","(6.3205897435897622, 0.57812922351283047)","(1.9715897435897445, 1.023026356818274)"
8,"(0.31489159518162246, 0.010011308071654804)","(0.90412709181365769, 0.0099372662000237512)","(0.7667502720144066, 0.026986504889778294)","(0.10128332953282732, 0.045901370239704066)","(0.38836697856801983, 0.088456606831203086)","(1.0232472112032207, 0.028437656351495404)","(0.64051990647613788, 0.055104388380209743)","(0.55608830670665776, 0.052174402526371941)","(0.23277842037879148, 0.045361641199193718)","(0.50510581464576221, 0.059204820060486579)","(0.52590545822623858, 0.019961150704392933)","(0.58717941501933058, 0.056438419626499946)","(0.62506991063768536, 0.048531777213006166)","(0.64532895628600495, 0.11252187253227691)","(0.66737733951731937, 0.075326424453966964)","(0.56281284822447408, 0.072491511040794182)","(0.54067437166586818, 0.029249844982044294)","(0.53019706207291672, 0.09307839662398297)","(1.1691314927468432, 0.10691877161194531)","(0.54767335957198293, 0.05362704496297515)","(0.79649681814107698, 0.028585417020745719)","(0.44748935565082631, 0.016573497928367601)","(0.56334071702787825, 0.035059081828683968)","(0.40388563942784272, 0.016828758277909639)"
9,"(0.4090562260852541, 0.022945065479882169)","(0.19937312823557785, 0.031487009310751719)","(0.7658148240578998, 0.027135253543648607)","(0.1756426737769779, 0.058936865369583522)","(0.40484012404988629, 0.065474006554054276)","(0.45491987025468522, 0.067891024312017254)","(0.41558464558518965, 0.051088758361711374)","(0.45571396396396402, 0.041672316066942716)","(0.48260402577516914, 0.032640896253135897)","(0.40166402784795963, 0.03369569972231623)","(0.51022587246280682, 0.041686309940161335)","(0.47310502251243625, 0.047590630251084592)","(0.49842907268128311, 0.029311480819895111)","(0.40875953365047185, 0.07658556201603961)","(0.45693784303214696, 0.053294067908930973)","(0.50581411105416918, 0.047802081116206874)","(0.3783153063929765, 0.030053121351100089)","(0.37096514991271567, 0.091647699581989248)","(0.36912579030558484, 0.030323232558619496)","(0.45788405067722843, 0.041566810368773993)","(0.6677283213311348, 0.040441926611618655)","(0.3533429959932663, 0.030624432097196209)","(0.49394306294799251, 0.030214099876365821)","(0.44206558674691904, 0.025336929164481121)"
