DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.41180072626475811, 0.017469613537130217)","(0.46188352390425214, 0.0087862741775430065)","(0.35619827536315757, 0.019881057150929752)","(0.50473226466575682, 0.023157982646640519)","(0.17002026184538677, 0.058397332510675318)","(0.52234592965178439, 0.028044632071580509)","(0.44680274553682081, 0.043379842059620193)","(0.41855184655588967, 0.018597356972876553)","(0.42850042720698212, 0.017293020030926021)","(0.44090750891847208, 0.036667246420491795)","(0.48186004861199944, 0.021195236785087043)","(0.49937240085201329, 0.035435892600853003)","(0.45349631632209064, 0.022813932442756549)","(0.46066555730751518, 0.021212174387396501)","(0.48641812626816233, 0.022199807441682231)","(0.48815488004688873, 0.039119060936171443)","(0.3917327049271499, 0.044770492018877617)","(-0.08951762632197463, 0.23967142065765493)","(1.1992958347995779, 0.38819609086772777)","(0.45734877061593132, 0.022053447557681939)","(0.40336232107373449, 0.033179590140630551)","(0.27942844677137868, 0.035331282192427566)","(0.39896614753207238, 0.033575382807788871)","(0.46200471134848814, 0.02120996426187206)"
1,"(0.37008400146028442, 0.013388882835682781)","(0.34326971642975629, 0.017095903191474689)","(0.35705645161290328, 0.014545685047074635)","(0.35488924905456537, 0.0095542796813773926)","(0.33389462248777874, 0.0052513185958413776)","(0.39176598670639445, 0.018646705088427168)","(0.36620349893045429, 0.011054054945436044)","(0.36549438081882285, 0.0097122377996760999)","(0.3754287033821947, 0.0087735782636966658)","(0.40377910596438921, 0.016688744475143905)","(0.39333038869257891, 0.01704053477436172)","(0.42731105998611835, 0.019792728998410059)","(0.39033557419498077, 0.021286079195278949)","(0.25188542472108694, 0.023872778259705983)","(0.37731954446491395, 0.020120462874373361)","(0.4006778553294178, 0.015000061088908967)","(0.38215312557967079, 0.035964127911649602)","(0.35928385594960949, 0.023342759448784171)","(0.39246700879765395, 0.0090602577718797896)","(0.41681253855644618, 0.022418614376794314)","(0.38688506222032409, 0.01506048889951511)","(0.38036588014359207, 0.012400784460427999)","(0.3550548608858245, 0.0062635448691549557)","(0.38566495730009159, 0.026878667704780243)"
2,"(0.37158816352316509, 0.022529288032289343)","(0.3486254577633322, 0.010826884256272398)","(0.33208218095614345, 0.021476931151189933)","(0.40202298850574675, 0.013355893882416175)","(0.34545690887820124, 0.005176596675180104)","(0.3721949475998097, 0.0086600953240985028)","(0.39437661979878819, 0.031185324120886513)","(0.40983947793943182, 0.0076714563286868331)","(0.37559874835984408, 0.0093254703359130203)","(0.40728766811285871, 0.0093024881897691147)","(0.43028731782013085, 0.01649324162014533)","(0.41582684074412135, 0.014047328509154487)","(0.40512263102799401, 0.017502352237570438)","(0.41505128287569948, 0.031865205296167362)","(0.41954530302447468, 0.024659383071901912)","(0.42722570560835055, 0.037115601332053029)","(0.45776543681355591, 0.041670109148171222)","(0.38283393938601229, 0.024988831078775656)","(0.38414580882090787, 0.016736244807663687)","(0.39354021430415698, 0.019973881669503236)","(0.47250264491341393, 0.031520633850034022)","(0.37150542043810852, 0.014822378702389179)","(0.35701319112721691, 0.026478273363295314)","(0.52069219338258166, 0.028323652081476844)"
3,"(0.38418431669188097, 0.029999419264811349)","(0.34290816713909694, 0.011574185452231413)","(0.33463642725364179, 0.019149487699506439)","(0.37718534677140286, 0.0092784077563284831)","(0.36869154090489942, 0.019598696025858411)","(0.37878635334581384, 0.0078185718684123696)","(0.39397560359703171, 0.065972910420395769)","(0.23189245766418803, 0.058189893749929736)","(0.32110350629566825, 0.024904373106134529)","(0.40215983533920352, 0.02148908884227314)","(0.42917837142170451, 0.018778623447133071)","(0.40741389958144109, 0.011273736288344285)","(0.38220135463552807, 0.023760499078437355)","(0.43193505498467699, 0.034802266494990484)","(0.43808785892865076, 0.030703045190247392)","(0.4476845590034908, 0.039727700372703463)","(0.44906519598649625, 0.038491742984937592)","(0.38607822694558414, 0.023883593770169343)","(0.43384955353928112, 0.019372260348299277)","(0.37248911907935456, 0.028416194901237493)","(0.39777443987262101, 0.01178483743492883)","(0.37182946717063975, 0.0099863116667649153)","(0.37683137388832555, 0.025301449809315299)","(0.53384821766594159, 0.024977786115700527)"
4,"(0.3980643948575126, 0.021132920851711989)","(0.34052936053744681, 0.012452065944694394)","(0.31201057059648346, 0.025576599665261896)","(0.38009755980343873, 0.0088761296518012432)","(0.36108528933302358, 0.023664393974853631)","(0.37663514947263316, 0.0071275109436940284)","(0.37919782215535214, 0.058705762981452178)","(0.22375452321492276, 0.058379645183950252)","(0.32176746737219125, 0.030440156006664758)","(0.39749472838638461, 0.023301713314534418)","(0.43836072572038415, 0.018637974577510392)","(0.41469703144102077, 0.011772411652972091)","(0.39057399313529384, 0.019654706705821732)","(0.39308280401598189, 0.03128935852342743)","(0.42941068656201442, 0.029092189943466153)","(0.45024637460644429, 0.037493616535349862)","(0.45948347488921609, 0.043737964695805952)","(0.39171857093029044, 0.025819239642803825)","(0.41940484708135573, 0.017032072677343038)","(0.36383440758045632, 0.030182040157540481)","(0.39854445973813513, 0.01163652311403165)","(0.36687080900609764, 0.0081497593005302599)","(0.37704919278830085, 0.025789261913592414)","(0.40959549640961579, 0.021770035766404058)"
5,"(0.38231320215382553, 0.023946648336137136)","(0.3449349889330533, 0.017168828742099684)","(0.31821769018296608, 0.02277947733216169)","(0.38277064101736497, 0.0093443232713778194)","(0.36420748575368056, 0.02593691728623173)","(0.37221937161133628, 0.0064502311980092339)","(0.38195045020532387, 0.062607553257618076)","(0.22596871269399099, 0.05771799824663975)","(0.32373848730114446, 0.028308423121922877)","(0.40311566762688283, 0.030241824927175222)","(0.43854665907060741, 0.018452179197318314)","(0.41316705950221111, 0.012670929616686553)","(0.38616210502892739, 0.02357480006360237)","(0.41386653308474641, 0.030934626374728279)","(0.39285836869261265, 0.01636529146536516)","(0.44812992247678618, 0.038979597191193191)","(0.4248141622558253, 0.052567588258008426)","(0.38108902700769093, 0.024702632740269286)","(0.41215397720135666, 0.016467290834521191)","(0.35574749445280013, 0.029024635324738798)","(0.39380590748110605, 0.0075640727811504029)","(0.37860533250992739, 0.014641925384374548)","(0.36517647563210759, 0.031233707616278673)","(0.398300114030258, 0.020922226379774832)"
6,"(0.35987895611451021, 0.018526096850118596)","(0.35421080784886788, 0.0092048250622962773)","(0.38537583458970448, 0.012349456984588409)","(0.52991214656232255, 0.047357659396871907)","(0.35771857840332161, 0.0095832359449203562)","(0.42114703474866072, 0.027498485069274877)","(0.42122815865314989, 0.021007052294292568)","(0.31376793376240286, 0.033822576268470059)","(0.35985696804318812, 0.023520866708245856)","(0.4325057167639173, 0.016826610677179797)","(0.40795851609545775, 0.014730865049202386)","(0.42704267049688122, 0.012459851738354023)","(0.39605504828140858, 0.022250784496808791)","(0.34368608127702688, 0.040441887543562198)","(0.2861154714019421, 0.048345749926427949)","(0.41367549860853475, 0.030736193575916167)","(0.4285385248720705, 0.03002338896089847)","(0.39083238703681467, 0.011536008125206226)","(0.42981041717009721, 0.014159868268463178)","(0.39604603747132627, 0.016752816821626954)","(0.37495206157209909, 0.015962433416702854)","(0.40616780621345822, 0.019061530205479637)","(0.34993236414844298, 0.044229055085378416)","(0.37447799416353994, 0.017011632322684895)"
7,"(0.3907378514830655, 0.019643323008534504)","(0.33960744454599034, 0.01881456307786979)","(0.32615018992098421, 0.022145757882344495)","(0.36153679741478451, 0.0070602817424911908)","(0.37075300471458011, 0.020829030366039534)","(0.38302940758181475, 0.0071253236932994398)","(0.38898971009196998, 0.063130442695372019)","(0.1835335137235711, 0.05946555272585427)","(0.32309878297399153, 0.029837963291081872)","(0.40673636121582457, 0.019997142036218066)","(0.44730321210140539, 0.020003751406297159)","(0.41315098554018581, 0.011423560732930327)","(0.39130153919935168, 0.020807465059378239)","(0.40664651594441958, 0.023512622149509416)","(0.37447438647246578, 0.031841134878506296)","(0.4083501364013763, 0.029887001166075171)","(0.44216574912276563, 0.019770704383480144)","(0.40062004376779542, 0.01587137080639971)","(0.41194019305187168, 0.017017668074302588)","(0.41898076497899595, 0.023578548928999549)","(0.39573615049239363, 0.030546696329852973)","(0.38897971212309207, 0.018374021613962146)","(0.3625085408210576, 0.027015977849767794)","(0.40649686382263639, 0.022359571578173244)"
8,"(0.40926898410632945, 0.032560852888732547)","(0.36042848532123084, 0.019745211352701828)","(0.3419615058024339, 0.023455044027186921)","(0.36864796740818978, 0.012810557745381489)","(0.36027730736663827, 0.010307868563669951)","(0.37387019733350491, 0.010252399644357243)","(0.4199015149609584, 0.030727896829525307)","(0.40190352538352681, 0.0084747934892996663)","(0.36612599980421395, 0.017579121002358495)","(0.39748364224309474, 0.017679358309577724)","(0.4224733629504086, 0.016516848126383647)","(0.41083223200327096, 0.014328324285097373)","(0.36146396929093255, 0.025582988633617725)","(0.37049335364892527, 0.025617070075562829)","(0.41784579815038159, 0.023385456823796009)","(0.42675983960102465, 0.035437595021534388)","(0.38507385524372212, 0.017597856416183215)","(0.38998287330226661, 0.015762191757556401)","(0.38915229394596262, 0.016534030524205125)","(0.4097681332568397, 0.022095594943312986)","(0.50502577319587616, 0.031682893145245306)","(0.38616579957624442, 0.020112225362048503)","(0.36045758705639536, 0.026750603301519401)","(0.48587938351267579, 0.031049209418438334)"
9,"(0.37869285446543871, 0.023086411596040062)","(0.36953590979655171, 0.012532917280188667)","(0.39338085325595523, 0.016059068510486548)","(0.3640309058030578, 0.078724230896647041)","(0.43943883377081838, 0.04517251619995933)","(0.37253440802980758, 0.011722237826080216)","(0.37114942292684938, 0.015056697941248707)","(0.31731222085211525, 0.016486632139929149)","(0.37702588181401753, 0.012841114044177621)","(0.42414601883813874, 0.016240501524218517)","(0.45511857799589983, 0.02508540084136231)","(0.3974764525743591, 0.036098391820405848)","(0.42194078167700216, 0.037476648358524434)","(0.43317224355720702, 0.032497604933541986)","(0.48644521599059642, 0.034963581110823101)","(0.45903899681935273, 0.01961490313185504)","(0.42783787068546464, 0.029472055399086594)","(0.4514361244654419, 0.029212177551435386)","(0.44014271234810276, 0.027640667399476401)","(0.46148882903298033, 0.038582855280759755)","(0.42714296474841829, 0.023427708385679914)","(0.44862267436921244, 0.03586965972152939)","(0.40405809227826911, 0.02052568548012915)","(0.41711739768138067, 0.0237295547189483)"
