DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.78499142770763508, 0.071951985715370884)","(0.70757569260237096, 0.15246275677786816)","(0.57649833411703044, 0.11868367103372326)","(0.66479913276029012, 0.090615686886205207)","(0.43481423589338558, 0.13734327035325522)","(0.60147169392075672, 0.069850393792967688)","(0.72544770617709853, 0.13932243386237894)","(0.44857335092841305, 0.078431749275685497)","(0.66892943763966783, 0.06474107809261706)","(0.74599964026063514, 0.060220713497191422)","(0.73104126966657024, 0.13317031664861642)","(0.66056996844192806, 0.098176616872532527)","(0.46944757311266966, 0.17461849504729726)","(0.49973999723023232, 0.25535866411308794)","(0.62575653667793629, 0.19490295784304881)","(0.7906071589689343, 0.12681818438927911)","(0.63669678996961143, 0.27165941880027528)","(0.60303890152291184, 0.090230987502446472)","(0.56867660565028444, 0.08772523369335633)","(0.8179363008398689, 0.19748712819396858)","(0.74852485294223015, 0.067824961318787902)","(0.62494967740502927, 0.098723208994452583)","(0.65405494940663023, 0.076430390646390567)","(0.7220922368804481, 0.084437722747158758)"
1,"(0.70733643488980857, 0.09704319761765616)","(0.81224821507513145, 0.17855231182031245)","(0.54119643304406795, 0.27915981554453284)","(0.9740263476304124, 0.097021412717661057)","(0.66789905320804677, 0.055413162339532696)","(0.55898469368342973, 0.081515044265552269)","(0.63549954331113989, 0.064705313038936216)","(0.63389215416330658, 0.12328964316477894)","(0.71711434976454769, 0.07925731500408624)","(0.55207528455871724, 0.077634000923375343)","(0.70579043392449203, 0.080657203583705317)","(0.56178213541175881, 0.068599088717932771)","(0.54979631213190494, 0.057565739940504561)","(0.27833236790755467, 0.22616162736037973)","(0.34949885006526538, 0.30874818268702331)","(0.3825404063532859, 0.14582912477421625)","(0.91205711809245527, 0.10635160141214055)","(0.54946955377794426, 0.045764991143845656)","(0.67299476643284983, 0.030848304040104055)","(0.46729002644111622, 0.096444196315256178)","(0.6951596129349582, 0.061545721214070169)","(0.60939389819231415, 0.095727245102656164)","(0.7340744851046751, 0.10947336506100447)","(0.71846057230299631, 0.14193687087255827)"
2,"(0.73697702594418357, 0.096595416917167928)","(0.89905661883754773, 0.16406649979827581)","(0.57857418789159731, 0.19503997534461628)","(0.89837327022303759, 0.10277972718762608)","(0.6806347365440073, 0.060628362350028837)","(0.54285246485408312, 0.073990261735706622)","(0.63787622088664298, 0.052551479260110265)","(0.62672947040541482, 0.12518682312753121)","(0.59413096789060804, 0.074183670109487843)","(0.52449225546186462, 0.071475966892075318)","(0.6956561315031573, 0.066581844238600196)","(0.54024930530530157, 0.063777782211730569)","(0.55819198629712186, 0.059135400573865599)","(0.25989672442915357, 0.2270858084899911)","(0.43375662089707234, 0.24744949618073414)","(0.48841125423658821, 0.15407030852801495)","(0.52473775613325135, 0.17824431722771164)","(0.5551874170987372, 0.049569507192810669)","(0.67225159040880433, 0.035134309538883246)","(0.42519829422053712, 0.094846496226420079)","(0.56395854974006776, 0.06265128823705704)","(0.54844700358808673, 0.10853751280900573)","(0.77774739858750608, 0.10883685115195382)","(0.63586486427858646, 0.15490783845813558)"
3,"(0.66085000554389628, 0.089929639774864442)","(0.68801800728918383, 0.1159170724199038)","(0.55267213505568213, 0.21823183389613696)","(0.90594419976282392, 0.08600810060164242)","(0.73593735677511218, 0.058957772169626846)","(0.51295224788270966, 0.070008891741528745)","(0.6187764680314094, 0.044711416201241971)","(0.55683534491496489, 0.12215981138028455)","(0.61283223447757385, 0.077403260435205234)","(0.48825053002771135, 0.057585488335298834)","(0.81638501092039051, 0.082379475388372023)","(0.51699931354741835, 0.055956735006141248)","(0.67023728543375127, 0.081817640899307931)","(0.34820236115579306, 0.21852089550976117)","(0.48928963836745559, 0.23468587830009091)","(0.54713618735002267, 0.13849947788680797)","(0.56730142829343166, 0.17166435941583597)","(0.58863380872158177, 0.051339042411566706)","(0.63770870015576819, 0.037392733390015885)","(0.41689473885814021, 0.092570130198781339)","(0.54813714619001286, 0.055147185094322308)","(0.58540059935930222, 0.091172269718255955)","(0.80470775401426609, 0.11829744780717616)","(0.5776120064711876, 0.14318572771654592)"
4,"(0.6672536804095085, 0.091421099636726733)","(0.89520319168751483, 0.1795763515487668)","(0.51784125332947062, 0.22604237351926498)","(0.9335310487775903, 0.094599429715909608)","(0.70217421303566985, 0.059665378079352502)","(0.57142838349499303, 0.078587555301242756)","(0.63083960075637058, 0.061292123827840439)","(0.61626200397336517, 0.12461301139612867)","(0.67149246818251707, 0.072199627755462403)","(0.47782494864895736, 0.066257432757106396)","(0.70778620453049668, 0.080052557818587042)","(0.55568753575829932, 0.06800112930138652)","(0.61045842443494025, 0.063804646389937991)","(0.29634723115033407, 0.2197213497662362)","(0.41884772058082781, 0.23742265217611894)","(0.5182782940908307, 0.17429359881855053)","(0.60006559286767347, 0.16683712177316468)","(0.55972906467219441, 0.042120502876290211)","(0.6780793527155542, 0.034169869230399358)","(0.46963956387981709, 0.10014809046583073)","(0.66423716560879598, 0.064145865063210503)","(0.63501501739668531, 0.10257845091245207)","(0.69570072865521337, 0.10824142093710834)","(0.70527642074716479, 0.15309993650282977)"
5,"(0.70340203209828001, 0.093970308651796258)","(0.72325409767014148, 0.12504873654829038)","(0.66014769699227227, 0.19969493831831883)","(0.89178389590312213, 0.10557928849768297)","(0.73373021766450086, 0.06280718710698073)","(0.44514083432557189, 0.081478794152287523)","(0.6125405197620436, 0.03209314014121608)","(0.50392124309977271, 0.12168002862534927)","(0.59881235167570868, 0.058363153722166689)","(0.54464511083695466, 0.054568367438501908)","(0.7573529387356851, 0.086377652409421773)","(0.57736602781173574, 0.050583261481725615)","(0.5394194814658364, 0.052016625131866084)","(0.5557265699893672, 0.074440617857101751)","(0.55918890538379806, 0.053812577857101168)","(0.56644612156073659, 0.13642387505178963)","(0.6526964133754658, 0.20192298324503274)","(0.59214579919175481, 0.054088766628940188)","(0.64164418131980061, 0.040433291546326189)","(0.41129112997070716, 0.094614910001817099)","(0.60674378615776758, 0.071595577894574838)","(0.57417134419802129, 0.089397746330038635)","(0.75399998477680896, 0.072923669779467321)","(0.62279048896474343, 0.12573992953966567)"
6,"(0.67953561000941853, 0.11076976200204709)","(0.62186314003825993, 0.11313226073246177)","(0.57568355826035988, 0.065035127867934153)","(0.58636810861958011, 0.069451624841846846)","(0.61928352422907562, 0.047835750193786997)","(0.5927377740325559, 0.056575056450519801)","(0.5619869125060809, 0.034577533799940489)","(0.63907807706432795, 0.063893597224041809)","(0.63929604684533148, 0.068599795081543555)","(0.47941020194243178, 0.024435790569013679)","(0.54405521818707425, 0.031616319942844848)","(0.62106453910341897, 0.032551032573371011)","(0.58624907414090222, 0.024256496925006032)","(0.65092437184573304, 0.032597216940925676)","(0.6350501090826588, 0.031531918320324558)","(0.66404612919329931, 0.058821310261163585)","(0.54876064555000204, 0.045465387729416565)","(0.70971694254377071, 0.038319619684319101)","(0.64009350091135064, 0.031790646090439328)","(0.52838897209648483, 0.040461352204360777)","(0.58436005043146544, 0.036847698298681397)","(0.51281807853850714, 0.043456927750209741)","(0.75378257297587359, 0.047862776071368268)","(0.67248758464769964, 0.061118690087653138)"
7,"(0.78435448576971112, 0.097968953474191059)","(0.59847818941386111, 0.086651179158018649)","(0.67281384596672789, 0.078577160134043159)","(0.50649804827132516, 0.085082185733074106)","(0.64279953489741348, 0.054875474961619312)","(0.54934280515205969, 0.061731836378315884)","(0.60928204109010708, 0.040924607349580658)","(0.62593740773550766, 0.071165014730421208)","(0.70066718661521354, 0.07092665290504846)","(0.46849373849258463, 0.030540195877225628)","(0.59491515892391733, 0.034971935823455993)","(0.61188802678352294, 0.03523200876024736)","(0.50444874648520699, 0.037612672338075429)","(0.68247065332868062, 0.050466479608943814)","(0.64134455005372171, 0.042262036064943415)","(0.6263218387508086, 0.088770766279583899)","(0.64313550237366168, 0.066529632963839014)","(0.63944376219630972, 0.033723491087212946)","(0.59307933799824997, 0.027118155923484207)","(0.56392181506135641, 0.04218267587093804)","(0.55464610086953814, 0.038909042063879205)","(0.58787874201376356, 0.042701317791746331)","(0.72407639137916258, 0.050219956000646541)","(0.56211639025794924, 0.069315087060083075)"
8,"(0.54502906464120626, 0.065313842199172259)","(0.7371085377245844, 0.079351304137217818)","(0.77230190352836814, 0.09902507251905257)","(0.32700714804758363, 0.17582250386391163)","(0.62965008886559315, 0.044415049381622225)","(0.62313234008140583, 0.062926415258138774)","(0.5550058218021533, 0.043342323140847107)","(0.69844658416068262, 0.062413159801812369)","(0.73908186635410855, 0.053747943397958527)","(0.49673504308789179, 0.03503321094193132)","(0.57625605881597264, 0.041220657966637056)","(0.56383934378510525, 0.042026846592009004)","(0.46724015740257507, 0.042777552320855165)","(0.66191612814062928, 0.055509451489157556)","(0.64329267853102801, 0.027872112106414298)","(0.68818392925414329, 0.10190319439289358)","(0.70386945558707636, 0.062551831103930838)","(0.66475097595135169, 0.036412943977163617)","(0.53624094265726174, 0.026476594846222359)","(0.63134517268392276, 0.046961814309983765)","(0.56651238591318165, 0.051420494782832907)","(0.60454182961863379, 0.051149423437029835)","(0.64483365826843475, 0.069653571928121327)","(0.53884994726078295, 0.075214231320035213)"
9,"(0.79991899304613279, 0.097737805475061654)","(0.69443622492321955, 0.077663066595610786)","(0.72681879708612962, 0.080281604018018066)","(0.65964093912746735, 0.071996415726289148)","(0.66691249351254223, 0.047584975165484066)","(0.56048399331819898, 0.061976347741893138)","(0.61468367138537483, 0.039050646136443858)","(0.69258593399875379, 0.074686198890493827)","(0.70754770987785875, 0.072052958467303738)","(0.46352276981805696, 0.030211111181319202)","(0.59426894926809726, 0.035408299959895695)","(0.61821882956325513, 0.033989996239704258)","(0.49585955725315528, 0.038092057500044012)","(0.6721337781227924, 0.051731622996505341)","(0.63788233814137696, 0.04249384928952598)","(0.62337564622849306, 0.088771297927426968)","(0.65138571454399796, 0.067889970763745852)","(0.66758447564104972, 0.032379727929641937)","(0.58922205140984019, 0.026918137953961044)","(0.55602194770397739, 0.04127181199282768)","(0.55728590313213999, 0.039468616620628567)","(0.58399709249814191, 0.042708845884111342)","(0.73688074152984739, 0.052579012994492309)","(0.60269806345736954, 0.0694043445241595)"
10,"(0.5687795171309995, 0.067280054110039914)","(0.85597862975685957, 0.087004577011997375)","(0.51484041537519853, 0.074063369580604763)","(0.65798538623358049, 0.065421214925370258)","(0.61628713036461147, 0.051812932821290181)","(0.65557751377640605, 0.066113041191751931)","(0.67230801314671007, 0.051696035549838086)","(0.63965650231218418, 0.071857153080310973)","(0.64402752158432597, 0.078555519996806059)","(0.49696652292155485, 0.03032312699094012)","(0.58847218127588274, 0.041363757487759965)","(0.57790526996035585, 0.035188710425863516)","(0.56768573430012415, 0.040392803622928693)","(0.69058107200974839, 0.057148975975169741)","(0.64587284112082299, 0.046235706317480051)","(0.62874461513855273, 0.085474088301971882)","(0.63827871922717105, 0.077028690323400137)","(0.65542346985052091, 0.035306849101565008)","(0.57846336605198445, 0.027818869890206002)","(0.53968560027725987, 0.046278154813365016)","(0.57059835581331442, 0.039556332967160525)","(0.58057849089766811, 0.059587731264320834)","(0.68011058827272863, 0.070227662028937876)","(0.6605648811077488, 0.062758495151699345)"
11,"(0.42335243880842965, 0.21839563778524348)","(0.65970780224325665, 0.10794254765372509)","(0.77820292699563365, 0.099060570773913073)","(0.24616791527432316, 0.13503400590463294)","(0.73207503217983039, 0.05144259581790013)","(0.81639579083087199, 0.044130455093675545)","(0.60061950311010937, 0.043664315357711266)","(0.72684405964925625, 0.068794567548483176)","(0.63136270982122922, 0.078357756123024577)","(0.54000411835298057, 0.045557929519968961)","(0.66118517293647017, 0.038576393102548803)","(0.57100898685687451, 0.050573327723377963)","(0.60253730518468984, 0.098688716765108542)","(0.64992957023320252, 0.062869600673402679)","(0.54929391395683735, 0.10202968333031331)","(0.73620923306145158, 0.12095058558187224)","(0.52604590929745809, 0.055125292670738194)","(0.60424892615259096, 0.038064486090554184)","(0.5692793399926831, 0.044901702541985659)","(0.47404523564777223, 0.082839880402339569)","(0.55501486445020398, 0.092894109210294659)","(0.48581465354371195, 0.10826938320438495)","(0.66448179851338329, 0.085566703262024438)","(0.72879548685601803, 0.10110100329527688)"
