DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.84364120962778155, 0.02598974514052229)","(0.85106077469331076, 0.044800298701786846)","(0.73805409697806124, 0.051044944472201252)","(0.97049569590431339, 0.10241133713343949)","(0.98879593093149265, 0.048420055482264739)","(0.85980649564938672, 0.033443085837706471)","(0.96365924601885, 0.032636596544575264)","(0.81485401182624762, 0.050613023030511559)","(0.92798273103707962, 0.043682946508177514)","(0.93564780527181124, 0.055392717607632799)","(0.97888410902601586, 0.049768432494422359)","(0.95870019472738188, 0.030956073790583079)","(0.94886464405604865, 0.059436585601415189)","(0.98751955779189771, 0.052888695911467866)","(0.87463167684780407, 0.053451921494470159)","(0.91432286418202868, 0.034084335015339175)","(0.98281459394075843, 0.044409430356352239)","(0.98865980241799822, 0.032426793235197302)","(0.91666868958404824, 0.038293932674989289)","(0.88686479828713671, 0.037186530011449996)","(1.0037829969350076, 0.045212880258271075)","(0.84899247499450814, 0.040032460934401347)","(0.94570815417690446, 0.036709976151750597)","(0.91857164724247153, 0.034337425540513625)"
1,"(0.83945355340138139, 0.027290026430176834)","(0.86169181734234923, 0.04574340872346349)","(0.80615120984489796, 0.053562027573272962)","(0.98736704891709737, 0.084702165740688506)","(0.99022935914041421, 0.047918427297382563)","(0.88543093299592879, 0.040914069479825892)","(0.97783501864344291, 0.031063936678711306)","(0.85099534863830895, 0.056394269511701359)","(0.91382064115054995, 0.043569683743695541)","(0.95781542341935322, 0.047515610200122509)","(0.96696149462814807, 0.044051424250333961)","(0.95601171042353461, 0.031951711787618471)","(0.98614367489988286, 0.054277875914321913)","(0.9398914513452038, 0.052775107731658805)","(0.95905096895201214, 0.046481323262939828)","(0.94528831583471518, 0.039507198383919001)","(0.9699194463394496, 0.043451680840620635)","(0.98938216674142265, 0.033299760158476112)","(0.92348762654668182, 0.036709576308781404)","(0.87395370188278565, 0.041067599115752008)","(0.96563322061761969, 0.048255825815412372)","(0.85917537041208436, 0.041192960445333993)","(0.96551424367549932, 0.036175260980740594)","(0.88639647214702089, 0.039839128348930448)"
2,"(0.82154078030909816, 0.030788640208532701)","(0.79524102924928608, 0.050177266677603992)","(0.86358316506814736, 0.044130499470342227)","(1.0428971595932803, 0.080645897448665821)","(0.73739717140192063, 0.031564840540324574)","(0.81171108341219977, 0.050391321316044436)","(1.0253971836071496, 0.020299616637020308)","(0.9880595911968314, 0.037829206795098214)","(0.90807138456012038, 0.03418088110157512)","(1.029419747421513, 0.047048447096878644)","(0.90722910133392209, 0.050066301859637154)","(0.94993117602518684, 0.048868465632188447)","(0.95054863636778675, 0.034766451404510387)","(0.92609785603581862, 0.046580508221512031)","(1.0911671789134123, 0.034137197755284981)","(0.81673103873702679, 0.036728930966974216)","(0.78917391304347762, 0.052067088734317819)","(1.0030741172468536, 0.032374836972681689)","(0.94821488459378889, 0.029869321496362913)","(0.97056565120850191, 0.054114233772924562)","(0.84032191867471917, 0.082118850226255993)","(0.95819259707581272, 0.042222712463127192)","(1.0557083869992623, 0.035296043094084954)","(0.8973304649619418, 0.044213903505484889)"
3,"(0.90010200039611821, 0.038284346093570676)","(0.82662786003334365, 0.051940491712513706)","(0.92231019433222228, 0.036990418005661573)","(1.0174418512658225, 0.086578601750537401)","(0.76236600601779247, 0.038958474306765883)","(0.866389472003252, 0.051553271161478731)","(0.99220754667229205, 0.018190700578430072)","(0.96605151981976378, 0.039384273077452944)","(0.90851602042324364, 0.033550588703147824)","(0.99955691080023423, 0.033287202067756601)","(0.86605038759032937, 0.046230877348400118)","(0.95834450752571165, 0.046564546099075163)","(0.95265524377003707, 0.038763532904227432)","(0.93341475468874902, 0.044699498280077909)","(0.96193180400038147, 0.046428689352951837)","(0.8217642288886392, 0.035091278238598152)","(0.87281416656877631, 0.053948239251631031)","(0.98620568636486705, 0.040006752529592383)","(0.93998953075331759, 0.034633143831022291)","(0.97228913719843479, 0.054183221896000278)","(0.95866017924023483, 0.084147345442519755)","(0.98087780712157058, 0.054959129071432654)","(1.0720000194272508, 0.030326204985543687)","(0.93650034289526707, 0.050178731446008706)"
4,"(0.84088701220244899, 0.025629611371358649)","(0.90078123548536915, 0.040841702770575763)","(0.93097323970639345, 0.063748511204786654)","(0.90114445399827914, 0.096928307664812391)","(1.0149613736575986, 0.050983519404994536)","(0.83300931779193033, 0.034754087067871593)","(0.94580630315954017, 0.042198192247636726)","(0.86906947299797321, 0.057290591559261368)","(0.86580099843090064, 0.045154656414862535)","(0.9102482263604259, 0.051622321452477547)","(0.97046674346243211, 0.050330436131558964)","(1.0084864453482154, 0.034340434647952285)","(1.0813334523084677, 0.029600262208122195)","(1.0108490669161956, 0.045181850984575125)","(0.93171723768378023, 0.059412560743011177)","(0.85594869894065118, 0.03157820079528998)","(0.95629864826809396, 0.051971350826202259)","(0.89288389748809338, 0.03564882303189993)","(0.8767417854150279, 0.044786548217659337)","(0.88124366650121966, 0.049659452559780062)","(1.0323249179849261, 0.049541413717152399)","(0.90312015715129157, 0.028778112451686745)","(0.99884810304961169, 0.040446528698054554)","(0.90893322568287005, 0.040759741917231737)"
5,"(0.83448246776995461, 0.027222418168622916)","(0.84021035187043147, 0.047015274453337648)","(0.77471405449738706, 0.050070829321000855)","(0.97706250904879077, 0.087010783933474528)","(0.93929101973152263, 0.056862188957260855)","(0.88596003467490936, 0.044489776880741121)","(0.99343345952682272, 0.029667560882829715)","(0.94439924027889799, 0.05137983074691127)","(0.95028532840395719, 0.042381756621419263)","(1.0060466951944456, 0.041343037665571868)","(0.9816500463165192, 0.047730138331550917)","(1.0080176616387877, 0.033254571086951651)","(0.98824484107172539, 0.036392148205307596)","(0.9209756716943408, 0.042523621596902053)","(0.9852761709893274, 0.045781052273720931)","(0.94111753517855945, 0.040156740480443008)","(1.0625181524380176, 0.044183595202720576)","(1.0239136774177784, 0.032298970213290923)","(0.93560712697585013, 0.037759296324109515)","(0.91366873596895137, 0.049738357106042658)","(0.85535823048854553, 0.07279926642474277)","(0.86787574421168667, 0.039897811607678635)","(1.0207687328774286, 0.034706850820668628)","(0.87877572937517656, 0.042387433100254855)"
6,"(0.836364552890977, 0.030448503403928569)","(0.95455217831813588, 0.038138114587853961)","(0.87569232701000654, 0.040517455011156125)","(1.0233529075547574, 0.086051662719922747)","(0.76854091156357518, 0.039230209191639463)","(0.8703462154774243, 0.05063765063361967)","(0.99368647531103482, 0.017384192296189635)","(0.96487305394691047, 0.037300991652176596)","(0.88003313012784545, 0.031813026695367647)","(1.0258354459319552, 0.033390229261259105)","(0.89128013917850757, 0.046401310891462384)","(0.95013530869651397, 0.041911317907314449)","(0.98238268746078694, 0.037430628211286128)","(0.96105378105165606, 0.042769197572105989)","(0.98546830235540261, 0.048682021601013578)","(0.82038972578957492, 0.038937575367001181)","(0.8714299773490588, 0.055232105557352695)","(1.021698982017847, 0.033607463533242968)","(0.97186144894872184, 0.034591732321685789)","(0.93329490258723014, 0.05778893437552475)","(0.92491719917199156, 0.08143737148363997)","(0.9321047709179987, 0.04334933145733183)","(1.0357589953174229, 0.038189418812197271)","(0.92087781459780282, 0.050943005419213351)"
7,"(0.99866062557338431, 0.027512966147311538)","(1.0039971068430629, 0.035918023807027806)","(0.88995319036775267, 0.035605797940463868)","(1.0204416562773537, 0.041070719246926471)","(0.94175183472093682, 0.032064686387408357)","(1.0639830338977203, 0.041912831359143525)","(0.97644371489474202, 0.02819013975755864)","(0.8828119516474946, 0.05134123739041651)","(0.92514313123560998, 0.029631952488677987)","(0.9136209035836802, 0.035207955979922774)","(1.0010610003729634, 0.065523753400848372)","(0.8661475275523961, 0.03944843328572778)","(0.95267854713981381, 0.038012764797632222)","(1.0172287344967632, 0.049971087279848447)","(1.1689955860017727, 0.077174287008619544)","(0.9178920512682428, 0.058892377494148107)","(0.9103055460881998, 0.051267805703089246)","(1.0443805580737169, 0.046971796770628814)","(0.85194423244535045, 0.039104400903901604)","(0.95721802583681115, 0.054453651065253815)","(0.94520122052049271, 0.074858031465941471)","(0.78852219127205159, 0.050582228549143321)","(0.8958060714501499, 0.041161001264422487)","(1.0658687151064328, 0.043193774930445253)"
8,"(0.93738683533850109, 0.039058097149591894)","(0.93912679573315916, 0.058870817862027532)","(0.86929793389082954, 0.040857228933477152)","(0.83038601181057292, 0.041267818983265654)","(0.95631481443872568, 0.035536896939050835)","(0.99758081583237235, 0.095993168849955568)","(0.74401335196739771, 0.071020339499345941)","(0.9800748213088335, 0.044071399031971242)","(0.92642661941040561, 0.080044467206425607)","(0.9516597747495863, 0.15150372351724717)","(0.97314740115312426, 0.025895983234056855)","(0.90463351394247848, 0.023581140117369073)","(0.80120252269683012, 0.039693146301111232)","(1.0422715339995194, 0.034003472638795038)","(0.88640738044738621, 0.048625230706746521)","(0.87925551163202953, 0.03737069066056186)","(0.91340213582512908, 0.041822869887515754)","(1.0146839950603079, 0.022834999521065449)","(0.93461780131371275, 0.039958336158216555)","(0.85813153193138958, 0.04003905130881058)","(0.91398209732544855, 0.038132961777139901)","(0.95160717976366738, 0.044680129671317369)","(0.85528579136145144, 0.055671646544804006)","(0.98059383603235095, 0.02258006028538101)"
9,"(0.96715193844003611, 0.033051635229784444)","(0.89974850808247719, 0.037889513427694879)","(1.1065382358432696, 0.071661035374532833)","(0.87514473908837309, 0.058898951349174992)","(1.0670863750891624, 0.040993100533714535)","(0.85136623956800173, 0.030747220207249189)","(0.97073208703396208, 0.030841583195759782)","(0.87419939702404625, 0.058960247718252513)","(0.90616550243017968, 0.041586232391132537)","(0.9735719934160636, 0.050175989252580613)","(0.90269245073003446, 0.05264958683999605)","(1.0037300532076063, 0.027418529836119542)","(1.0050919994005212, 0.040587788189358494)","(0.96772325403395887, 0.035493731478968338)","(0.95909043033145092, 0.037163183687101392)","(0.84901019632469521, 0.0349345396252752)","(1.0459578613113627, 0.041852868950293803)","(0.93630287669629997, 0.033248079909056094)","(0.89168137201309572, 0.036523010269917791)","(0.91216123601917265, 0.049669451403128895)","(0.97318010461760518, 0.044699890845221892)","(0.84735497812041238, 0.028605247745800266)","(0.99859000511257534, 0.039664229703804899)","(0.94076578677362199, 0.050284463118218825)"
