DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.38458568329718001, 0.0098946777377800794)","(0.39790384190422062, 0.0077807762365335355)","(0.37889498299873636, 0.0065045686153012115)","(0.38613708501329647, 0.0050222852948855383)","(0.3742129696793845, 0.0068234538711415072)","(0.38132790195668809, 0.0050536778203813977)","(0.38541122715404674, 0.0056506318301519651)","(0.38435492823725331, 0.0052408812488869616)","(0.38293850680764074, 0.0068039795958331718)","(0.38311130828906848, 0.0088383259712561512)","(0.39379414366724175, 0.0089024307754251627)","(0.36883250378705879, 0.0067730741645830378)","(0.3880648979274478, 0.0062689551252033552)","(0.38956075758062947, 0.0059607327710432126)","(0.37599463882618506, 0.0090795491125210733)","(0.37156220381588173, 0.0050474276948355729)","(0.38453465475082771, 0.0050589451821993498)","(0.39391692263912459, 0.0070449906240148711)","(0.38976344691636172, 0.006275603522797258)","(0.38353210097396129, 0.0070603740704090435)","(0.40024778843036474, 0.0062837469387569045)","(0.38204001952171801, 0.0049901864450338012)","(0.39001241693899069, 0.0045562698417503942)","(0.39047601519027725, 0.0056632462319408852)"
1,"(0.38791009174311925, 0.0091428318078537654)","(0.38420943206625308, 0.0065961657434272071)","(0.37275177652536118, 0.0071418887159534743)","(0.38275290215588736, 0.003972953500634673)","(0.38267530142326128, 0.0044476572132941131)","(0.39901760624185606, 0.010290049967400652)","(0.38526064321290926, 0.0035924657461852546)","(0.38820753854313383, 0.0050197497356179455)","(0.39442197740900858, 0.0059898847008547692)","(0.37288062478094036, 0.0076942970421519374)","(0.38331481883271862, 0.0082087922833393324)","(0.40539158306472051, 0.015012539980989002)","(0.39286138842052903, 0.008968051648997985)","(0.38787020387384985, 0.006679281822909903)","(0.37315402280954418, 0.006973440780071837)","(0.37526328924382335, 0.006160358481018726)","(0.38090005232862401, 0.0051147386287734211)","(0.40585083942240774, 0.01095184565793357)","(0.38837217869616814, 0.0053918221803901873)","(0.38814512401787082, 0.0064236024569982019)","(0.44766104354648878, 0.0096933591478185911)","(0.37775106174452777, 0.0052102291918633683)","(0.38653566229985453, 0.0040736999011476618)","(0.38456990766911625, 0.0056273433358398871)"
2,"(0.38937137059344168, 0.0091341253834469772)","(0.38314472070464928, 0.0065048616843680299)","(0.37525799793601616, 0.0097057427375080319)","(0.37638759319925652, 0.0039138979321287227)","(0.38271522216558429, 0.0039119375196746079)","(0.39912309135184937, 0.010742415898102877)","(0.38707958191037989, 0.003655384444508341)","(0.39119550124528107, 0.0042235782755280695)","(0.39195863947466592, 0.0055461357130213041)","(0.3717953499046176, 0.0095569850348696909)","(0.38818155863183029, 0.0091432277088152429)","(0.40298231921396271, 0.012548764076362384)","(0.39790262172284635, 0.0084841979723522063)","(0.3904965072991175, 0.0061033182034980309)","(0.38996662003628862, 0.0087524543151878253)","(0.3777876867216613, 0.0057797610943715189)","(0.38163936447906632, 0.0048186564549414675)","(0.40843689120837856, 0.0098308112602469456)","(0.38427081457557616, 0.0058258542263231097)","(0.39366331351928091, 0.0056949261660098919)","(0.44078210366806414, 0.0097601297425577074)","(0.38796039991391285, 0.005099606542862809)","(0.38943963429988177, 0.0046822753027156473)","(0.38775791834818457, 0.0057153217464188293)"
3,"(0.39826020516802985, 0.0059190078277818739)","(0.38069530180170508, 0.0065768523773291855)","(0.37707044904544212, 0.0096715339140631199)","(0.37713836477987406, 0.0041107225298950495)","(0.38322465670089439, 0.0040433418003435959)","(0.3998827260715076, 0.010352602740314193)","(0.38553722474208191, 0.0045687984002453436)","(0.38961004273504291, 0.00393297569080653)","(0.39408546205229755, 0.0052496222326371654)","(0.37285057974185082, 0.0093977953976811263)","(0.38795501815272904, 0.0088401062988510345)","(0.40331324727542056, 0.012899059492598574)","(0.40061893955023736, 0.0089731383499604012)","(0.39068554631941604, 0.0058229185223064497)","(0.38978961326571038, 0.0087388957421547127)","(0.38045829042224494, 0.0059715447186377011)","(0.38016295395220384, 0.0044811648272747012)","(0.40961816378577487, 0.0096718330698937881)","(0.38461077170798713, 0.0060192960382255767)","(0.39326043517988574, 0.0059263520499455331)","(0.44367200388161093, 0.0095067632447490558)","(0.38943152337547171, 0.0050808052155922618)","(0.38831891880405461, 0.0048264785323757315)","(0.38821449188405399, 0.0056280625709627672)"
4,"(0.42377050909652586, 0.016946794115919508)","(0.31010582731525616, 0.018435350624521559)","(0.34783214731127565, 0.0099239975363963947)","(0.37698663601092092, 0.0045830409846845223)","(0.38127521368619077, 0.0042474050457540135)","(0.39875785347465026, 0.0096305352372394633)","(0.38525655077283361, 0.0046485161663816664)","(0.39026835872572779, 0.0053812696675751993)","(0.390175395790126, 0.006750201831331671)","(0.37928275467924011, 0.0069384590260678546)","(0.39508363566724486, 0.0082130485530981651)","(0.39719671832822778, 0.014053864178138151)","(0.39160860718909901, 0.0097242402672171584)","(0.38951905221417643, 0.0059768906357519358)","(0.37292315777619284, 0.0068845725778188711)","(0.37989245967237728, 0.0064272455279526016)","(0.38032060576768195, 0.0060996831039086315)","(0.40948117880138662, 0.011718084245070844)","(0.38687739872068228, 0.0051997815312312609)","(0.38861073417247682, 0.0057741339013808214)","(0.44509108372018574, 0.0096873889417612366)","(0.37839407433278044, 0.0052311281754891595)","(0.38502693567127921, 0.003987953279471137)","(0.38407882743901395, 0.0054467642503868152)"
5,"(0.38511017838405015, 0.0094959065832073957)","(0.3979038419042209, 0.0077807762365333585)","(0.37929196157405592, 0.0063136516231334268)","(0.38619803563270905, 0.0050221410564093971)","(0.37378903368576311, 0.006907486757547935)","(0.38105009052504513, 0.0050108240405918724)","(0.38653591666383885, 0.0058018535527822861)","(0.38511876141936741, 0.0048867580576795822)","(0.38632952314975205, 0.0063581748807340927)","(0.38574319378865946, 0.0096128923028772004)","(0.39174453781512575, 0.0086521279201971606)","(0.37041467304625186, 0.0069250910178490022)","(0.38791758696852574, 0.0062830577691148914)","(0.39056537102473504, 0.0062254505072807708)","(0.37796983088139302, 0.0093067678461057034)","(0.37204768664002796, 0.0050589649971748297)","(0.38478720083624302, 0.0050825584919071765)","(0.39302933868084899, 0.0071820841731308812)","(0.38915992622106504, 0.0063039269589541839)","(0.38377874919278715, 0.0070739835830797744)","(0.40093867903086539, 0.0061246561969443463)","(0.38203587389781368, 0.0049561366595000716)","(0.38970819263148554, 0.0046243397219122087)","(0.39190679075828316, 0.0056684298526351127)"
6,"(0.39652244991610852, 0.0059223002985534937)","(0.38209592196179393, 0.0070508895832519375)","(0.37466645572957852, 0.0068241913437822755)","(0.38156070398972769, 0.0039474939225961599)","(0.38171128445611308, 0.0040768242223092419)","(0.40350180691382304, 0.0099977845081398089)","(0.38215067893123073, 0.0039977677313880076)","(0.3885006293999721, 0.0037049468158732507)","(0.39872511436904379, 0.0062657253205783015)","(0.37807349876870666, 0.0084576725766543504)","(0.38114025456591499, 0.0097468113312114638)","(0.40188092714248103, 0.012986105093736331)","(0.39719241674542727, 0.0092054267101745624)","(0.39216318884321172, 0.0056173497073959402)","(0.3838819347859681, 0.0098971653311943145)","(0.37825504445617292, 0.0050967114096624275)","(0.38067692731467162, 0.0048793974524742748)","(0.41170629026729783, 0.0101694306418141)","(0.38778257419757045, 0.0063307763956055889)","(0.39463279604135026, 0.0073314440123446187)","(0.45032414383231151, 0.0087998287722753296)","(0.38878619037935791, 0.0053891475316074173)","(0.39292752171008677, 0.0048932234030747276)","(0.38434175814824273, 0.005549272989097207)"
7,"(0.43935969724191976, 0.017176743596518215)","(0.34583462874599541, 0.014826154194033351)","(0.37563680605050875, 0.0072366427929017874)","(0.38122865529142336, 0.006478969077379812)","(0.38820002173986395, 0.010830524559941912)","(0.38858486662541603, 0.0040176614450234778)","(0.38503342700333781, 0.0049787433075612455)","(0.39402432596962716, 0.0044538647767826903)","(0.39817859835776381, 0.0067059584276840294)","(0.39863751497361927, 0.0062743478253900744)","(0.38749310281405186, 0.01139271240347358)","(0.39193459066274233, 0.0061792572975890954)","(0.42318553861670344, 0.0077851327219765863)","(0.41315046136463474, 0.0069387853362986108)","(0.38772840608834797, 0.0077916673842364963)","(0.37511353315168056, 0.0091986261831246245)","(0.38673589920267742, 0.0068944984421938343)","(0.40338499506937164, 0.0051204984494220901)","(0.38770797580158883, 0.0071060101353324938)","(0.40281690140845094, 0.0067273295651539607)","(0.40189087807171997, 0.0084015331497892115)","(0.42433084060921666, 0.0098646387534671413)","(0.39576517156687391, 0.0057429926450412571)","(0.38630416957403912, 0.004673241417163662)"
8,"(0.39252395173645666, 0.0058607640792746225)","(0.39034651322907454, 0.0055156968439854411)","(0.39814768152256552, 0.016077507505907827)","(0.38440315188550289, 0.0068059425096570212)","(0.38959029823512942, 0.012903233954848402)","(0.39049316178782001, 0.0040828155557047878)","(0.38163602263007673, 0.0046797183318116678)","(0.40844175883672373, 0.010669614884765666)","(0.43872093023255787, 0.02172165413841631)","(0.41053645156983887, 0.0046070338988462361)","(0.41580207501995253, 0.011777444556266429)","(0.41453930902804681, 0.0077703762599234333)","(0.42640652058045636, 0.0085966511596881571)","(0.42141174069235759, 0.01562877161270607)","(0.43169154751892364, 0.010471611865558861)","(0.40009708737864119, 0.010412340286548744)","(0.39454534280981141, 0.022811443730989422)","(0.4031764346394614, 0.007022462478904045)","(0.39520691461498136, 0.0073318338643516478)","(0.41408693261166896, 0.0061081878138183115)","(0.39608576874788087, 0.026496928012672914)","(0.4246830096619239, 0.010296657968135302)","(0.40340757563957275, 0.0046600683878927386)","(0.39228577044025165, 0.0046630570589109039)"
9,"(0.39252395173645666, 0.0058607640792746225)","(0.39034651322907443, 0.0055156968439856041)","(0.39814768152256552, 0.016077507505907827)","(0.38440315188550289, 0.0068059425096570212)","(0.38959029823512942, 0.012903233954848402)","(0.39049316178782001, 0.0040828155557047878)","(0.38163602263007673, 0.0046797183318116678)","(0.40844175883672368, 0.010669614884765709)","(0.43872093023255787, 0.02172165413841631)","(0.41053645156983887, 0.0046070338988462361)","(0.41580207501995253, 0.011777444556266429)","(0.41453930902804681, 0.0077703762599234333)","(0.42640652058045636, 0.0085966511596881571)","(0.42141174069235759, 0.01562877161270607)","(0.43169154751892364, 0.010471611865558861)","(0.40009708737864119, 0.010412340286548744)","(0.39454534280981141, 0.022811443730989422)","(0.4031764346394614, 0.007022462478904045)","(0.39520691461498136, 0.0073318338643516478)","(0.41408693261166896, 0.0061081878138183115)","(0.39608576874788087, 0.026496928012672914)","(0.4246830096619239, 0.010296657968135302)","(0.40340757563957275, 0.0046600683878927386)","(0.39228577044025165, 0.0046630570589109039)"
