DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.1732980516066891, 0.065890367267995367)","(0.84584351451219142, 0.074022509593303157)","(1.0398853877882199, 0.067301920701801396)","(1.0995005002929958, 0.039985668082797313)","(0.88128365638372563, 0.061915648475454228)","(1.0107177450014602, 0.051842230039853936)","(0.94263425690653291, 0.050072300609019585)","(1.0494071215956933, 0.056602535629000847)","(0.86340642778759646, 0.064758864162731855)","(0.8193644908926927, 0.10599307482034064)","(0.77891708203911547, 0.062775576005323894)","(0.79790845736042093, 0.085912782710260246)","(0.77122505727089052, 0.10381970385544267)","(1.0237690064911549, 0.075359276658781754)","(1.0127696406880602, 0.071240308867962857)","(0.91027045943587748, 0.07035277473561459)","(0.71211387447198993, 0.098938498421889245)","(0.63382802198990862, 0.045559150545541875)","(0.69475760687951982, 0.048880469861180116)","(1.0750576766445903, 0.092131013671259906)","(0.78685184774246364, 0.081086741054481187)","(1.0361208357322207, 0.058548074474975322)","(1.0231576848325987, 0.056509409083935577)","(1.1054117541862796, 0.060791057261796275)"
1,"(1.1144260755136606, 0.060015588594164775)","(0.90523324246086501, 0.049953926538843611)","(1.1406067760453189, 0.050367880337267128)","(1.1591099035215642, 0.033331832148385226)","(1.0215285978188173, 0.039502548825614457)","(1.0526383944148991, 0.032723675120758841)","(1.0193056361726565, 0.040638176428338703)","(1.0249097270853624, 0.056913428808026106)","(0.89357379975009987, 0.037836320337189831)","(0.97576901162845753, 0.042550455142753796)","(0.77509081782218026, 0.06067755598758668)","(0.84078806789408522, 0.061179091804542063)","(0.80780356282656962, 0.058880605254868809)","(1.0823153767101581, 0.052637719149380327)","(0.97063471942889823, 0.060794205040720882)","(0.88875324117119403, 0.084972915734539647)","(0.8620876978588794, 0.099465699858733464)","(0.63645035956461882, 0.047642100122602886)","(0.6818207998813699, 0.048596919786713988)","(1.105199010100584, 0.077973986703184048)","(0.9544331992631665, 0.078414392738622996)","(1.0347976328075976, 0.043150738242634622)","(1.022676968716429, 0.038316445964920155)","(1.1426326147352235, 0.068115773419737444)"
2,"(1.0485350835258673, 0.052905163328754536)","(0.92633606089058529, 0.049907817980380555)","(1.1377850513955108, 0.047777530348508179)","(1.1635539526097878, 0.03396883943759485)","(1.0218987334798482, 0.041244044870821922)","(1.0520527998313778, 0.033951248853051071)","(1.0066796952469899, 0.039915328387856289)","(1.0476449892635222, 0.058525064926183118)","(0.91415514160052225, 0.044947491948422562)","(0.97496849529531326, 0.046515132363445046)","(0.77638034449158733, 0.06096775331951193)","(0.83939006667909599, 0.061954021893240938)","(0.82414450066723643, 0.063616124480532457)","(1.0650148484057034, 0.04223364654929445)","(0.97779693357507991, 0.057215124515360836)","(0.93493823140171217, 0.088577783806884663)","(0.88667758902493388, 0.10088010142447672)","(0.62209642254414377, 0.047659000272276673)","(0.69055908809466271, 0.053100721863360338)","(1.1248359526107332, 0.080473146902507231)","(0.96628879767161113, 0.07997551767867811)","(1.0411404043510255, 0.045019416332631366)","(1.0377319597157399, 0.040984393264492325)","(1.1441735103024953, 0.064434130938102269)"
3,"(1.1221108830496356, 0.055823134441905946)","(1.0769256216020477, 0.082868025403384005)","(1.0016788654161997, 0.043489991689647248)","(1.1635519214192194, 0.04351706971784769)","(0.99268029667657665, 0.045524794461383244)","(1.0440297885524461, 0.060583329071170901)","(0.98183850502478387, 0.086826191864247837)","(1.0963752526454702, 0.050509043105054816)","(0.85256606143679925, 0.061439338050039267)","(0.70514417554185171, 0.090959802938162998)","(0.87802251378613938, 0.140590249133039)","(0.41829811903931041, 0.055747257418639271)","(0.72024653522004267, 0.079502867573667674)","(0.78163513877814161, 0.11215548525462407)","(0.94788462255613626, 0.062773328758102723)","(0.83287491242931677, 0.059499590119468815)","(0.65003779274887463, 0.050057995893417966)","(0.65443716134511609, 0.040163183444395595)","(0.6214308011585129, 0.05046390000715556)","(0.88908684601362664, 0.05172544819049002)","(1.1149499356759345, 0.075471136573944844)","(0.9071534252805773, 0.060526280396778806)","(0.90831942368808982, 0.066446512724146284)","(1.0139554487899858, 0.056624299844069852)"
4,"(1.1364030490895209, 0.043651624487465221)","(1.0579891692749226, 0.068458908217766817)","(0.8567261371953796, 0.043040689949590309)","(1.1514000370631035, 0.054740860665163843)","(1.0935137569058027, 0.046919114978651713)","(0.8660298045077518, 0.051119781469812844)","(1.0312381607113659, 0.037962853016883021)","(0.96518774251597994, 0.049687992506815708)","(0.8712838418848694, 0.050024429671988259)","(0.93193647322609818, 0.077747496239540304)","(0.92815466198803476, 0.080417447017575097)","(0.80900601483764456, 0.087615529596721087)","(0.84963418084412301, 0.055168630728964864)","(0.89232699524953818, 0.074350323655064929)","(0.9735205890237234, 0.058894245827825396)","(0.80838007838042913, 0.064920118671885685)","(0.66587499997566435, 0.057521180095691633)","(0.85068511413668224, 0.061695848444735329)","(0.78049780273809144, 0.06352465078180361)","(0.80040164911115919, 0.17361556794048902)","(0.78424384395056335, 0.069075537917369256)","(0.91848402136683527, 0.079250979313789105)","(1.0154924956825475, 0.042034051474379379)","(0.88016179263986982, 0.042481237723035366)"
5,"(1.1751330071922554, 0.048404639127082191)","(0.98762153452882051, 0.044295762634331153)","(0.98530498009905731, 0.049214089525352736)","(1.1287101339657593, 0.073631026261353635)","(0.99195943688706201, 0.078163828449465969)","(0.96447975534668395, 0.0475918034038528)","(1.0923725268133146, 0.085527090234519113)","(0.82751536883437005, 0.068510762946265472)","(0.89691283437053015, 0.04644589345939739)","(0.92633344327525746, 0.053204504202185955)","(0.91785664221252661, 0.06815102129674705)","(0.84146021921118574, 0.061572038175631796)","(0.75133362475229526, 0.073143658887402249)","(0.84127788520661373, 0.054178370424366531)","(0.96372517825220638, 0.084249954660967741)","(0.86898755478375789, 0.073562253656827656)","(0.82318548763085986, 0.051521588425125858)","(0.97823338866651544, 0.063852816439454549)","(0.77554533517342061, 0.045306727430799526)","(0.93718863234601502, 0.21254211450892865)","(0.61784371714297104, 0.056287487016633019)","(0.77229152970581261, 0.075145975403082835)","(0.94427073139077766, 0.045626714288264147)","(0.86618533696085453, 0.056657045449919737)"
6,"(1.1542900470447288, 0.055230313455273489)","(1.0574695392818059, 0.062488303349076936)","(1.1315201231317378, 0.048473915366819442)","(1.0821291583544084, 0.066954704515584107)","(1.0075547226120032, 0.033957377364178927)","(1.1007825008442, 0.066210071729876946)","(0.85066322331953803, 0.064129054610681413)","(1.0059366068267497, 0.045890095294178437)","(0.82723448477401484, 0.053337284122832333)","(0.85341516066555378, 0.077606175947675923)","(0.71761208636567608, 0.055567617599647914)","(0.92560750747408849, 0.12546656342244805)","(0.76255174855629948, 0.064388998820688825)","(0.85130732693359601, 0.10209592148952187)","(0.75551397830602651, 0.080039470864189347)","(0.67174179670443002, 0.052696057971861353)","(0.73699060103696201, 0.049995072127977574)","(0.65899144164938417, 0.050033543263623366)","(0.86727637534955937, 0.083173710763937383)","(0.78505167483126981, 0.074842422493305694)","(0.90438510190653276, 0.075478589352024283)","(0.95352861677324996, 0.042165772701621682)","(1.0115043202104501, 0.044344972111378257)","(0.83622288657376243, 0.044162900874865497)"
7,"(1.1333470596364881, 0.07275209202804632)","(1.0596393601456828, 0.063530743365796949)","(1.0049931598777198, 0.07226825147862849)","(1.1695551934093009, 0.084781547929560178)","(0.97487263818150649, 0.074889954707781509)","(0.9479342948528342, 0.064156378042191292)","(0.87524394256812887, 0.10933943965733915)","(0.42858492610818677, 0.092474261190120671)","(0.97774294569617526, 0.043225155161097976)","(0.97440924060263678, 0.053075094105367489)","(0.83316733861298209, 0.096839733285515525)","(0.89556361898026093, 0.097447294395033746)","(0.72494321874413903, 0.098682886129064104)","(0.9661991343628894, 0.087016688172200637)","(0.97282770422004128, 0.12891371127252124)","(0.92107871880365144, 0.079094994172456023)","(1.1525720994500954, 0.059660652667317231)","(1.0273363227081418, 0.078472704410542077)","(0.86597296896530951, 0.081602248347403233)","(0.810708069463138, 0.1923991907332776)","(0.88216253836219682, 0.067441359499866474)","(1.0017777256877982, 0.054681687683248797)","(1.0881641325397162, 0.055887569596002523)","(0.87257173467172156, 0.076380299475240054)"
8,"(1.1565518534584944, 0.047098945009155596)","(1.0527205626775327, 0.04494038114278507)","(1.0203850292465275, 0.03561516151197873)","(1.1875459708074072, 0.048959261015144716)","(1.1437589280751481, 0.049655613229201298)","(1.0137276755262903, 0.054602077363188409)","(0.96503003537961829, 0.052485673968691547)","(0.95870557108529941, 0.046236538269874339)","(0.89808887166570006, 0.046805728159187342)","(0.89467056539635981, 0.062734668411471683)","(1.0106394675392583, 0.080384738040502404)","(0.86024912299504952, 0.072858939737444478)","(0.85155722512382037, 0.055075518248574998)","(0.88776625986920166, 0.052620058525492459)","(0.75329849714534247, 0.055470984410472081)","(0.9626767241819425, 0.05428651317719934)","(0.63671517761071339, 0.06554498698552691)","(0.77253293222215025, 0.058737036024878668)","(0.77204376655963747, 0.0619252500656855)","(0.92762046238227003, 0.095434328544407171)","(0.97092044242349251, 0.084086435427385642)","(0.92508107650355986, 0.076058616494782905)","(1.0103750843477093, 0.041415409490817547)","(0.88715604333842246, 0.042577744880467436)"
9,"(1.0804402625391338, 0.062959875871061194)","(1.1168710089845599, 0.065586536319468966)","(0.94271795484242715, 0.046124333675349273)","(0.98651050684791763, 0.062657808142447771)","(1.0792658167467519, 0.051757941786435717)","(0.96938973700844089, 0.064721910017158713)","(1.0264432080132024, 0.053681557986529072)","(1.0690499725014697, 0.042329573622777818)","(0.82864361114620688, 0.056342556295843296)","(1.0058776053820686, 0.12795979550488404)","(0.63603641455079685, 0.052533013440972151)","(0.96783090189051812, 0.11809399091217763)","(0.75972205005617688, 0.076829781144439155)","(0.776992370254461, 0.10948292108243111)","(0.94217320254935144, 0.073291814079516127)","(0.85921070363474605, 0.077879125629676527)","(0.75304325103436309, 0.070026339071832103)","(0.67016968601483506, 0.064053986812068406)","(0.84713434850620384, 0.049132819818600793)","(0.81750639839951955, 0.08031155559288651)","(0.89550600732034025, 0.077804180352971042)","(1.0844114660144648, 0.053562487697891896)","(1.0662036566182362, 0.04668468177256406)","(0.96948448970856815, 0.0460898274683176)"
