DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.40337742135851984, 0.0326463463728945)","(0.081349211721322867, 0.0012952723760024586)","(nan, nan)","(nan, nan)","(nan, nan)","(0.38986240238350789, 0.037908773969741613)","(0.4269325085625249, 0.012902146645440832)","(0.37827376697997145, 0.022353041277378152)","(0.33853192627869472, 0.032144756459440045)","(0.353357526840471, 0.0052288007685276717)","(0.33564891250220336, 0.0052197285165830601)","(0.41524597315139228, 0.013227326103646407)","(0.34910041079507043, 0.0039625336445139421)","(0.35516438440661263, 0.0017463743171508039)","(0.3405026043844161, 0.010316032480242206)","(0.1807850605826245, 0.0079221282978429522)","(0.32317454603313517, 0.011915157877726361)","(0.34960565835248048, 0.0053127944406183699)","(0.32775063968364743, 0.0076655860424308568)","(0.31919191919191942, 0.026094007418600372)","(0.34842204235140212, 0.0057299128517965172)","(0.35234721443498634, 0.0056310332500138427)","(0.54680381045024906, 0.010014021281129474)","(0.62195799439014732, 0.050105626596250383)"
1,"(0.41885024294137246, 0.031863571202274323)","(0.082611009071311386, 0.0014455209925461373)","(nan, nan)","(nan, nan)","(nan, nan)","(0.38924828647363285, 0.033121129593377846)","(0.42495345783637567, 0.01226847773979311)","(0.37684684948658537, 0.021609796476005357)","(0.33954522303900098, 0.031832310181652057)","(0.35327937394551923, 0.0052452701050623909)","(0.33516486983684396, 0.0052190635215939021)","(0.41610689132231243, 0.013351678692782212)","(0.35096002792808517, 0.0036934015850644103)","(0.35502232142857154, 0.0015908080381424833)","(0.3405975921790188, 0.010327881838660961)","(0.18051437226089209, 0.0078662204754572328)","(0.32326930480214006, 0.011959625743833587)","(0.35159847055677301, 0.0029205807193106066)","(0.1798742138364797, 0.031237304562628718)","(0.31278369615562801, 0.024659048480713229)","(0.34871083550913845, 0.005005672026954313)","(0.34601430084745743, 0.0048981281553521112)","(0.54551184403718433, 0.0098167355314496864)","(0.60797025780510883, 0.049984879785509924)"
2,"(0.42446094830160802, 0.020349542031040162)","(0.082101552284135446, 0.0013137937592145059)","(nan, nan)","(nan, nan)","(0.35621983596018386, 0.0090385021409947076)","(0.44666123902811333, 0.016608645115159734)","(0.44874530346240915, 0.015821164592894347)","(0.45593231963568531, 0.011403867261598619)","(0.46315246761962425, 0.010865738595291307)","(0.38003275244599044, 0.010505184041806649)","(0.36565473569419416, 0.0077830052751270869)","(0.45014507994376146, 0.013720540555135597)","(0.39318688859662826, 0.010399570302452367)","(0.35764516565988747, 0.003229378270472922)","(0.36047733123876469, 0.014358872831263076)","(0.39714606460722807, 0.018415993565732942)","(0.34751821212495321, 0.009713856334765035)","(0.35523873589412686, 0.0020885963625845126)","(0.35525116591057893, 0.0023161067173738262)","(0.35024785939612346, 0.019586146392076051)","(0.33746105396362835, 0.01055710374220784)","(0.54226045179856797, 0.0061515261544329153)","(0.44393659731776447, 0.021164542394310131)","(0.59033729022622017, 0.044645535329030601)"
3,"(0.42446094830160802, 0.020349542031040162)","(0.082101552284135446, 0.0013137937592145059)","(nan, nan)","(nan, nan)","(0.35621983596018381, 0.0090385021409947492)","(0.44662176997536729, 0.016571635568433572)","(0.44856877743259427, 0.015801783303377073)","(0.45593279185883551, 0.011421472604803579)","(0.46301081553665113, 0.010845212650877374)","(0.38019567865958476, 0.010516077649482309)","(0.36548418023174117, 0.0077731048008156311)","(0.45026126396538396, 0.013724176214510737)","(0.39309523668382246, 0.01039271448850944)","(0.35770187884894555, 0.0032332550506447028)","(0.36040466680295108, 0.014356093133975914)","(0.39711931485554025, 0.018421572919482505)","(0.34744742427165703, 0.009687095936931088)","(0.35523324455671146, 0.0020994171367347682)","(0.35527635454343287, 0.002312118141374212)","(0.34992520673985977, 0.01958431919618369)","(0.3390272949970472, 0.010513523891967797)","(0.54509408226704692, 0.0062786457809987503)","(0.44365454026606793, 0.021131661105429831)","(0.59319248690350934, 0.045079920804003568)"
4,"(0.42446094830160791, 0.020349542031040189)","(0.082101552284135446, 0.0013137937592145211)","(nan, nan)","(nan, nan)","(0.35621983596018364, 0.0090385021409948307)","(0.44662176997536734, 0.016571635568433576)","(0.44856877743259416, 0.01580178330337715)","(0.45593279185883556, 0.011421472604803581)","(0.46301081553665108, 0.010845212650877612)","(0.38019567865958476, 0.010516077649482224)","(0.36548418023174123, 0.0077731048008155817)","(0.45026126396538396, 0.013724176214510646)","(0.3930952366838224, 0.010392714488509439)","(0.35770187884894539, 0.0032332550506447015)","(0.36040466680295119, 0.014356093133975886)","(0.3971193148555402, 0.018421572919482519)","(0.34744742427165703, 0.0096870959369310516)","(0.3552332445567114, 0.0020994171367351199)","(0.35527635454343293, 0.0023121181413740519)","(0.34992520673985966, 0.019584319196183718)","(0.3390272949970472, 0.010513523891967797)","(0.5450940822670467, 0.0062786457809988882)","(0.44365454026606793, 0.021131661105429772)","(0.59319248690350945, 0.045079920804003533)"
5,"(0.42446094830160813, 0.020349542031040075)","(0.082101552284135473, 0.0013137937592145213)","(nan, nan)","(nan, nan)","(0.35621983596018442, 0.0090385021409942895)","(0.44840203312717702, 0.013804030635451776)","(0.45291644871865333, 0.013978150681462059)","(0.45596636473459806, 0.011420282501508162)","(0.46329962278237302, 0.010855383820900098)","(0.38021317349415823, 0.010486121909070584)","(0.36744943993025941, 0.007395667467810973)","(0.44995717985065076, 0.013712772873373745)","(0.39297656045468765, 0.010356518948122628)","(0.357672068564798, 0.0032333830748196954)","(0.36050808806500328, 0.014354040558496565)","(0.39715943948307209, 0.018411275591305967)","(0.34744742427165715, 0.0096870959369309752)","(0.35528284626118362, 0.0020197450479121247)","(0.35521009661857672, 0.0022948300382826426)","(0.35245809268911055, 0.0087166697687600953)","(0.33668540020350168, 0.010045328010977329)","(0.54347256180572656, 0.0062588574262367946)","(0.43890348408058139, 0.020745248307076837)","(0.59934300022045683, 0.04473896343965543)"
6,"(0.41784994161967948, 0.022300604496259233)","(0.076837021453430868, 0.0015251857988402792)","(nan, nan)","(nan, nan)","(0.76503225806451547, 4.1351671054500323e-09)","(0.35674904726985363, 0.014157014957219518)","(0.42871690896381981, 0.011078412479816361)","(0.37455635220519778, 0.026190150425270786)","(0.35992809606935944, 0.024838083673092769)","(0.39256138678928953, 0.010876981728711006)","(0.34431059854140583, 0.0031246497539520138)","(0.42489628591450601, 0.0097494741579146893)","(0.45098365993796347, 0.01382025132235791)","(0.38625791113203611, 0.01559726040181161)","(0.40477302783878438, 0.012411273476531239)","(0.40739356403293497, 0.01249464893237289)","(0.35377717969529837, 0.0050091319575027203)","(0.35765230065922388, 0.0057936591997198193)","(0.36547047633445473, 0.0041872561728518243)","(0.35122724402820094, 0.0030248654135911859)","(0.35665587497991053, 0.09038006091124591)","(0.4587867680661506, 0.029189798622786679)","(0.45688675011000834, 0.02645202840553483)","(0.60193297174526972, 0.041013624181349975)"
7,"(0.43613029927921876, 0.013195571118646582)","(0.082487569777597386, 0.00063250985262079153)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(0.30206896551724116, 2.3090557713616396e-09)","(0.30206896551724116, 2.3090557713616396e-09)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
8,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(0.41901932743234233, 0.025878932866611543)","(0.39976213091764451, 0.02466869002059046)","(0.16569787670957328, 0.023450582027609034)","(0.31255416508797668, 0.03422498472264035)","(0.4130487685418413, 0.040346749156068541)","(0.36191674470186291, 0.0023082672724372929)","(0.42966405170344957, 0.0035199110632106729)","(0.35653357531760455, 0.0017192499164459644)","(0.35340369047228859, 0.0017970056885884445)","(0.34675214787815656, 0.0028719289252680598)","(0.3156930961712392, 0.013291150455917661)","(0.18364891518737664, 0.0068137379352170716)","(0.33919497191762515, 0.013849733821885068)","(0.35341274951706358, 0.0023697736642926156)","(0.34791528788881604, 0.0086447381731090747)","(0.54638200842946316, 0.0046013765500789944)","(0.14216743374656668, 0.021518822610758853)","(0.55063931936985089, 0.0056362561496729304)","(0.2306200277476721, 0.040295644144068381)"
9,"(0.41372184427582853, 0.017120947975213106)","(0.082203240036516301, 0.0013828254414799245)","(nan, nan)","(nan, nan)","(0.37995729395771405, 0.0093202943024615556)","(0.4341092721104608, 0.019040326782965231)","(0.44616915499711485, 0.016818091570719448)","(0.45321572032996604, 0.010864628241152125)","(0.46940646186579277, 0.010804598450858748)","(0.38264791673452098, 0.011292642164583687)","(0.36582770953700017, 0.0074187801230944372)","(0.45201994503555887, 0.010916366305161936)","(0.39362736157202988, 0.010539133827431463)","(0.36032585188435923, 0.0037142206667471287)","(0.360520004766403, 0.01437928871479293)","(0.39743138443162151, 0.018386788830819581)","(0.36152404416599238, 0.0073887721588724951)","(0.35529256189286873, 0.0019549629072077791)","(0.35400863132924759, 0.0020144392672812742)","(0.35287038605460513, 0.0034135933797032449)","(0.33946621884458139, 0.0071532900160262399)","(0.54473543633560584, 0.0064352016892011326)","(0.4299057205560593, 0.021024198759561939)","(0.61316711074253782, 0.043214667803290939)"
