DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.2457200608635193, 0.037203738629114733)","(0.93448758456801151, 0.074643278404647573)","(1.0203486761105705, 0.09794669988605606)","(1.2040910110707979, 0.081038448338181482)","(1.131216071337404, 0.074528248514749054)","(1.0807483004449492, 0.10529239775807263)","(1.0935517582652174, 0.1241966268363401)","(0.75029985264376653, 0.079210517342194628)","(1.1554752469175578, 0.074996597346126959)","(0.8851983044063465, 0.12345264940379752)","(1.0390973416048255, 0.13147591232310721)","(1.1129512359550542, 0.076750859278428188)","(1.4218749328477442, 0.1257765218985967)","(1.2673249736247236, 0.26578403706817666)","(0.73050000734472753, 0.084754437192399792)","(0.95256066841332077, 0.093577167853084217)","(1.0776392748611243, 0.11241969372170546)","(1.0618717316233632, 0.10012714780160045)","(0.87353851303292473, 0.1972612961910708)","(0.7768601146969587, 0.10931978724888358)","(0.84199383486732804, 0.13998985674960296)","(0.9140467881470743, 0.11875999796195741)","(0.80135030289098341, 0.1274656740007884)","(1.2494577965308098, 0.10145899437064237)"
1,"(1.2460506881798998, 0.038106052276782577)","(0.94075359830509786, 0.073079800426085639)","(0.99101826739016441, 0.098012935454313985)","(1.2083079116801754, 0.090015445101811434)","(1.1238003844860467, 0.092828383537464226)","(1.1049387015029157, 0.093699609544512355)","(1.091535928458204, 0.11442444307811715)","(0.77260328053385241, 0.0810336614008908)","(1.1488179188237202, 0.079304620200982501)","(1.0061038980854646, 0.078103319360340415)","(1.0111488509158444, 0.13119520907337287)","(1.1096765476253925, 0.076046835357147624)","(1.4556680848700412, 0.18788728220313608)","(1.1823557986670394, 0.20191723740520789)","(0.73197671116160534, 0.089019438769842835)","(0.92795510406427995, 0.096883357344675639)","(1.1366321056981923, 0.089880769006374983)","(0.96004527880084556, 0.097027750938695367)","(0.81341897630754334, 0.22051410463071863)","(0.66048447222330231, 0.090851475142204263)","(0.77800785382001081, 0.14955933255876114)","(0.8408645799422747, 0.11370437557871367)","(0.80267137630754826, 0.12830248636958788)","(1.1788198721997234, 0.10895070988006578)"
2,"(1.2460506881798998, 0.038106052276782577)","(0.94075359830509786, 0.073079800426085639)","(0.9910182673901643, 0.098012935454313999)","(1.2083079116801754, 0.090015445101811434)","(1.1238003844860465, 0.092828383537464226)","(1.1049387015029153, 0.093699609544512383)","(1.091535928458204, 0.11442444307811715)","(0.7726032805338523, 0.081033661400890841)","(1.1488179188237202, 0.079304620200982626)","(1.0061038980854646, 0.078103319360340415)","(1.0111488509158444, 0.13119520907337287)","(1.1096765476253927, 0.076046835357147569)","(1.455668084870041, 0.18788728220313608)","(1.1823557986670394, 0.20191723740520789)","(0.73197671116160534, 0.089019438769842793)","(0.92795510406427995, 0.09688335734467568)","(1.1366321056981925, 0.089880769006374886)","(0.96004527880084589, 0.097027750938695381)","(0.81341897630754334, 0.22051410463071866)","(0.66048447222330242, 0.090851475142204263)","(0.77800785382001081, 0.14955933255876114)","(0.84086457994227459, 0.1137043755787137)","(0.80267137630754803, 0.12830248636958794)","(1.1788198721997234, 0.10895070988006578)"
3,"(1.2480762933076823, 0.038651750616466238)","(0.89601082216492889, 0.078321167409858505)","(1.0008040073345368, 0.095130087179606651)","(1.21017953885987, 0.10332888557384459)","(1.2894045656924884, 0.12297054310033022)","(1.0642929852983227, 0.10247483883738684)","(1.0638146898790062, 0.11545534923249619)","(0.77009300835229821, 0.080766558348580389)","(1.1790393328949724, 0.073454513936669977)","(1.0165071030810187, 0.080617400425946825)","(1.0153537873474048, 0.13516993082029108)","(0.8513579074015647, 0.10362018598694353)","(1.4070898110070345, 0.17321311844374493)","(1.1656684108960045, 0.20946007873735825)","(0.71731415290709577, 0.091222853324026743)","(1.0162242994670776, 0.14630152968112295)","(1.0346000534648172, 0.093984706007002414)","(0.97187693169486233, 0.098043748250168331)","(0.96540664877950966, 0.2302411687771842)","(0.63035493684974397, 0.090336168389543989)","(0.86855548682512251, 0.14922443045087397)","(0.7088754253452384, 0.10453172279126893)","(0.80602771506191628, 0.13556282935904468)","(1.1707649109558895, 0.1093351742334966)"
4,"(1.2484496467202164, 0.038738510460600367)","(0.91057536927850646, 0.07773192029107226)","(0.99774772497471953, 0.095343236191074543)","(1.2205699551062779, 0.1003026438177906)","(1.3349594017779682, 0.11937433549533803)","(1.0814505478353544, 0.10859680007563967)","(1.0544334994790876, 0.066012871225475292)","(1.09494508880841, 0.093514192485018688)","(1.1803947705210827, 0.091617633152170239)","(0.92867663387016086, 0.082856009918366252)","(0.90100792976934008, 0.1640304992875104)","(0.84750344012164003, 0.10328028850275493)","(1.3915595203233688, 0.18905502369687011)","(1.0783870710041423, 0.213551292569128)","(0.70810517059222944, 0.08635790494030289)","(1.0637965134757807, 0.10779156920809026)","(0.87515833969821211, 0.094440498882301466)","(1.0297329033235512, 0.096483744001289798)","(1.0349987811328367, 0.24179630117464029)","(0.65414565814197256, 0.10380851066596428)","(0.86262504588598432, 0.13797097560142374)","(0.6905297030920956, 0.10457034826853544)","(0.80502082153544552, 0.13623595883704168)","(1.1572243388932597, 0.10361329295394651)"
5,"(0.98270055653769961, 0.051039210689558759)","(1.0470028597862362, 0.19941611226590122)","(0.50955358412436369, 0.059586179826097652)","(1.2221964477182701, 0.081949628255431173)","(1.1415252968673606, 0.068758555317003617)","(1.1598547820130487, 0.075807674189595053)","(1.1297199111107776, 0.088747251751917236)","(0.7751499756491308, 0.068900854384540244)","(1.0705953787079243, 0.07498072825978068)","(1.0901167451246567, 0.21752168066750593)","(0.9978341740779556, 0.2382439870792801)","(1.0977530084729177, 0.14390935319582604)","(0.95155559544149004, 0.054522313077584067)","(1.1930131711906999, 0.085430640706486802)","(1.0033010890948848, 0.10970859752608046)","(1.0995952047950555, 0.093858570232706634)","(1.0994136349041834, 0.098723222722476939)","(1.0174154808219606, 0.083565422426408228)","(1.1817457273512786, 0.085559342626538415)","(0.90328672703691959, 0.10288608784434243)","(0.79730779534802954, 0.076072669233081924)","(1.0823778367679899, 0.068857370369643511)","(0.83269351598416075, 0.089607995548056846)","(1.0773621587803746, 0.04639723194179509)"
6,"(0.92281507739144297, 0.054580502967682631)","(1.0216316020923533, 0.17857495998504203)","(0.51610704709737787, 0.059171449672481766)","(1.19391641154397, 0.07505932033583218)","(1.10377644602067, 0.057461560544527064)","(1.0799727669819852, 0.0668382683344977)","(1.1118282312120724, 0.086790057105106372)","(0.77204013925208126, 0.079764689475851441)","(1.0753421671543426, 0.078361949784776772)","(1.080162547174585, 0.1809881874168717)","(0.98538257327021339, 0.18288708451292615)","(1.0383646849639414, 0.12328931430996466)","(0.94981307617514354, 0.053252751740058633)","(1.1733564467960966, 0.072296078381518747)","(0.98696759199637918, 0.10467731496870489)","(1.0635049814715283, 0.092353016194993809)","(1.1719566579625111, 0.10846951552400801)","(1.030921247187176, 0.085823622338867853)","(1.0163571229422419, 0.080014037380103112)","(0.97923505990156634, 0.086501479827430616)","(0.82377365969630711, 0.070325620216516019)","(1.160663138826296, 0.066816694415372205)","(0.94320896695456979, 0.085700928285574476)","(1.0937898903425587, 0.050543967496219762)"
7,"(1.2447541507443691, 0.038227362488808696)","(0.9285186342446673, 0.074324384755656822)","(0.99163052404459961, 0.096469188993382041)","(1.2206081735981409, 0.088082965392798279)","(1.118332502492517, 0.095142006042620214)","(1.1037109985980968, 0.09483191244960068)","(1.0845381200570836, 0.11414963207885086)","(0.76974334910646547, 0.08077439336958453)","(1.1505515784706297, 0.073184838812136929)","(1.0086754786920518, 0.079014125683621997)","(1.0114590035152808, 0.13141557229583875)","(0.85513712979541501, 0.10481860735985743)","(1.4057215307886861, 0.1733145991261828)","(1.1792853428484524, 0.20373048417425293)","(0.72334772453791463, 0.089158007618681825)","(1.0284795395548894, 0.1425073103057167)","(1.1386916348461493, 0.089448679904664999)","(0.96314724238119442, 0.09739402780905726)","(0.94073581801562456, 0.23187239516144478)","(0.6327334342430051, 0.08910504370977268)","(0.76109026625803877, 0.14817522797202187)","(0.74532166504837138, 0.10345550489406442)","(0.80539553923709017, 0.13555062884821389)","(1.1647633342278045, 0.10858220713912768)"
8,"(1.2448453831698925, 0.038395863338235921)","(0.92678448665028135, 0.073557188727508785)","(0.99257120643287344, 0.096354604157256885)","(1.2234892734170164, 0.085377862496232027)","(1.1185370491099931, 0.098238516572723603)","(1.1177416551772112, 0.096639138166450061)","(1.0933008452448614, 0.11417096270338484)","(0.77274503203866696, 0.080485461114849555)","(1.1518361384566522, 0.072977949450843876)","(1.0053562227879149, 0.079741876866374711)","(1.0146125792632661, 0.1323584436372609)","(1.1094955994401363, 0.075603058005529897)","(1.4560171152963426, 0.188079749736656)","(1.1823777886582436, 0.20177878316378695)","(0.72000912891129509, 0.08949529097175761)","(1.0316482019883053, 0.1434942170678)","(1.0317678678178384, 0.093588520587639529)","(0.95410475437365105, 0.097644880797720102)","(0.9299013857042967, 0.22960977153644527)","(0.63331743002192131, 0.08888045635054112)","(0.78730056383992109, 0.14576539380567727)","(0.76196030478465882, 0.10399098109610551)","(0.80362340838571644, 0.13502509049930522)","(1.186511416686457, 0.10805411311687277)"
9,"(1.0011533574960756, 0.042566728834330381)","(1.0957585814892727, 0.18398216596571931)","(0.45893282241490008, 0.050063302052030509)","(1.1907908651623489, 0.064433741877633302)","(1.1660874652791569, 0.071278957509777308)","(1.1262019708762077, 0.079540223672395813)","(1.2140504513134738, 0.098874216261358394)","(0.741071218114709, 0.062307602921293351)","(1.0531175107528974, 0.08071545395611579)","(1.022783441748343, 0.26510304565172144)","(0.95250117066768691, 0.29822933123929657)","(1.1180021064970467, 0.18234372847354499)","(0.92473129021031264, 0.047059368878145658)","(1.1255610751791341, 0.11151567661421212)","(0.91315038822582129, 0.092810970158086745)","(1.0914464682754563, 0.10124723386016063)","(1.0965630487040852, 0.096432457088203249)","(0.9599002834164958, 0.096943795271733468)","(1.1894474895190974, 0.084650307568215455)","(0.82290892070830168, 0.085602959193516445)","(0.66341730923479636, 0.13067850828110752)","(1.0418075732219718, 0.08231234932054167)","(0.91775591287140634, 0.088408791352190069)","(1.0380804316145875, 0.059106223928707846)"
