DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.50780948352352873, 0.016919153491159716)","(0.51904387047392919, 0.019101540579119558)","(0.46096493122318299, 0.020153025912125398)","(0.58187814678543748, 0.024106208134264773)","(0.48078978387135496, 0.015917774982155495)","(0.45266091512005557, 0.018156641486819634)","(0.51822514565296696, 0.026958458983219587)","(0.50483878204820087, 0.020807045956229196)","(0.5368900768028998, 0.014653499442991611)","(0.51083635755776835, 0.032099255609788116)","(0.4362565152202646, 0.026065783688106095)","(0.49291240911137602, 0.012795868846519762)","(0.47149323872131782, 0.017446247489769556)","(0.47587879006046596, 0.0092110277754734043)","(0.48249662498443496, 0.010724315698984108)","(0.49360894144316458, 0.014553436442709523)","(0.46863579441451836, 0.014538817586053732)","(0.48698383168054915, 0.016812833486990936)","(0.51325583512008621, 0.02003276646650393)","(0.53506090315562937, 0.0098342516145266661)","(0.51487589809392509, 0.026907010229755269)","(0.56004922628322318, 0.039345170974499667)","(0.42058895030709631, 0.017462830140050286)","(0.44661785844894042, 0.0085176202442380465)"
1,"(0.48211613056960478, 0.015026928785396739)","(0.51011256305253361, 0.01930285185667098)","(0.45426020631774527, 0.017514678646541437)","(0.56781472172621295, 0.023357757286162576)","(0.47105863122854086, 0.015918228024839137)","(0.44861355525527158, 0.018765624851956989)","(0.50237066168302824, 0.027423070200283159)","(0.49567061031975124, 0.020943051037457583)","(0.56004922413503244, 0.014619413673678914)","(0.48788547894113204, 0.045028428564530862)","(0.45735089969848342, 0.027776822960926522)","(0.49668287504877939, 0.013058516891522834)","(0.47186346829968778, 0.01579784985086834)","(0.46471923062040299, 0.005595338282692609)","(0.48266209619103101, 0.011097457639011141)","(0.45569093028784768, 0.014530275195229593)","(0.4569616145575715, 0.012945967027494688)","(0.49658362411081236, 0.014117014969392182)","(0.48161685165419588, 0.016857249413854993)","(0.54043376087379957, 0.01644271733597491)","(0.49445530330878207, 0.023574686655578513)","(0.56085674735546265, 0.038300407147005229)","(0.41227989487977035, 0.019390565178257525)","(0.43834281060090358, 0.006708003705446536)"
2,"(0.47325480073938581, 0.014332580187867471)","(0.49730876305441513, 0.02607824563267843)","(0.42438082282239786, 0.0066735810221221561)","(0.55014978779211765, 0.012433315289975442)","(0.42176067606760664, 0.0084357525802154186)","(0.42726245043766009, 0.011873113673165861)","(0.54914873926723362, 0.024736878736064845)","(0.46558174401087504, 0.01789833294120579)","(0.52578485343109138, 0.016053954538575829)","(0.45316424163928193, 0.052413180286383525)","(0.44413476068962332, 0.026422681557595844)","(0.49356093393131251, 0.013803584704991661)","(0.4653025838469112, 0.014140806452220881)","(0.45601477338067781, 0.0059400497041307712)","(0.48656135464913031, 0.012697634905943464)","(0.44420335022468449, 0.010931297377009225)","(0.47369091856254086, 0.0158191216342034)","(0.48387093313231605, 0.014118259115035142)","(0.4760173021749014, 0.01623487885556776)","(0.47365293840760719, 0.021956906011017713)","(0.48278467782325712, 0.021278016932556033)","(0.46787806711275443, 0.03710351594485891)","(0.45288247799558601, 0.016413886516903637)","(0.42983609812844426, 0.0051475277459012781)"
3,"(0.47436953451310049, 0.014285371729893359)","(0.49850718137275302, 0.025856528402344967)","(0.43468880319473219, 0.0078181010799307712)","(0.55076043669027108, 0.012386161209513353)","(0.42907850649301787, 0.0091124407157042141)","(0.42768618536506003, 0.010247597944245176)","(0.55807925415081272, 0.023119189290318944)","(0.47922753722283468, 0.016728502979374053)","(0.52653795478098531, 0.015762163195576724)","(0.47928961118349828, 0.047788287031006585)","(0.44737428889280445, 0.029746728403653295)","(0.49545303224701293, 0.01417599965015166)","(0.46866131791907506, 0.014522351551161607)","(0.45693899324966764, 0.0060810567845214275)","(0.48102058729303521, 0.011996929414857326)","(0.44288800782958404, 0.011022410499622831)","(0.47557110574409928, 0.012717976266480861)","(0.47884601243059977, 0.013469100007854883)","(0.47568058167348087, 0.01637446662462945)","(0.48257106166813302, 0.021229321677552083)","(0.49913655204592172, 0.0247609350752773)","(0.46513896710318431, 0.035129663234617678)","(0.44379226004644839, 0.019773473762993751)","(0.42942916083534799, 0.0051658060064877524)"
4,"(0.45018796621206403, 0.0098312176581917005)","(0.4699744923229322, 0.023629365521775036)","(0.4415899562774811, 0.0087378313307884762)","(0.4670612654545454, 0.0066020384716256016)","(0.41541893901940297, 0.0069362760957045076)","(0.43229719400781569, 0.0086208323483185807)","(0.54522118538745035, 0.027210983866537017)","(0.44195641287647669, 0.015730557970065881)","(0.51476512639325078, 0.014778967646106126)","(0.47220106855490646, 0.024588931321791907)","(0.50920678175719181, 0.015755782300505138)","(0.49158045507584608, 0.013468296465745771)","(0.44097469686587654, 0.0089833376305272165)","(0.45121505620971142, 0.0044006197180914237)","(0.47872376239255682, 0.012433425506499131)","(0.43920724784148391, 0.010156750374043934)","(0.46881605106988389, 0.0098721408189575578)","(0.47860790193229319, 0.015085659697073279)","(0.47689996878744234, 0.016960325963741339)","(0.5151980315329483, 0.020498629239690862)","(0.50133954717235873, 0.021524762343692373)","(0.47518383752680321, 0.028952306594987744)","(0.43984361250080473, 0.0075461919421592688)","(0.42467248950754316, 0.0045778878128037029)"
5,"(0.44126340671747094, 0.006280023075517744)","(0.43897625728716899, 0.022525612835739676)","(0.44471981980736863, 0.0085059989633565376)","(0.43892537426103212, 0.0061513692808754178)","(0.44373470515094482, 0.019467665852152816)","(0.43492024994839634, 0.011212239757659663)","(0.47638991037631595, 0.025803867605399378)","(0.43129896619334079, 0.015153104591397348)","(0.48770933723222648, 0.0082310492253358063)","(0.47604807269432148, 0.012737977330783464)","(0.49914719636379529, 0.011947332271300492)","(0.48314059653225028, 0.017953358254164838)","(0.45010915728381456, 0.011304510778667761)","(0.44756565518064184, 0.0092901201725462297)","(0.46397672213987451, 0.012028609891614637)","(0.46029830958705614, 0.011084456359202214)","(0.46539888622512543, 0.027568519641651745)","(0.46660267087862889, 0.016280385957320891)","(0.47955892615457513, 0.016461056564462596)","(0.46536475724845339, 0.021681196038530543)","(0.48960054966884076, 0.028820542479176359)","(0.45334278988740395, 0.024591104822569421)","(0.42580504503326061, 0.014518161731388141)","(0.43562601778711996, 0.0067223366788956001)"
6,"(0.4409024133081676, 0.0047484837042837229)","(0.44131913299737802, 0.0060454916384873793)","(0.44392232216922412, 0.0057368407904754594)","(0.44477264496170804, 0.0065616478734110062)","(0.45538978115695405, 0.020609297716347914)","(0.43705201748984834, 0.01109745618085228)","(0.45354113577178434, 0.021896648383607664)","(0.43270897169008854, 0.014658252909484668)","(0.45555393710169961, 0.0097681438961251133)","(0.45372874784589556, 0.012447370018010618)","(0.4826733171529819, 0.010674527693035932)","(0.44573555128270009, 0.01319432249095802)","(0.4471881504836952, 0.0096955766005587165)","(0.43291084188478829, 0.010490593695629354)","(0.43435007943295112, 0.0092161179032834821)","(0.44084465430763342, 0.0083028730804445474)","(0.46631179817450319, 0.028770342909078858)","(0.4308109429095755, 0.014121664479608198)","(0.45412126608023134, 0.010746887482570381)","(0.42193112958897849, 0.018956282119788552)","(0.46953922311580581, 0.017991030182180911)","(0.48341786692777228, 0.023693128456898208)","(0.42517186924911721, 0.0088192290385995971)","(0.44698423104525081, 0.012030319035450101)"
7,"(0.47528651226334767, 0.010692723390814085)","(0.46554102398664737, 0.026901035849671639)","(0.51131321482706349, 0.028071989284157776)","(0.56589837742967697, 0.016241491158709851)","(0.45281151603099418, 0.020117492015575146)","(0.44516832653510396, 0.014887678633467918)","(0.49264765808187266, 0.028050973913027768)","(0.49870539772114991, 0.020750602532226475)","(0.52876444482514329, 0.014282468546571217)","(0.4640514645177955, 0.043551875895022747)","(0.42176370240987182, 0.031276515140996379)","(0.48328545728661243, 0.015505665433193212)","(0.46677401875837737, 0.014198174983502452)","(0.45212374171141378, 0.0082501445002887679)","(0.51268959420022953, 0.015484456945870176)","(0.44263533035044572, 0.011642134754261691)","(0.47061813530227564, 0.014849604749112268)","(0.50762576783045077, 0.014718417432123172)","(0.49083804774367662, 0.018146273099248888)","(0.55405616147860115, 0.016376564763737816)","(0.5203329010373684, 0.019365904214913368)","(0.45276007514696076, 0.020195671254501911)","(0.41155103833214657, 0.013325699699273429)","(0.42327171427668242, 0.0049485791939701653)"
8,"(0.40652341210066034, 0.021262502707289788)","(0.44348774605143487, 0.020803143532979688)","(0.19145628218062133, 0.053098430745366236)","(0.45823567264689036, 0.019252268309764967)","(0.65588857122209876, 0.033154147585795213)","(0.47212584316676143, 0.017374349416621387)","(0.36414565555523598, 0.022707144939684957)","(0.49217907028016, 0.023786312047778358)","(0.40260725982371881, 0.022419203077344404)","(0.38757286660378887, 0.018935012432164729)","(0.39393591973926567, 0.023095009988198679)","(0.38259414009167614, 0.025168899059745706)","(0.47605456980506888, 0.017868925855128854)","(0.48702581673817336, 0.021726317418488364)","(0.45138637696401529, 0.017777235570951674)","(0.40689900796600925, 0.014570069368505172)","(0.5270270622639992, 0.013579546808830025)","(0.50802391805692038, 0.023146615511471083)","(0.50767757383828716, 0.021065934533808707)","(0.50941274218054955, 0.014934785490604771)","(0.56779475944850155, 0.017663326878588372)","(0.48135009896354553, 0.022413290253535598)","(0.39196717275508691, 0.0076338318424416587)","(0.45549469959025496, 0.016870999826705993)"
9,"(0.43529254126518568, 0.02653518525019816)","(0.39197121467024676, 0.02164966357227684)","(0.43300581597172821, 0.071765174585217736)","(0.50491904738570159, 0.075339147794922581)","(0.55166288714272604, 0.044071598636931525)","(0.43641895974798223, 0.015362616342870656)","(0.33458840967347908, 0.011549118525312164)","(0.43647430630462791, 0.019883505124499923)","(0.40980240269126766, 0.015526505502211532)","(0.40043033826842428, 0.015785485111296575)","(0.4024226212753636, 0.022686819545006856)","(0.41957310316738894, 0.029071527117988015)","(0.50388459574664402, 0.018932609654117732)","(0.51699847063676829, 0.033498449224468693)","(0.49369397959522149, 0.021794100016218808)","(0.49972095563346103, 0.019892212385979706)","(0.48556845434640811, 0.017392541833411566)","(0.55042509827312114, 0.024303734951117085)","(0.53623232651566322, 0.026453085375287344)","(0.45513914021416668, 0.023130700700100891)","(0.47288868636633313, 0.014818642317098249)","(0.44130364002141154, 0.013501350689560085)","(0.40749530045815718, 0.016365117847419213)","(0.40969939263647642, 0.020358287314850343)"
