DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.83694483074329518, 0.020095286058994077)","(1.0439223433662426, 0.024136343550479888)","(1.0771193116000277, 0.015878362885349641)","(1.0109038740984848, 0.019755891219245283)","(1.0669293468248033, 0.016360980454556563)","(1.0565729128676655, 0.020398052882240877)","(1.0591983600537431, 0.036388861987416352)","(1.0733667173904715, 0.028660929704725894)","(1.0398787750950074, 0.016171043878849042)","(0.90085419005175293, 0.039931019717626068)","(1.019825814981594, 0.032625304681543933)","(1.0576057836204087, 0.10533644109261252)","(1.0260434683894466, 0.08637319214795669)","(0.95077456224193735, 0.13412371126862024)","(1.0896279634642136, 0.053475648901242803)","(0.99945592879296319, 0.032327664348280528)","(1.0738493297288447, 0.033431713730506477)","(1.0528489168613706, 0.024248539640708038)","(0.98100037676195562, 0.040424374912834099)","(0.96006158970623712, 0.053675236112665448)","(0.93390616605087529, 0.048512100939583476)","(1.0394504441599499, 0.038685986102582726)","(1.0252575607373904, 0.028408298914569186)","(1.0473704016972731, 0.025576249550887064)"
1,"(0.84210214506213643, 0.020611587714465047)","(1.0597387219199972, 0.023585655825151812)","(1.0776202119330502, 0.015078669367813229)","(1.0380862430180986, 0.025288177002078586)","(1.0490164390945611, 0.022931120424825847)","(1.0538985697322683, 0.022986529621643187)","(1.0754626180604707, 0.035465754979679916)","(1.0172537531079393, 0.03230143272237105)","(1.0285659078408518, 0.037340332823487428)","(0.97408128966484364, 0.040871035444250609)","(1.0090726731185107, 0.038039688566866577)","(1.0407430791400274, 0.090179929728474273)","(0.90112626632568871, 0.080609229892769876)","(0.84769864727809674, 0.11105738247140189)","(1.0346406034125177, 0.058438625660091247)","(0.95333731669704846, 0.036723667356135803)","(1.0968838896900068, 0.045049228734148725)","(1.0339884469491873, 0.021020380490455522)","(0.90670165050941154, 0.0388160476800265)","(0.92468782758387591, 0.062566921524671873)","(0.91152720145545618, 0.053813605882091858)","(0.99776684197176302, 0.03386048689665578)","(1.0433685962412032, 0.031914303519126185)","(1.0569962552553933, 0.026178007264814122)"
2,"(1.0485445117210088, 0.033280256303815411)","(1.0801571465643038, 0.020697376975350956)","(1.0724305821948181, 0.0142450457767494)","(1.0241752856520328, 0.023270286877027237)","(1.1000569174175387, 0.021409768158253049)","(1.0307388299240219, 0.02284444183015152)","(1.0115755307250975, 0.05179304964121495)","(0.97057804071759335, 0.028072379145780056)","(1.0716879937943862, 0.05002523467254117)","(0.97520417375025725, 0.038266013018036407)","(0.92207698780875713, 0.048135758949149864)","(0.94162403821124196, 0.073142681000400986)","(0.94011436391567782, 0.088629585544900566)","(0.82459719271085907, 0.1364409173742232)","(1.0799455755321434, 0.058335096397069401)","(1.1403649781290046, 0.044671452580603017)","(0.95528670018812067, 0.059930324988591459)","(1.0549691255177673, 0.027461511953764679)","(0.90234650655821458, 0.038636107805281164)","(0.92605629453466065, 0.042232670411969299)","(1.0255357985275704, 0.040597393635475557)","(0.967958791217297, 0.035600481535227463)","(1.0674516576471873, 0.020147878879105251)","(1.0564220154568857, 0.029165781373894813)"
3,"(0.83211456688496976, 0.019026792970732946)","(1.0415324318784835, 0.021101547787109182)","(1.0850936146851173, 0.02078333088567241)","(1.0155262579297335, 0.020550474567136219)","(1.0646658332737426, 0.016483043629366027)","(1.0755428447822151, 0.021122618150221335)","(1.0668757901235915, 0.03871888813719742)","(1.071959877124151, 0.028547468446955538)","(1.0324850905102212, 0.018251409994083825)","(0.91848177138477427, 0.037225501991104096)","(1.0030530962094797, 0.032353961843868469)","(1.0507299160768768, 0.058998174265423177)","(1.0402169364618128, 0.050084825330960564)","(0.98501489026008116, 0.084305780711281239)","(1.1192457646982521, 0.090503138498062019)","(0.99783509742794863, 0.031705603558939158)","(1.0683233910712362, 0.034950972279414912)","(1.0493601297849811, 0.026061820845863008)","(1.0019703905271307, 0.038768050797951363)","(0.92189030471651101, 0.054426847509424427)","(0.91645335676984307, 0.058430164056513967)","(1.0256947777607359, 0.038309036360811836)","(0.99704575188459432, 0.031996021148632613)","(1.0522113988261144, 0.023355960718632478)"
4,"(0.83503779252729715, 0.019632640820892232)","(1.0405900533900236, 0.02106206020116792)","(1.0887027056983534, 0.019598016374856028)","(1.0160287014507678, 0.020591844840990008)","(1.063779148436568, 0.016261076675173985)","(1.076184244047979, 0.020805742259877059)","(1.0735443249332206, 0.034819393322138563)","(1.0786004933066604, 0.028661758578946261)","(1.0345798114799403, 0.017107631806162791)","(0.91837773461493377, 0.037399767500996613)","(1.0131012272919673, 0.032144363849194606)","(1.0520061055627259, 0.058627398402005232)","(1.0404364344708323, 0.050041295328626598)","(0.98623661248827299, 0.0840723261253878)","(1.1161723978660216, 0.090283632788494592)","(0.99540596863179331, 0.031895232032310365)","(1.0684071643410802, 0.035059085231438934)","(1.0530208180336025, 0.024774941098562559)","(0.9793412705772484, 0.040219178127606232)","(0.92079026598794522, 0.054817620095255551)","(0.93211191273784733, 0.051142904681665026)","(1.0200571786898986, 0.03926757957683577)","(0.99867960045649673, 0.031898155959154968)","(1.0546782357030291, 0.023887162391913946)"
5,"(0.83738564162428675, 0.019970883721264876)","(1.0455818330023361, 0.022559111703740947)","(1.079872010503462, 0.01684090609450813)","(0.99579515468951418, 0.025017863453398889)","(1.0621888176569743, 0.016980043447691232)","(1.052780401146836, 0.021013331159451958)","(1.0469257724675842, 0.040056310816535746)","(1.0589047099394491, 0.029398488692910115)","(1.0409545644704379, 0.016012934287024411)","(0.90933826547955787, 0.042021578041631813)","(1.0168276892188302, 0.037908945971807065)","(1.0274712799951664, 0.08853827145504721)","(0.9998768031142059, 0.092331412243004993)","(0.96008519694386008, 0.12652131710219089)","(1.0850270045223265, 0.052879417201188397)","(0.99291038136718879, 0.031901341072661057)","(1.1006336579042006, 0.030702395084831403)","(1.0510933020832753, 0.022544844893622098)","(1.0107355153370419, 0.037445293821596295)","(0.92222316844202668, 0.051729241439636996)","(0.98038403146185382, 0.047994466144591824)","(1.0379379099648267, 0.036390436272288405)","(1.032767215646637, 0.027837998049145472)","(1.0572720541560758, 0.027160271391018734)"
6,"(1.0418563143523445, 0.030896217891367036)","(1.0565813314844641, 0.021871227953539813)","(1.0730112709724302, 0.014297471239514048)","(1.0216176893447424, 0.022707056969382477)","(1.098386637935213, 0.021948431832879894)","(1.0364793524461537, 0.021258036119902658)","(0.97053624016264028, 0.047834244951872648)","(0.97428555052380827, 0.031658499027548644)","(1.0866864507466965, 0.051236212092902529)","(0.97975206561568406, 0.039094752853478437)","(0.95822955307289515, 0.049501281685194638)","(0.92894704827458496, 0.069094741028068007)","(0.94282647907196504, 0.090108708671706936)","(0.82752140173470223, 0.13556569367246621)","(1.0726491873839856, 0.057429694973127603)","(1.1189732840707034, 0.046465089036041268)","(0.96430361449042024, 0.062638989171783149)","(1.0588978473258461, 0.028238389485999969)","(0.89344482293079119, 0.038711389544886066)","(0.90758778811585017, 0.040785961066636379)","(1.0380491832440035, 0.039305967997120765)","(0.94650201897250263, 0.039032275647981771)","(1.0744627073451725, 0.021549434233812472)","(1.065988718932863, 0.020547149074492718)"
7,"(0.81909581862700742, 0.016872639477070506)","(1.0635848065591025, 0.021684436632305577)","(1.0587838741040752, 0.015300208471165479)","(1.0330838335970349, 0.028936661104283754)","(1.0680197537956284, 0.024622947338755013)","(1.0301224005529934, 0.022626337010742445)","(1.0697838202969925, 0.04558715853524449)","(0.98775241668793146, 0.029325077966108792)","(1.0620568260521968, 0.052868403837363465)","(0.98316628128439065, 0.040140443024358166)","(0.97758257851131736, 0.045662790803537731)","(1.0123226580368547, 0.083330363663121437)","(0.85526437932610511, 0.090953764249860805)","(0.88482344990984585, 0.1377750267515935)","(1.1383008427345054, 0.050162859842715471)","(1.0526784927628408, 0.023614799286966706)","(1.0803463795677708, 0.027005289350704616)","(1.0678023056793442, 0.01960785055351871)","(1.0170689254937741, 0.029789902956397444)","(0.92314770502932519, 0.04014678339768557)","(1.0333526445612609, 0.039703936720148533)","(0.99660994227893385, 0.026638002129753285)","(1.0716461669108959, 0.014524031670069486)","(1.0416866525468798, 0.024456532167679582)"
8,"(0.83325986688464848, 0.019152502307894937)","(1.0509879188644777, 0.024585314857776892)","(1.0759937606337462, 0.018477280663786049)","(1.015458680827855, 0.019306718152695048)","(1.0624174691773227, 0.017859462875042729)","(1.072725036627173, 0.022523108103225702)","(1.0650590443293979, 0.039114852270477195)","(1.0697269151071898, 0.028972523019616395)","(1.0375303898519297, 0.017224853418405517)","(0.87026441281830824, 0.11219595334536074)","(1.0105344796139566, 0.052295477642431788)","(1.0222282447365831, 0.17123283573847484)","(1.0423935401302957, 0.06870202422251398)","(1.0066067161902468, 0.087278538359632521)","(1.119826481822394, 0.093522367336423509)","(1.0004904255395177, 0.032394371858786179)","(1.0666188896313706, 0.034929518339117262)","(1.0515179980475708, 0.02621600917277804)","(1.0041781912732186, 0.038467703666687163)","(0.91061799494395124, 0.052374288533671924)","(0.90741596826268034, 0.054814204327798287)","(1.0273109089787351, 0.038275453938830528)","(0.98216568639362645, 0.031870501383173357)","(1.050655526452092, 0.025256714651458567)"
9,"(0.84193180501206488, 0.021984104803500663)","(1.0427642236417571, 0.01954666432205375)","(1.1198900944073074, 0.029662849678802807)","(1.0876282035870166, 0.019574779912419918)","(1.0730773384570798, 0.054579679585930699)","(1.0527859035013662, 0.022455140112217737)","(1.0655796639512958, 0.035245652745639892)","(1.1052542302119277, 0.020831986455720049)","(1.0112296610487272, 0.022146061709209998)","(0.90487157241830518, 0.12373782562313802)","(0.82556451006135112, 0.052176753659272788)","(0.73535560870022776, 0.14878322604772976)","(0.6576871475357059, 0.071925874907544887)","(0.87107626965777063, 0.10086818617805877)","(0.94847286228533667, 0.08843118240285934)","(0.82521779417707708, 0.03242935551177574)","(0.87749401606976885, 0.064448711568056108)","(0.93948059234935177, 0.034347037040457766)","(0.79040538494769497, 0.030235089329107588)","(0.70283028322440022, 0.043581674285903531)","(0.81993710202435688, 0.039989053195375421)","(0.8386940755957033, 0.049171073734923125)","(0.9657391641544093, 0.039694670999700574)","(1.0492908424081149, 0.029298783330948115)"
