DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.37575586213156847, 0.026439399015928282)","(0.34782290232439295, 0.020138559285744897)","(0.37991107488349179, 0.016655848752046426)","(0.4015100571870398, 0.010904188201477616)","(0.42380213587131116, 0.016844123850473701)","(0.38530642411515492, 0.01851662315574942)","(0.41851460208503188, 0.013385744613634919)","(0.48001541371721324, 0.022413808676284955)","(0.41487979820063997, 0.0146946760783915)","(0.45088479488758088, 0.013534153641162448)","(0.40582680467399634, 0.014098130009270335)","(0.43651004488780093, 0.015437776971210153)","(0.4111747064402187, 0.014010979995256616)","(0.44705040461105189, 0.016106783989558303)","(0.43148614227984289, 0.015574343390632432)","(0.42589214324052743, 0.017113917324992095)","(0.41247952958215345, 0.019464614437777882)","(0.46504163931322612, 0.019215758748101726)","(0.46615824223581903, 0.013664385840626911)","(0.44024849888645751, 0.020654445280906521)","(0.43021480891733599, 0.018051754932791417)","(0.42421136949658866, 0.024560718541480342)","(0.4517608296226448, 0.020055640531826648)","(0.40855689909938225, 0.031349987539468473)"
1,"(0.38505149736994432, 0.02673353426053891)","(0.34906091044212884, 0.021104638109188646)","(0.37774775817411266, 0.01584607986612023)","(0.39550877196747264, 0.01331532750768203)","(0.42498009896904548, 0.019169910661064656)","(0.39732010339118501, 0.018966648698596003)","(0.41739552316792056, 0.013560035428301712)","(0.46604216124614217, 0.021107494359764105)","(0.42862697553962842, 0.016560338658900782)","(0.44156699086298767, 0.011127316924489815)","(0.39253840611689195, 0.013818766504402587)","(0.41617278311384104, 0.01395697254715037)","(0.41711016208793678, 0.014349769643389597)","(0.43333591515373443, 0.014069073489570429)","(0.45254423979191094, 0.015714830644734157)","(0.44208269928900645, 0.018079971920240866)","(0.41824178417635849, 0.018430108645687362)","(0.47163442568212882, 0.018183568452479384)","(0.45593499675045923, 0.01344203661616386)","(0.45403584700540983, 0.022599606522761582)","(0.45303122620675806, 0.017744903120137819)","(0.43890479593779452, 0.022182042248190616)","(0.41863852423753956, 0.022885453079088486)","(0.41469263020478969, 0.033277286350673375)"
2,"(0.41832948666123693, 0.022057731726975192)","(0.31926442818102052, 0.017178797141682196)","(0.36830048847579755, 0.039432167420282577)","(0.43496518162357206, 0.021004043007027424)","(0.43228406459655477, 0.027792330368927108)","(0.3548703088447181, 0.019826130762249219)","(0.41147674357920949, 0.023416762661045327)","(0.39902075045733454, 0.024281301639687058)","(0.46307839182147081, 0.011340841531370542)","(0.40297577547476077, 0.014360228982969419)","(0.4120725459762995, 0.015968686548142715)","(0.40258869088754379, 0.012535292828913547)","(0.43720333782250725, 0.014870633616796247)","(0.4187908810033194, 0.016012763078551377)","(0.45232103125936324, 0.022574160841693509)","(0.42444979225771357, 0.025980192543863533)","(0.38880968800793497, 0.014992893223998596)","(0.522968084477759, 0.016859889333129253)","(0.41984381670070514, 0.014539158677712799)","(0.48028616165956456, 0.025694291137585069)","(0.42964606082792606, 0.01872520061091542)","(0.44357053179754258, 0.017462374033336555)","(0.43056623519806791, 0.026378030919074247)","(0.33870524813549741, 0.028858925331634894)"
3,"(0.34813672943201346, 0.025119310784519743)","(0.34921142821161738, 0.017065828740269535)","(0.38635913024915997, 0.016471441814523369)","(0.39294381451141042, 0.011056924311635151)","(0.42346940297463259, 0.016920665798126656)","(0.37853313670413957, 0.01808678900834991)","(0.42717295372645309, 0.015201134941615516)","(0.47439068804777046, 0.021431122692412818)","(0.42325869702352975, 0.011580041028857567)","(0.42611799161521419, 0.01418286851912199)","(0.4256838059453622, 0.012610940587403446)","(0.44128886583196392, 0.01644173066638565)","(0.5033130539145807, 0.014720309188727351)","(0.48511206425545594, 0.015473395688985807)","(0.4714018014073515, 0.017586427147500923)","(0.42552106018543068, 0.019812163749496757)","(0.44283900226320966, 0.019576245107565584)","(0.49951835484945695, 0.018345752931913158)","(0.46213783982176437, 0.01252064336386227)","(0.47910468093208131, 0.022477772266889871)","(0.4449137608774606, 0.010553864048470052)","(0.39248391809789412, 0.017880531895471515)","(0.45919684407433564, 0.015430450000063326)","(0.41704786344454681, 0.031261639394079846)"
4,"(0.38554311767465094, 0.022586540636989706)","(0.29092366957528026, 0.019635893951383755)","(0.43310866513039642, 0.035886353031232276)","(0.44681626143194358, 0.016312247998406651)","(0.43262019254452833, 0.01854651074006047)","(0.39255359418832775, 0.013948341857328496)","(0.41642778419806953, 0.02014584939668224)","(0.44729254381806954, 0.021231139113088205)","(0.45831037534103042, 0.020076458261717552)","(0.43889518211660916, 0.016622406968529214)","(0.4259781041262542, 0.022956809177725201)","(0.39606628608625644, 0.012746510980105817)","(0.44611203372736696, 0.012885313912039491)","(0.42172010810756105, 0.017634256866201372)","(0.42270520264964062, 0.018762865775002333)","(0.40131970536681782, 0.021366912685672139)","(0.41370942071162303, 0.02237176926017374)","(0.45529670575267811, 0.019197272995258557)","(0.45232042255758009, 0.018951198409616492)","(0.45823099946596324, 0.023069204274465658)","(0.40369455188666065, 0.02026066217861627)","(0.41071437161065322, 0.025118734573535174)","(0.4185313607652138, 0.022615817434728673)","(0.42293610012082289, 0.027954497347978908)"
5,"(0.39972791640926625, 0.025713007121639365)","(0.37101353798784226, 0.0259424837419861)","(0.39483370858805489, 0.017053883685069271)","(0.40312108403620112, 0.014587644209362406)","(0.42699695496165402, 0.020552926520175745)","(0.41029630476904039, 0.020241365763808028)","(0.4082209053408245, 0.018078402026018781)","(0.45744727887975295, 0.02559186843204924)","(0.43925850010609618, 0.014861493840427514)","(0.43154982845979861, 0.010967833143442324)","(0.38775044834844025, 0.014779509625281186)","(0.41517053740811288, 0.01340437369875128)","(0.42472775380634281, 0.016634054671413042)","(0.42639569136393174, 0.015391701652036542)","(0.43787576011346779, 0.018720268544944487)","(0.44712155676566101, 0.018667222916012579)","(0.40916771697519266, 0.021678640025795531)","(0.45897714430858111, 0.018297148086519704)","(0.46715858208069844, 0.014151994200295837)","(0.45726591092308128, 0.023094886627711295)","(0.45674781960738264, 0.01930616450133836)","(0.41398438038287633, 0.01805113317391913)","(0.40657810277353784, 0.022685278540551249)","(0.41041133885017594, 0.030492182699755298)"
6,"(0.39339048519398373, 0.031172347528386053)","(0.33371018405536973, 0.021511500768753009)","(0.39087920574654134, 0.017311494972920519)","(0.40253888185117576, 0.016070994669271785)","(0.39233070097956774, 0.020328936666444399)","(0.39414088878986731, 0.016517730271179823)","(0.41443146712867429, 0.012864738762585868)","(0.47858907374867488, 0.021391888634508343)","(0.40724192451023117, 0.015076055002038471)","(0.44301931400911881, 0.013760102954709334)","(0.41075622818484092, 0.014421796973957941)","(0.43424182805645156, 0.016395112579457399)","(0.38603466250379459, 0.011973772512456272)","(0.44891911109240218, 0.015833741357120883)","(0.38499257681879784, 0.017010082753670212)","(0.38814347853641423, 0.016329056088356372)","(0.37064541248697019, 0.015142417684771573)","(0.44281843624888922, 0.021420473398793983)","(0.46557656668166952, 0.014990914567684725)","(0.45416996605761462, 0.020443427846931699)","(0.43616179499245988, 0.020896626648369703)","(0.39741528708273161, 0.030580131980163107)","(0.41451117543984672, 0.021174862285217904)","(0.41364389364186022, 0.028064940046944643)"
7,"(0.39051131522140653, 0.025279152225013757)","(0.34141646224700439, 0.016036168842449221)","(0.40046770324032022, 0.020430238323360213)","(0.42838567874272576, 0.015152100813286142)","(0.41926909436492404, 0.018346015609229077)","(0.3904576476099213, 0.019190846783608582)","(0.42780243216012148, 0.015148753766864014)","(0.43728516502712789, 0.017204348153291242)","(0.4126581676122405, 0.020424171278675799)","(0.42902687145768098, 0.01932497099389336)","(0.43897949737003789, 0.019143000239938514)","(0.40199463068245206, 0.020044725000033559)","(0.42902357367176197, 0.011846887414707675)","(0.433421247605633, 0.01961662488614585)","(0.35477108960362658, 0.012570521061462229)","(0.37994324943037117, 0.022115745004973587)","(0.33871247261788717, 0.017140922673731213)","(0.42880386614726612, 0.029076065450972709)","(0.45381052474781514, 0.014470890805274117)","(0.46254749974561687, 0.025000711546855122)","(0.38966653144851798, 0.017846102741576705)","(0.37033501833538984, 0.019709912295636421)","(0.43268692641571144, 0.01961129260062431)","(0.41955682315725379, 0.02112261652090729)"
8,"(0.37840545177437218, 0.020838699288005139)","(0.34789022935417124, 0.015414345652694603)","(0.4290908484937801, 0.017493768799518434)","(0.34306770980363366, 0.019723500104235264)","(0.44780552266025991, 0.020242849436909769)","(0.40942264713306126, 0.02206594355905794)","(0.40510792194091422, 0.013281007293711461)","(0.47150479021510056, 0.02687858670828407)","(0.41941111156788913, 0.02167303897917371)","(0.39959816913977492, 0.019845100401679135)","(0.39598368438918657, 0.015688451462176192)","(0.40563064806681542, 0.018202089455346879)","(0.39977695856385059, 0.0099434531922710928)","(0.42712315097507225, 0.017453731310117116)","(0.40201039064265054, 0.019340763758089158)","(0.3671501356801784, 0.015047956510187629)","(0.38331821349857065, 0.012563298724322842)","(0.46575546193228495, 0.024217904662146208)","(0.44331259938603101, 0.013581769200078865)","(0.51392665046429375, 0.015894171423972779)","(0.40397443369563607, 0.027502185498814415)","(0.43636191179333916, 0.021821408444647594)","(0.39973328221909199, 0.017689680562574854)","(0.39573419247304248, 0.022215722835375578)"
9,"(0.39325707812884225, 0.019790385950970716)","(0.32226766171941723, 0.020802199268782875)","(0.37922143784991624, 0.035253366556211245)","(0.38996813129060581, 0.020969174533606139)","(0.43246887813664947, 0.02399975259039162)","(0.3710451207191191, 0.016638400740225271)","(0.4277711714789873, 0.020078629328669762)","(0.45309338649548142, 0.022573788620410751)","(0.46811987182202575, 0.014727735970253418)","(0.40148909823086665, 0.016114717259283012)","(0.40479528165967671, 0.017787505606925037)","(0.39592002520725228, 0.011995864045572582)","(0.41961013886725046, 0.015701626079044999)","(0.40521603612867091, 0.018950605663609302)","(0.39232309060994719, 0.02088141896340099)","(0.42446650143363812, 0.020285636343864662)","(0.37471391144982691, 0.016545942183584926)","(0.47645283062297222, 0.020625233335250986)","(0.43344165568043813, 0.020364933679841806)","(0.56350967350877879, 0.025467716742837765)","(0.43309881340321799, 0.027009670900478552)","(0.43738791813970335, 0.020619092033702525)","(0.40286266454434588, 0.022143486146864642)","(0.35578672902718028, 0.028191202633389978)"
