DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.4203041051937072, 0.027449551607200504)","(0.29459033884428337, 0.02554474696342264)","(0.42793490038089221, 0.031892309576300334)","(0.44340581981433208, 0.015079121014449739)","(0.43654057544982172, 0.030409730513777749)","(0.38934460835002244, 0.017364405010028786)","(0.42159275779715888, 0.01734994443274512)","(0.48223623868117427, 0.021006619505772258)","(0.44826552389320706, 0.016687535980475014)","(0.45099999961797488, 0.016082384109917438)","(0.43180286525524508, 0.017011741209620443)","(0.41243332390540299, 0.017415296381852449)","(0.4113019363901575, 0.015377850753578219)","(0.37984692846437912, 0.020888372250647557)","(0.36747245750311441, 0.01315467482925211)","(0.39937933865085534, 0.019617948444648307)","(0.36509989517261543, 0.017786599117425965)","(0.41375401000777817, 0.028509990203544815)","(0.45184314743075016, 0.02511930410056103)","(0.457885786901222, 0.016404338512941503)","(0.44050626865422193, 0.022051988871146629)","(0.41948586766015739, 0.020034267693991425)","(0.40391627649357525, 0.020017802075866287)","(0.43152422383135342, 0.031693706119311431)"
1,"(0.42521196351518953, 0.029044060267455988)","(0.28470689362277568, 0.025165090067043327)","(0.44165842481500062, 0.03396594517730122)","(0.4589434563740738, 0.015172915260948907)","(0.45970139311936564, 0.028238654701245612)","(0.39329598758860557, 0.017821363620721384)","(0.42192363913262532, 0.016815553638974457)","(0.4748751816427601, 0.020128849746483959)","(0.45392226255460383, 0.016928271012534295)","(0.45350528369471788, 0.01633265886829674)","(0.43173341844109053, 0.016709795580091606)","(0.40565013622046059, 0.016390417147472108)","(0.40538274831902477, 0.014459978484069843)","(0.3764344403019943, 0.01898558833156264)","(0.36497192648623794, 0.013185748791640634)","(0.40284628186392157, 0.020472419123970857)","(0.36290271247938466, 0.018182682540398575)","(0.4144824623366925, 0.034326633889005628)","(0.45242514932113886, 0.024437196977154491)","(0.45939258094480123, 0.01623637811455661)","(0.42176198848601937, 0.022212289659354453)","(0.4160609310365484, 0.021037145572680889)","(0.4002189703564577, 0.019728828298272324)","(0.4335038516103954, 0.032134510812263192)"
2,"(0.38422708727523397, 0.029816492934868329)","(0.29952920728297899, 0.025203809798261177)","(0.36462470254368456, 0.03703432282710678)","(0.46224741414138831, 0.016717166319771489)","(0.42302411262890405, 0.02233366037485477)","(0.39916578507723244, 0.01425898908565928)","(0.44194399520417832, 0.017482285222579493)","(0.45122484824459425, 0.020925153093392112)","(0.43579474047399053, 0.022921723764001766)","(0.46689908392906565, 0.018931233136942404)","(0.40351599807071026, 0.02583319833842115)","(0.433502658651582, 0.021357751542876106)","(0.42813385441890495, 0.013923711438951788)","(0.38575340194032337, 0.018511005357379959)","(0.36469104724207374, 0.015662599480339618)","(0.37242184946579471, 0.020030694747869608)","(0.34833643041949014, 0.021446546330612055)","(0.46576348711442933, 0.019683536605955596)","(0.47952855727691185, 0.028590025916275796)","(0.48184622148730671, 0.024343404207516357)","(0.48171005318472054, 0.027593071128780792)","(0.44833306831803765, 0.021982615676209447)","(0.41447947834839877, 0.019127666085840423)","(0.41232308165298381, 0.02159500903191696)"
3,"(0.43222254345958722, 0.023766585569876864)","(0.34851466884464649, 0.021431838518172604)","(0.41592242882892738, 0.023493033814986432)","(0.44283635170807545, 0.016609231839190389)","(0.42538806742294866, 0.019473498651895599)","(0.38941204760051018, 0.014638088117614509)","(0.43265007837897124, 0.017788676629659477)","(0.4355232032785567, 0.016706758438499066)","(0.45458706472172994, 0.020587988029650478)","(0.43772976466906838, 0.012426247499436899)","(0.40904313423319416, 0.01650827308339968)","(0.40765804146837381, 0.011234253128812832)","(0.46730268364050565, 0.011867168865591566)","(0.45876898763599538, 0.019592360976285809)","(0.42743996350219887, 0.016838820512563146)","(0.40383298453130828, 0.018605545077107547)","(0.40389828223893876, 0.022960584835347051)","(0.4588754292170657, 0.017661165136346232)","(0.46887411812098129, 0.015734965481554668)","(0.45918745436575548, 0.015249784969905065)","(0.4425141243537134, 0.018310042387561221)","(0.42906676509635516, 0.016573282795276402)","(0.44030665178261208, 0.01874649407246707)","(0.43627786558123627, 0.026834765109759552)"
4,"(0.4384008229971274, 0.026585429484455504)","(0.31616320167252154, 0.027365677604242421)","(0.45364369743342559, 0.040001597821240409)","(0.47233683356246292, 0.015955701775764747)","(0.44712003354994612, 0.024429410399133423)","(0.39228348314911626, 0.013547197814577699)","(0.42516547103388341, 0.016700057768958446)","(0.46175230917986149, 0.021731969601331079)","(0.47328372050881728, 0.024397080852779866)","(0.44767862159595362, 0.013842586067650887)","(0.40672586742682881, 0.017679584818230568)","(0.398475560874052, 0.012621079726267203)","(0.45498662922271399, 0.012047573231510034)","(0.45153292098993725, 0.01803004452100267)","(0.42134793540992965, 0.018456768201564382)","(0.3669048583812195, 0.018757646760309988)","(0.37955158970156649, 0.02011167366069851)","(0.47265771000031714, 0.022462268480755988)","(0.46690336851300979, 0.017737031668213145)","(0.46205383073085121, 0.01539652908317954)","(0.46203667135702148, 0.021314439808064328)","(0.44085170231503013, 0.01992224250756636)","(0.42833330630604677, 0.017260869198748953)","(0.4076176812794613, 0.024354902396620016)"
5,"(0.41087835506888137, 0.02819016644189512)","(0.34965672398728076, 0.027364088254014353)","(0.39371407228322874, 0.017959642047062768)","(0.41510133482848216, 0.013984691670845638)","(0.42534404375952961, 0.017861650227886081)","(0.39802442116434289, 0.017265868013446529)","(0.39758043954486111, 0.012647205394303871)","(0.45498566006795438, 0.021341044169018931)","(0.43445550976603009, 0.017669180130632144)","(0.42363657858449338, 0.01116304289873229)","(0.39873028503846292, 0.012931431686601044)","(0.3827082256067656, 0.0093692925017785436)","(0.41082751352738789, 0.014844166035021018)","(0.43035313758881388, 0.013198174225490687)","(0.45204057713504442, 0.019713652588505007)","(0.44008578057664827, 0.01845347268277666)","(0.42324247214205518, 0.020578670762905971)","(0.44822716991350903, 0.018800707771155882)","(0.47411449917465426, 0.015474962119872497)","(0.45568790688267113, 0.01686687863839522)","(0.44030026259264082, 0.013378885927705692)","(0.46630758790237109, 0.023685410683620404)","(0.36601003106790636, 0.021644805214843028)","(0.38988424925464016, 0.028524445503641339)"
6,"(0.43132542946277119, 0.029996464858756285)","(0.31177296110466668, 0.026204487405427114)","(0.41769870495176836, 0.020695998939638062)","(0.44577783897483408, 0.014846178318573463)","(0.42177967238476444, 0.027879413816277454)","(0.41602306890746366, 0.020919729610396787)","(0.40232587728871322, 0.014143353341427996)","(0.49066146884139727, 0.022187204438893524)","(0.46104321294955597, 0.019873833473376293)","(0.45745984129076395, 0.01625108361970411)","(0.42092177373135559, 0.018635728768734445)","(0.40214769847905713, 0.016914618573431968)","(0.416149549083493, 0.015961075303148067)","(0.38230666652987666, 0.023053499106380024)","(0.34978264774302675, 0.013654031666672352)","(0.36959006592275978, 0.016415626021060496)","(0.37449564559972925, 0.018986258020215196)","(0.40272435725869887, 0.028468404885587443)","(0.46119000056377391, 0.025438155233309105)","(0.46923448253283195, 0.017173126305621327)","(0.4489158797750874, 0.021963050675347498)","(0.43668759526555839, 0.022957754057377516)","(0.39806342528100769, 0.020898569362706499)","(0.41712433513853109, 0.02935384393541644)"
7,"(0.44957161141631963, 0.031084762573247552)","(0.3181521672219989, 0.027074237233901149)","(0.43189470994780466, 0.024691776914056638)","(0.42576432449891344, 0.017134712941127526)","(0.39726087415366096, 0.026749034202807428)","(0.40372405920463655, 0.018429274295831237)","(0.42591708201430845, 0.018422661904108451)","(0.48109677059865635, 0.020045702300507298)","(0.46321926391787249, 0.020183741333166878)","(0.46044424953079938, 0.016518568422211423)","(0.42053471319853836, 0.018019381411466924)","(0.43125204318928789, 0.014432013867045724)","(0.42644282875272654, 0.01466392337423191)","(0.39774887815055759, 0.02083514304970464)","(0.35981204270201134, 0.017279821916694683)","(0.37783162874091386, 0.019460903137091149)","(0.35376218693272293, 0.020559459822625178)","(0.41047789987650324, 0.024722724418683117)","(0.45175469931575551, 0.026303451940225646)","(0.46611249804886734, 0.020144107837630848)","(0.45317084879969644, 0.022539698541507548)","(0.425224862804088, 0.028340407087773842)","(0.4174247310984196, 0.01609320775233708)","(0.42138550177522105, 0.024976117457488633)"
8,"(0.38201296090518111, 0.031268550066523883)","(0.30447766137632754, 0.025637790788720895)","(0.42951354306742845, 0.024166071199499432)","(0.43720946547931322, 0.017823264361345903)","(0.41215980902909516, 0.024361021310036098)","(0.39420315277699036, 0.022358549898433791)","(0.40868913858371092, 0.019500693646268275)","(0.47157278746895143, 0.018215001608386308)","(0.46874685050086046, 0.02103135598430525)","(0.45353914478572965, 0.018093972267903012)","(0.42221519479174591, 0.02046710486328341)","(0.42217916948282719, 0.014467358751689415)","(0.43111120174871903, 0.015339901099383921)","(0.39492349621480038, 0.019293204026335161)","(0.35205297003247077, 0.015511979892386967)","(0.36532805909354782, 0.018790665890340171)","(0.37554665748411153, 0.01953698380481508)","(0.39519063964167372, 0.021804328056649221)","(0.45255567748250458, 0.027220732238376077)","(0.48583959376382885, 0.022481428748248572)","(0.45127984596755005, 0.019568321688740752)","(0.429324893378072, 0.024138789824864247)","(0.40715517776885474, 0.017820250732949534)","(0.39551310925423255, 0.026226772022814277)"
9,"(0.4222583010789922, 0.03130896714064197)","(0.29097467599450327, 0.026969402417863015)","(0.43393091332958161, 0.035013600690965901)","(0.46573993118915746, 0.015318854779229852)","(0.43267578669335494, 0.026932395266475135)","(0.41480377865047652, 0.013770924494122117)","(0.41789921676265246, 0.015680855205953033)","(0.47945022635658369, 0.023696100775823917)","(0.47014805584318414, 0.021758182338398668)","(0.46057500761866127, 0.018476340142277461)","(0.42987798597808263, 0.017929495169027643)","(0.41064856103704545, 0.019311465213867462)","(0.40531213298633956, 0.014357215524502163)","(0.38745248594863546, 0.016127365960654387)","(0.35939185996536432, 0.014888020806492553)","(0.36631644115593692, 0.015932497950640983)","(0.35582964172510778, 0.018715450190211966)","(0.44912464374253352, 0.033087823401678824)","(0.43097630293625455, 0.024101945565878823)","(0.47121023018036123, 0.019371597007854298)","(0.45669173422684273, 0.022720624798516116)","(0.45060285289067809, 0.01904749026818979)","(0.41549086511428751, 0.017456890127450542)","(0.42360529795386043, 0.026221987651144273)"
