DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.41860494050663671, 0.023773096230174505)","(0.35135701934881952, 0.019403509256564335)","(0.37003341536653206, 0.016456833509921817)","(0.42403428975054908, 0.015622846691864624)","(0.42545902178234174, 0.017607218773124701)","(0.39127093543807118, 0.014839062471874857)","(0.39711864587365747, 0.0160665865166967)","(0.452894593956991, 0.02663986447476958)","(0.42312969047840454, 0.011778665974930096)","(0.43006606094050653, 0.01446820573441664)","(0.3804540351590272, 0.014689570037604018)","(0.39437365988914908, 0.017085366165315814)","(0.42104213968766407, 0.013208416314088516)","(0.39911425033350428, 0.011400160258019309)","(0.45611840912207924, 0.015672996794490173)","(0.47821655786726597, 0.022934524611621258)","(0.36932981827736033, 0.018128364155864978)","(0.45103033427170741, 0.020772845921122073)","(0.42531181296892684, 0.017606994642780462)","(0.45694354359615114, 0.019096839705762661)","(0.42188603506647654, 0.026636611780646219)","(0.4346941199945219, 0.014570050189205416)","(0.42742971833985577, 0.019707632348370221)","(0.38892220886287415, 0.031804187408935022)"
1,"(0.40975646404227373, 0.023392680855368057)","(0.31424757177975798, 0.018234895983120485)","(0.40293853171954758, 0.031521066811159446)","(0.45323132905634755, 0.015433365491649489)","(0.43036305493162463, 0.01930701131659197)","(0.39026080641446825, 0.014140162637893453)","(0.40887478111364239, 0.017329031622131306)","(0.45886640187916355, 0.02466041335839329)","(0.44337500667438684, 0.01574602114492353)","(0.42593592617365111, 0.016143684057529209)","(0.41109993284700563, 0.014366259489648769)","(0.38513903729911192, 0.013167464465866627)","(0.4114657845617386, 0.011075147346390226)","(0.3869510496060477, 0.011856071115750141)","(0.42203295254336692, 0.016283078020629341)","(0.46096644248540131, 0.023647241373044213)","(0.34882543350982298, 0.015266974738321675)","(0.47566339678613478, 0.025011591838367833)","(0.44508104773986124, 0.020550855236207814)","(0.47520927555853376, 0.019322178616400287)","(0.44588529004456179, 0.020628024134836224)","(0.42501608514943406, 0.014839265108105914)","(0.42909826382755967, 0.020866805737506568)","(0.41083116149744447, 0.036573517854695523)"
2,"(0.41519511523679992, 0.016353907519057485)","(0.32559691515116668, 0.02065510080944219)","(0.38270473903860175, 0.033195524314392523)","(0.46239897846660061, 0.017445710485748885)","(0.41349279320317867, 0.021498924706857304)","(0.36463159836348757, 0.010115896702643342)","(0.41880207593380775, 0.017786863306810258)","(0.46125024414473914, 0.020126349966587884)","(0.45722264748937858, 0.01782234371708628)","(0.42243879354842867, 0.013347046714749851)","(0.43020016618926904, 0.018422479342185397)","(0.38342995656570922, 0.013352792274065051)","(0.40988303834975193, 0.012280446580094246)","(0.43426294636487367, 0.013768051856438427)","(0.46539493638680235, 0.017143968939089975)","(0.41781659412996552, 0.01945849264831279)","(0.41875509895741231, 0.014835698634351994)","(0.50113813629061676, 0.017180255312059287)","(0.45159349792583536, 0.014077316526167612)","(0.49587644854519874, 0.019952093903795431)","(0.42732359666595321, 0.012605177456981092)","(0.47602153864681462, 0.019058370832168738)","(0.40028328400371765, 0.02274485321931664)","(0.33663876176401925, 0.0433711552452632)"
3,"(0.39219687897773803, 0.018221640799048738)","(0.33053262874161132, 0.021221458187351341)","(0.37778575023416383, 0.032116023201470938)","(0.4599470876401876, 0.016236530519071389)","(0.41281196151172489, 0.022614061039912019)","(0.36446409138880859, 0.010768361673401417)","(0.41732192015008063, 0.017819281696497363)","(0.45602642364097729, 0.020461401141401041)","(0.44052023812591745, 0.018446889107940428)","(0.42983734662304207, 0.014441501233137944)","(0.43253991698853683, 0.018560553892155631)","(0.38141611564331496, 0.013045002240160034)","(0.402480119555992, 0.011922080754793334)","(0.43602424961052955, 0.013490323346738808)","(0.46551687323049407, 0.01745150444532053)","(0.4180849509679973, 0.019187043447640842)","(0.41176374673632155, 0.014881005409592576)","(0.49046542933108594, 0.018320708070357902)","(0.45062378698871652, 0.014083345659229101)","(0.48963554877852389, 0.021112305415462447)","(0.42602973656657767, 0.013023300802025456)","(0.46471520406963163, 0.019723637583462648)","(0.40115316819447522, 0.023376111130210365)","(0.33343033608426642, 0.043633783429006701)"
4,"(0.41530802055776556, 0.024839553301801636)","(0.3077136847587052, 0.018834172961270289)","(0.40515640991211366, 0.031613614765487387)","(0.45050098203417754, 0.015528796969776149)","(0.43993502139957802, 0.018773044341761136)","(0.39015369157067548, 0.014376957548948223)","(0.4108870774793944, 0.018334294253315238)","(0.45206635198329076, 0.025718943729385147)","(0.44763640963083634, 0.01646679032489189)","(0.4232933770825073, 0.01766447761285047)","(0.4115307575941195, 0.020289283863773867)","(0.39171193628648265, 0.014224837223536619)","(0.41533571668551539, 0.011192422406308399)","(0.39625211645989133, 0.012531446446394668)","(0.40708755041601358, 0.018723090829303596)","(0.44925987988179528, 0.020923893662794291)","(0.35261999946495304, 0.015934026464977515)","(0.47813404836177925, 0.025825806346355118)","(0.45067841265727654, 0.020289733117341124)","(0.47978076894544608, 0.020067792641672955)","(0.43807948850969036, 0.021438299449620109)","(0.42002456244719916, 0.014587001219210027)","(0.43195671602941133, 0.021471720165920676)","(0.38785124669601401, 0.039095243603767857)"
5,"(0.40612698003458619, 0.02440786128993204)","(0.32410610529528716, 0.020029479697821713)","(0.38869144175752196, 0.029150210127113801)","(0.43974049228492346, 0.01485113988387194)","(0.41923889214837423, 0.017406637073466978)","(0.38934856485147146, 0.014910752090466486)","(0.40095042528525227, 0.015707800724060143)","(0.46404625017822054, 0.024403072950818793)","(0.44017363760547068, 0.014490170493888932)","(0.42732952112419414, 0.015397778514402126)","(0.39683262541266662, 0.014121654936929167)","(0.38658386085315338, 0.014458214579426929)","(0.42283773720782308, 0.01359529752336742)","(0.39390565785977183, 0.012399926047397567)","(0.41398751223379543, 0.014087763868756131)","(0.45139762827969299, 0.023578723850345418)","(0.35453624039700427, 0.016383356076544509)","(0.4636831816946847, 0.022548890053804335)","(0.43684678408395178, 0.019374033732039539)","(0.45427204871846949, 0.016794096774180135)","(0.43551335899077703, 0.022032237080089966)","(0.42492046186263627, 0.016067282624642343)","(0.42917707721811504, 0.020614325066546712)","(0.40930316401626399, 0.033574957705463447)"
6,"(0.34570384831029177, 0.025011700594742753)","(0.33462711514142129, 0.020186258482302138)","(0.37463899346033447, 0.017748397492393729)","(0.36237809871405896, 0.016942108387517373)","(0.38973075815661129, 0.018829106744999834)","(0.40857099065481389, 0.018878123179447731)","(0.41427182892566133, 0.016037740857991072)","(0.40247025814230752, 0.025242172035029965)","(0.4070679619297754, 0.015159900157227135)","(0.4271554669553822, 0.016127522030924199)","(0.42231149327344891, 0.015451799702245285)","(0.39364746681104901, 0.020279343178348362)","(0.42306866249309405, 0.015948814027349639)","(0.39197780507798113, 0.01607582429155657)","(0.39644450217268207, 0.011254907534757054)","(0.41097560793694066, 0.020364694629050675)","(0.34216630342430587, 0.011990296783442982)","(0.43346564829907291, 0.025938057418136724)","(0.46828675999130387, 0.018115138138372396)","(0.4696921082217953, 0.024387856462066735)","(0.41433070325477445, 0.022826053473614154)","(0.4124265262529378, 0.025050960075065867)","(0.40333609242024709, 0.016500330370706837)","(0.36819617860471998, 0.024282173301022277)"
7,"(0.42973111835042599, 0.025234823338273673)","(0.32660457116913039, 0.018004819797230558)","(0.39813480712043092, 0.01799399702714281)","(0.46269894694061098, 0.023099183801554256)","(0.39452169700996204, 0.019384383068220341)","(0.41514223536265832, 0.020498860088290955)","(0.39254681256093643, 0.01164867970171695)","(0.45737844412045287, 0.018292357407562267)","(0.44690028230791345, 0.017339794904276718)","(0.40550320335543155, 0.01837996495883772)","(0.3719373461091719, 0.016393322976851681)","(0.39365550956080492, 0.015918305997264768)","(0.39357147989312902, 0.014654365400805933)","(0.40179789170064456, 0.014361095692687594)","(0.38567173043382819, 0.021817653842752822)","(0.44310708526516634, 0.018227895959142728)","(0.39801383019396946, 0.017121388239454322)","(0.43861959983388255, 0.025975757309373022)","(0.44688269757105542, 0.016658013492497285)","(0.46575902002635211, 0.017759134865544351)","(0.41226448467392701, 0.022778306978764273)","(0.44660549527719084, 0.017022126147135393)","(0.38222566728390256, 0.020755520526515223)","(0.37042908347713316, 0.028496073328400172)"
8,"(0.37862172439212027, 0.020805676766358507)","(0.34938581518379352, 0.015568597604848999)","(0.42913848244190145, 0.01778396899285838)","(0.34336321807765896, 0.019975091182504522)","(0.44760865187789867, 0.019964551119028041)","(0.41516452556533978, 0.021242356688176804)","(0.40566276221707914, 0.013542455961434845)","(0.47467171951165166, 0.028070488378276904)","(0.42211482783922449, 0.021705685812346956)","(0.38829175859556669, 0.019844216486568152)","(0.40325256884238775, 0.014773927334672672)","(0.40529309488905002, 0.01496429742491724)","(0.3975342342341468, 0.0095630096436206801)","(0.43551371966736652, 0.018628651610140608)","(0.39815816081393107, 0.019302122811117386)","(0.40203670104297973, 0.017890494350177574)","(0.38406631882090142, 0.012613599893018298)","(0.46812891486043251, 0.024247136745387806)","(0.44571623951648809, 0.012956347501964057)","(0.51053433813029114, 0.015780060937118447)","(0.40019670472002911, 0.027428160524293942)","(0.43663399258897151, 0.021967079463134576)","(0.4041727902916844, 0.018998452357988995)","(0.37123065128617816, 0.023547526771474234)"
9,"(0.43315331247431521, 0.023506425258838531)","(0.32081438192595862, 0.01844125040381106)","(0.39694291642320378, 0.032519973590738771)","(0.46002806059635609, 0.01663520817843198)","(0.440032224437373, 0.020223100212164988)","(0.36845565779074335, 0.012725730645400175)","(0.41137833812184088, 0.01599684916229642)","(0.47012265951762777, 0.023824887831025186)","(0.43880782180163869, 0.015097380783432609)","(0.41983729048052731, 0.018399798250145431)","(0.43806515459166451, 0.020568222464530661)","(0.38305726416191799, 0.01354293210394459)","(0.41453165762753019, 0.011953604845473424)","(0.41707670022774235, 0.013222729988108117)","(0.46673579372205531, 0.021237936713844181)","(0.42564888170338289, 0.023553732495918613)","(0.3748935192361591, 0.015666367695353005)","(0.48828718055672155, 0.02097115601193069)","(0.44484995857234055, 0.018357840510215585)","(0.47396598700227566, 0.019733793071241873)","(0.43953242523272823, 0.019149131245716679)","(0.43710983096908013, 0.016994620392909887)","(0.44486756264057742, 0.021187333308687037)","(0.40675220491071434, 0.042299949424443227)"
10,"(0.42116860556526248, 0.01736149746184585)","(0.3202773734722158, 0.016464691533380132)","(0.39648194594086217, 0.032432393850793918)","(0.45879102341770556, 0.017220439324486067)","(0.41931800788751983, 0.019722073227793624)","(0.37121632670911481, 0.011406734142459348)","(0.41319144444045636, 0.018235016094932808)","(0.4674632601699773, 0.022083102741609746)","(0.44181269715804711, 0.016684884441183302)","(0.42229205212814436, 0.016295540383133227)","(0.42580311036764523, 0.018735533654701382)","(0.37614379805628395, 0.013551431320442328)","(0.41320591681038243, 0.012896667156064781)","(0.43953245890471082, 0.013216473990888961)","(0.46735236013110437, 0.021144535697649056)","(0.42261342524424195, 0.022055482353577252)","(0.41626122657072318, 0.016446841176460131)","(0.48481397798558307, 0.018627319470292128)","(0.44702132960328467, 0.01258493661867029)","(0.48581281494753814, 0.023275481678830572)","(0.41607468872790532, 0.014064206481191272)","(0.45598954061519004, 0.018252128456635756)","(0.42296331301554368, 0.02118033661425105)","(0.28560347896261012, 0.044372144506964369)"
11,"(0.33971273139910463, 0.02542527328584239)","(0.3340978300252827, 0.018700226844956546)","(0.3716015450530058, 0.017694288669183302)","(0.34937877188164074, 0.018170967449773888)","(0.38243424696110734, 0.018131224038632938)","(0.4068389158875067, 0.019753121443758192)","(0.40756549952230459, 0.012626944846427596)","(0.41492020796892681, 0.027249987308875904)","(0.39579898814202863, 0.014587529048749055)","(0.42605413029588629, 0.018496635303829376)","(0.41994078459980716, 0.016917652568756863)","(0.38830393881009401, 0.019470329374312312)","(0.42351477881877847, 0.016458554569338937)","(0.3929749868313977, 0.01591632280808181)","(0.40015230509958416, 0.011324982873698947)","(0.41171198214891441, 0.020129610847093398)","(0.35972861944967643, 0.012278297412538115)","(0.43977350933417003, 0.025193576691463031)","(0.46368509849998529, 0.017726093364672509)","(0.4612725087045022, 0.022551995792652584)","(0.41540462998903316, 0.022438900222258057)","(0.41888429554754558, 0.025926969337091221)","(0.41423192924702934, 0.016641302268808476)","(0.33174969792023984, 0.024515581106375712)"
12,"(0.39287458696624344, 0.020941728625188609)","(0.33856753606580059, 0.014637809106553734)","(0.41487312948845428, 0.017577333832147428)","(0.36676346939648791, 0.021653590520365883)","(0.40236741259328512, 0.020338096694162096)","(0.43673641883266656, 0.02052285306364315)","(0.40204973114157688, 0.011538796200715361)","(0.49377143743308022, 0.024518005472274385)","(0.440524803312413, 0.020025601163355049)","(0.40433358988731222, 0.023589694560451985)","(0.39415536647888572, 0.017773744566043217)","(0.41886172803395672, 0.021140444419851225)","(0.39434629966966067, 0.01282120740679024)","(0.41718066779712654, 0.016439702613649017)","(0.40276114820444975, 0.018408627665746444)","(0.40453092213042863, 0.018780528396469515)","(0.3758104640164826, 0.014649253162262493)","(0.42647674421420761, 0.029443974630921466)","(0.43197261166916334, 0.016156725243058931)","(0.49296372549729195, 0.017726766708360729)","(0.39608968018006901, 0.022643192927612313)","(0.44347777339849426, 0.020280038287878888)","(0.38155830429522553, 0.017408836811616268)","(0.40308095139321093, 0.021662457596137642)"
13,"(0.43091771864914985, 0.027372170916183495)","(0.37260993366365874, 0.030021133998082598)","(0.36680181830490283, 0.018592124683710576)","(0.43466374582985845, 0.020818199690833979)","(0.42878716948140883, 0.019338148463651211)","(0.39088212478024331, 0.016332228419228427)","(0.40128132731798766, 0.012044175550227069)","(0.4912983776164937, 0.018652635902394424)","(0.44943878472990212, 0.021321127197019191)","(0.39818616754415626, 0.015086769483263988)","(0.39155612572784765, 0.016568366391675492)","(0.42889139093918138, 0.014765056065399471)","(0.38466777271818692, 0.016485405122918049)","(0.41206714431233071, 0.015299648033339027)","(0.37764153836112485, 0.02744237518116931)","(0.41708452386676315, 0.0196951090187256)","(0.4101780127347095, 0.017206165329629045)","(0.4135050443275004, 0.017414188740999308)","(0.45867841499050332, 0.019623990109607664)","(0.48599990609985638, 0.019091911537203986)","(0.47375444723033, 0.018048929748690202)","(0.46868694782271686, 0.014962482212801265)","(0.42572810486217921, 0.020709990183032732)","(0.35120144199542086, 0.024456844033927894)"
